Unnamed: 0,UK,EN,TRANSLATION,meteor_score
295,"Чому ти жалкуєш за тим, чого не робив?",Why are you sorry for something you haven't done?,Why are you sorry for something you didn't do?,0.8030303030303031
296,"Чому ти вибачаєшся за те, чого ти не робив?",Why are you sorry for something you haven't done?,Why are you apologizing for something you didn't do?,0.6818181818181819
297,Іноземці цікаві.,Foreign people intrigue me.,Foreigners are interesting.,0.12820512820512822
298,Іноземці мене інтригують.,Foreign people intrigue me.,Foreigners intrigue me.,0.6552706552706553
299,"Щоб я не робив, вона каже, що я можу зробити краще.","Whatever I do, she says I can do better.","Whatever I do, she says I can do better.",0.9993141289437586
300,Чого ти ще не спиш так пізно?,What keeps you up so late?,Why aren't you sleeping so late?,0.5281690140845071
301,Що тримає тебе так пізно?,What keeps you up so late?,What keeps you so late?,0.8534621578099838
302,Чому ти ще не спиш у таку пізню годину?,What keeps you up so late?,Why are you up so late?,0.7114285714285714
303,Мені нема з ким їхати.,I don't have anyone who'd travel with me.,I have no one to go with.,0.32538659793814434
304,Ти недостатньо швидкий.,You're not fast enough.,You're not fast enough.,0.996
305,"Життя жорстке, але я жорсткіший.","Life is hard, but I am harder.","Life is tough, but I'm harder.",0.8412698412698414
306,Зносити може бути незносним.,Bearing can be unbearable.,The wear can be unbearable.,0.9679878048780488
307,"Нічого так не гарне, як істина.",Nothing is beautiful but the truth.,Nothing is as beautiful as the truth.,0.7311475409836065
308,Завтра він висадиться на Місяці.,"Tomorrow, he will land on the moon.",He'll land on the moon tomorrow.,0.8035714285714286
309,Я не розмовляю японською.,I don't speak Japanese.,I don't speak Japanese.,0.996
310,Це гра слів.,This is a pun.,It's a word game.,0.12195121951219512
311,Ніхто мене не розуміє.,Nobody understands me.,Nobody understands me.,0.9814814814814815
312,Я навчився жити без неї.,I learned to live without her.,I learned to live without her.,0.9976851851851852
313,Я навчилася жити без неї.,I learned to live without her.,I learned to live without her.,0.9976851851851852
314,Немає сенсу продовжувати розмірковувати.,It's useless to keep on thinking any more.,There's no point in continuing to reason.,0.11235955056179774
315,В цi днi у своïй головi я тримаю дуже багато справ.,I have too many things on my mind these days.,I have a lot of things on my head these days.,0.785891089108911
316,Останнім часом у мене в голові занадто багато всього різного.,I have too many things on my mind these days.,I've had too many things on my mind lately.,0.7937500000000002
317,Я лише хотів перевірити свою скриньку електронної пошти.,I just wanted to check my email.,I just wanted to check my email.,0.9985422740524781
318,"Тобі справді потрібно спитати, щоб дізнатись відповідь?",Do you really need to ask the question to know the answer?,Do you really need to ask the question to find out the answer?,0.9139100932994064
319,"Припускаю, що за кожною річчю, яку ми повинні зробити, є щось, що ми хочемо зробити.","I suppose that behind each thing we have to do, there's something we want to do...","I assume that behind every thing we have to do, there's something we want to do.",0.8788235294117647
320,"Припускаю, що за кожною річчю, яку потрібно зробити, є щось, що хочеться зробити.","I suppose that behind each thing we have to do, there's something we want to do...",I suppose there's something behind every thing you have to do that you want to do.,0.7720588235294117
321,"Не чекай, щоб інші подумали за тебе.",Don't expect others to think for you!,Don't wait for others to think for you.,0.9799382716049383
322,У тебе ніколи немає часу на важливі речі!,You never have time for important things!,You never have time for important things!,0.9985422740524781
323,"Я витрачу надто багато часу на пояснення, чому це не спрацює.",It would take me too much time to explain to you why it's not going to work.,I'm going to spend too much time explaining why that doesn't work.,0.3990589488636364
324,"Я такий дурний... Я намагаюся тобі пояснити те, що сам не розумію.",I'm so dumb... I'm trying to explain things to you that I don't understand myself.,I'm so stupid... I'm trying to explain something to you that I don't understand myself.,0.8859592013888888
325,"Припини в менi бачити ""нормальну"" людину!","Stop seeing me as a ""normal"" person!","Stop seeing me as a ""normal"" person!",0.9993141289437586
326,"Перестань бачити в мені ""нормальну"" людину!","Stop seeing me as a ""normal"" person!","Stop seeing me as a ""normal"" person!",0.9993141289437586
327,Ви маєте на увазі мене?,Are you referring to me?,You mean me?,0.4406130268199233
328,Неможливо!,It can't be!,Impossible!,0.0
329,Це неможливо!,It can't be!,That's impossible!,0.0
330,Цього не може бути!,It can't be!,It can't be!,0.9921875
331,Ви б хотіли чогось випити?,Would you like something to drink?,Would you like something to drink?,0.9985422740524781
332,Ти не хотів би чогось випити?,Would you like something to drink?,Would you like something to drink?,0.9985422740524781
333,Ви бажаєте щось випити?,Would you like something to drink?,Would you like something to drink?,0.9985422740524781
334,Ти бажаєш щось випити?,Would you like something to drink?,Would you like something to drink?,0.9985422740524781
335,"""Хто це?"" - ""Це твоя мати"".","""Who is it?"" ""It's your mother.""","""Who's that?"" ""It's your mother.""",0.8300000000000002
336,"""Хто це?"" - ""Твоя мати"".","""Who is it?"" ""It's your mother.""","""Who is this?"" ""Your mother.""",0.7485875706214691
337,"""Хто це?"" - ""Це мама"".","""Who is it?"" ""It's your mother.""","""Who is it?"" ""It's Mom.""",0.8369747899159665
338,"""Коли повернешся?"" ""Все залежить від погоди""","""When will you be back?"" ""It all depends on the weather.""","""When will you come back?"" ""It all depends on the weather.""",0.9363888888888889
339,"""У чому справа?"" - запитав маленький білий кролик.","""What's the matter?"" asked the little white rabbit.","""What's the matter?"" asked the little white rabbit.",0.9997106481481481
340,"""Що відбувається в печері? Мені цікаво"". — ""Я не маю уяви"".","""What's going on in the cave? I'm curious."" ""I have no idea.""","""What's going on in the cave?"" I'm curious.",0.6864226910213532
341,Е... Як це працює?,Uh... How's that working?,Uh... how does it work?,0.625
342,"«Вірте мені», — сказав він.","""Trust me,"" he said.","I was surprised to learn that the Bible is God's Word, the Bible, and that God's Word, the Bible, is God's Word.",0.0
343,"""Здається, це дуже цікаво"", каже Хіросі.","""This looks pretty interesting,"" Hiroshi says.","""I think it's very interesting,"" says Hiroshima.",0.38490853658536583
344,«Дякую за допомогу.» «Нема за що.»,"""Thank you for helping me."" ""Don't mention it.""",And thank you for your help.,0.3048780487804878
345,"«Дякую, що ви допомогли мені.» «Нема за що.»","""Thank you for helping me."" ""Don't mention it.""",Thank you for helping me.,0.40819672131147544
346,«Спасибі за вашу допомогу.» «Нема за що.»,"""Thank you for helping me."" ""Don't mention it.""",• Thank you for your help.,0.3048780487804878
347,«Дякую за вашу допомогу.» «Нема за що.»,"""Thank you for helping me."" ""Don't mention it.""",Thank you for your help.,0.3073770491803278
348,"Будь ласка, не плач.",Please don't cry.,Please don't cry.,0.9921875
349,"Не плач, будь ласка.",Please don't cry.,Please don't cry.,0.9921875
350,"Дай мені знати, якщо є щось, що я можу зробити.",Let me know if there is anything I can do.,Let me know if there's anything I can do.,0.8950617283950617
351,Заняття не пончеться до половини на восьму.,Class doesn't begin until eight-thirty.,School won't begin until eight-eight.,0.49074074074074076
352,Урок не пончеться до половини на восьму.,Class doesn't begin until eight-thirty.,The lesson doesn't begin until eight-eight.,0.6506147540983607
353,"Я хочу човен, який забере мене дуже далеко звідси.",I want a boat that will take me far away from here.,I want a boat that'll take me far away from here.,0.9139118457300276
354,Японець ніколи б не зробив такого.,A Japanese would never do such a thing.,A Japanese would never do that.,0.6205128205128205
355,Японець ніколи б так не вчинив.,A Japanese would never do such a thing.,A Japanese would never do that.,0.6205128205128205
356,Аллен — поет.,Allen is a poet.,Allen is a poet.,0.9921875
357,Стрілець вбив оленя.,The archer killed the deer.,The shooter killed the deer.,0.7500000000000001
358,На моєму віці комунізму точно не буде досягнуто.,Communism will never be reached in my lifetime.,"At my age, Communism is definitely not going to be achieved.",0.18072289156626503
359,Жито називали зерном злидарів.,Rye was called the grain of poverty.,The jito was known as grain of poverty.,0.6281690140845071
360,"Якщо ти бачиш помилку, виправ її, будь ласка.","If you see a mistake, then please correct it.","If you see a mistake, please correct it.",0.8918539325842695
361,"Якщо ви бачите помилку, виправте її, будь ласка.","If you see a mistake, then please correct it.","If you see a mistake, please correct it.",0.8918539325842695
362,"Якщо побачиш помилку, виправ її, будь ласка.","If you see a mistake, then please correct it.","If you see a mistake, please correct it.",0.8918539325842695
363,"Якщо побачите помилку, виправте її, будь ласка.","If you see a mistake, then please correct it.","If you see a mistake, please correct it.",0.8918539325842695
364,"Якщо не їсти, то помреш.","If you don't eat, you die.","If you don't eat, you die.",0.9985422740524781
365,"Якщо не їси, то вмираєш.","If you don't eat, you die.","If you don't eat, you die.",0.9985422740524781
366,Якщо ти не будеш їсти - помреш.,"If you don't eat, you die.","If you don't eat, you die.",0.9985422740524781
367,"Як пишеться ""pretty""?","How do you spell ""pretty""?","How do you spell ""Pretti""?",0.9990234375
368,"Як пишеться слово ""pretty""?","How do you spell ""pretty""?","How do you spell ""pretti""?",0.9990234375
369,Чому ми не йдемо додому?,Why don't we go home?,Why aren't we going home?,0.8412698412698414
370,Чому б нам не піти додому?,Why don't we go home?,Why don't we go home?,0.9985422740524781
371,"Вибачте, я не можу залишитися надовго.","I'm sorry, I can't stay long.","I'm sorry, I can't stay long.",0.9990234375
372,"""Чому ти не йдеш?"" - ""Бо не хочу"".","""Why aren't you going?"" ""Because I don't want to.""","""Why don't you go?"" ""Because I don't want to.""",0.9363888888888889
373,"""Чому ви не йдете?"" - ""Бо не хочу"".","""Why aren't you going?"" ""Because I don't want to.""","""Why don't you go?"" ""Because I don't want to.""",0.9363888888888889
374,Один мільйон осіб втратили життя на війні.,One million people lost their lives in the war.,One million people lost their lives in war.,0.8918539325842695
375,"Демократія — найгірша форма правління за винятком усіх інших, які людство спробувало до цього часу.","Democracy is the worst form of government, except all the others that have been tried.",Democracy is the worst form of government except for all the others that mankind has tried so far.,0.8444521792938081
376,"Коли ти починаєш ставати схожим на своє паспортне фото, тобі треба у відпустку.","When you're beginning to look like the photo in your passport, you should go on a holiday.","When you're starting to look like your passport photo, you need to go on vacation.",0.6733262416062762
377,Мої білі штани! І вони ж були нові.,"Oh, my white pants! And they were new.",My white pants! And they were new.,0.884784293464221
378,Ти ангел!,You're an angel!,You're an angel!,0.9921875
379,"Ну добре, ніч дуже довга, чи не так?","Well, the night is quite long, isn't it?","Well, it's a very long night, isn't it?",0.6284097797534854
380,Ти сумуєш за мною?,Did you miss me?,Do you miss me?,0.7937500000000002
381,Ти сумував за мною?,Did you miss me?,Did you miss me?,0.996
382,Вони всі однакові?,Are they all the same?,Are they all the same?,0.9976851851851852
383,Вони всі такі самі?,Are they all the same?,Are they all the same?,0.9976851851851852
384,Вони всі ідентичні?,Are they all the same?,Are they all identical?,0.635593220338983
385,Дуже дякую!,Thank you very much!,Thank you very much!,0.9921875
386,Щиро дякую!,Thank you very much!,Thank you very much!,0.9921875
387,Вельми дякую!,Thank you very much!,Thank you very much!,0.9921875
388,Величезне спасибі!,Thank you very much!,Thank you so much!,0.6388888888888888
389,Велике спасибі!,Thank you very much!,Thank you very much!,0.9921875
390,Ґречно вдячна.,Thank you very much!,Thank you very much.,0.9921875
391,"Скажіть, будь ласка, де яйця?","Where are the eggs, please?","Where are the eggs, please?",0.9976851851851852
392,Я візьму його.,I'll take him.,I'll take it.,0.7361111111111112
393,Я відвезу його.,I'll take him.,I'll drive him.,0.9921875
394,Це сюрприз.,It's a surprise.,It's a surprise.,0.9921875
395,Це гарна ідея!,That's a good idea!,That's a good idea!,0.996
396,Гарна думка!,That's a good idea!,Good idea!,0.39893617021276595
397,"Шкода, коли хтось помирає.",It's a pity when somebody dies.,It's a pity when someone dies.,0.8412698412698414
398,Чорт забирай! Це непогано!,Damn! It's not bad!,Damn it! That's not bad!,0.9490196078431373
399,Не відчиняти до повної зупинки потяга.,Don't open before the train stops.,Don't open before the train stops.,0.9985422740524781
400,"Ті, що живуть у скляних будинках, не повинні кидатися камінням.",Those who live in glass houses should not throw stones.,Those who live in glass houses should not throw stones.,0.9995
401,"Тим, хто живе у скляних будинках, не треба кидатися камінням.",Those who live in glass houses should not throw stones.,Those who live in glass houses should not throw stones.,0.9995
402,"Тим, хто живе у скляних домівках, не варто кидатись камінцями.",Those who live in glass houses should not throw stones.,Those who live in glass houses should not throw stones.,0.9995
403,"Кажуть, що любов сліпа.",They say love is blind.,It is said that love is blind.,0.7211538461538461
404,"О, мені дуже шкода.","Oh, I'm sorry.","Oh, I'm sorry.",0.9921875
405,"О, перепрошую.","Oh, I'm sorry.","Oh, I'm sorry.",0.9921875
406,"Ох, пробачте.","Oh, I'm sorry.","Oh, I'm sorry.",0.9921875
407,"Ох, пробач.","Oh, I'm sorry.","Oh, I'm sorry.",0.9921875
408,"Ой, вибачаюся.","Oh, I'm sorry.","Oh, I'm sorry.",0.9921875
409,"Ох, мені дуже шкода.","Oh, I'm sorry.","Oh, I'm sorry.",0.9921875
410,"Ох, мені шкода.","Oh, I'm sorry.","Oh, I'm sorry.",0.9921875
411,"Математика подібна коханню - ідея проста, але можуть бути ускладнення.","Math is like love - a simple idea, but it can get complicated.","Math is like love -- it's simple, but it can be complicated.",0.6619183285849952
412,"Бідний це не той, хто має замало, але той хто хоче забагато.","Poor is not the one who has too little, but the one who wants too much.","Poor is not the one who has too little, but the one who wants too much.",0.9998779296875
413,Ви говорите італійською?,Do you speak Italian?,Do you speak Italian?,0.996
414,Ти говориш італійською?,Do you speak Italian?,Do you speak Italian?,0.996
415,"Кажуть, що ""Гамлет"" - найцікавіша з усіх будь-коли написаних п'єс.","It is said that ""Hamlet"" is the most interesting play ever written.",They say Hamlet is the most interesting piece ever written.,0.4944477791116447
416,"Вважається, що ""Гамлет"" — одна з найцікавіших п'єс, що коли-небудь була написана.","It is said that ""Hamlet"" is the most interesting play ever written.","It is believed that ""Hamlet"" is one of the most interesting plays ever written.",0.9098674889574131
417,Можу я поставити питання?,May I ask a question?,May I ask a question?,0.9976851851851852
418,Я можу поставити запитання?,May I ask a question?,May I ask a question?,0.9976851851851852
419,Можна запитати?,May I ask a question?,May I ask you something?,0.625
420,Опанувати французьку мову за 2-3 роки доволі важко.,It's quite difficult to master French in 2 or 3 years.,It's hard to master French in two or three years.,0.9215917772067505
421,"Було б цікаво подивитися, як усе міняється протягом років.",It would be fun to see how things change over the years.,It would be interesting to see how things change over the years.,0.9139118457300276
422,Я би ніколи до цього не здогадався би.,I would never have guessed that.,I would never have guessed it.,0.8300000000000002
423,Ти мене коли-небудь забудеш.,You'll forget about me someday.,You'll ever forget me.,0.534957627118644
424,Це досить неочікувано.,That is rather unexpected.,That's rather unexpected.,0.6388888888888888
425,"Цікаво, як довго це триватиме.",I wonder how long it's going to take.,I wonder how long it'll last.,0.6691919191919192
426,Я не можу жити без телевізора.,I can't live without a TV.,I can't live without TV.,0.8534621578099838
427,Я не зміг би цього зробити без тебе. Дякую.,I couldn't have done it without you. Thank you.,I couldn't have done it without you. Thank you.,0.9995
428,Я не зміг би цього зробити без вас. Дякую.,I couldn't have done it without you. Thank you.,I couldn't have done it without you. Thank you.,0.9995
429,Я не змогла би цього зробити без тебе. Дякую.,I couldn't have done it without you. Thank you.,I couldn't have done it without you. Thank you.,0.9995
430,Я не змогла би цього зробити без вас. Дякую.,I couldn't have done it without you. Thank you.,I couldn't have done it without you. Thank you.,0.9995
431,Без зусиль нічого не добитися.,Nothing is achieved without effort.,Nothing can be achieved without effort.,0.7352941176470589
432,Життя без любові не має сенсу.,Life without love is just totally pointless.,Life without love makes no sense.,0.4267310789049919
433,Життя без кохання не має сенсу.,Life without love is just totally pointless.,Life without love makes no sense.,0.4267310789049919
434,"Дайте мені знати, якщо мені потрібно зробити будь-які зміни.",Let me know if I need to make any changes.,Let me know if I need to make any changes.,0.9995
435,"Я думаю, що іспити псують освіту.",I think exams are ruining education.,I think exams spoil education.,0.635593220338983
436,"Я думаю, що екзамени руйнують освіту.",I think exams are ruining education.,I think exams are ruining education.,0.9976851851851852
437,Ми не можемо спати через шум.,We can't sleep because of the noise.,We can't sleep because of the noise.,0.9990234375
438,Ми не можемо спати через галас.,We can't sleep because of the noise.,We can't sleep because of the noise.,0.9990234375
439,Ти маєш презерватив?,Do you have a condom?,Do you have a condom?,0.9976851851851852
440,"Роби все, що він тобі каже.",Do whatever he tells you.,Do whatever he tells you.,0.996
441,"Робіть все, що він вам каже.",Do whatever he tells you.,Do whatever he tells you.,0.996
442,"Зроби все, що він тобі скаже.",Do whatever he tells you.,Do whatever he tells you.,0.996
443,"Зробіть все, що він вам скаже.",Do whatever he tells you.,Do whatever he tells you.,0.996
444,Я можу дійти до школи за 10 хвилин.,I can walk to school in 10 minutes.,I can go to school in 10 minutes.,0.864795918367347
445,"Мені було потрібно більше двох годин, щоб перекласти кілька сторінок англійської мови.",It took me more than two hours to translate a few pages of English.,It took me over two hours to translate a few pages of English.,0.8613109512390087
446,Вже одинадцята година.,It is already eleven.,It's already 11 o'clock.,0.6233062330623306
447,Чи я можу поговорити з пані Браун?,May I talk to Ms. Brown?,May I speak to Mrs Brown?,0.8412698412698414
448,"""Так, будь ласка помаранчовий сік,"" сказав Майк.","""Yes, orange juice please,"" says Mike.","""Yes, orange juice please,"" said Mike.",0.9990234375
449,"""Ах!"" — це вигук.","""Ah!"" is an interjection.",'Oh!' it's a cry.,0.0
450,Чого ти хочеш?,What do you want?,What do you want?,0.996
451,Що вам треба?,What do you want?,What do you want?,0.996
452,Чого ви хочете?,What do you want?,What do you want?,0.996
453,Що хочете?,What do you want?,What do you want?,0.996
454,"Вам необхідно, щоб я дав вам гроші?",Do you need me to give you some money?,Do you need me to give you money?,0.9041027559546079
455,"Тобі необхідно, щоб я дав тобі гроші?",Do you need me to give you some money?,Do you need me to give you money?,0.9041027559546079
456,У мене є мрія.,I have a dream.,I have a dream.,0.9921875
457,Я маю мрію.,I have a dream.,I have a dream.,0.9921875
458,"Але все ж таки, супротивне також завжди істинно.","And yet, the contrary is always true as well.","But still, the opposite is always true.",0.5499999999999999
459,Ти схожий на дурня.,You look stupid.,You look stupid.,0.9814814814814815
460,Ти схожа на ідіотку.,You look stupid.,You look stupid.,0.9814814814814815
461,"Я, мабуть, піду спати.",I think I'm gonna go to sleep.,I'll probably go to bed.,0.2937420178799489
462,"Я, мабуть, пішов спати.",I think I'm gonna go to sleep.,I must've gone to bed.,0.2937420178799489
463,"Я, мабуть, пішла спати.",I think I'm gonna go to sleep.,I must be going to bed.,0.2937420178799489
464,Мене звуть Джек.,My name is Jack.,My name is Jack.,0.9921875
465,Мене звати Джек.,My name is Jack.,My name is Jack.,0.9921875
466,Моє ім'я - Джек.,My name is Jack.,My name is Jack.,0.9921875
467,Мене кличуть Джеком.,My name is Jack.,They call me Jack.,0.25
468,Мені це дуже подобається.,I like it very much.,I like it a lot.,0.5888888888888889
469,Вона мені дуже подобається.,I like it very much.,I like her a lot.,0.37500000000000006
470,Ми зустрічаємося завтра?,We're meeting up tomorrow?,Are we seeing each other tomorrow?,0.5174180327868853
471,Ми завтра зустрінемося?,We're meeting up tomorrow?,Are we meeting tomorrow?,0.534957627118644
472,Як це сказати італійською?,How do you say that in Italian?,How do you say that in Italian?,0.9990234375
473,"Мушу йти за покупками, повернуся за годину.",I have to go shopping. I'll be back in an hour.,I have to go shopping. I'll be back in an hour.,0.9997106481481481
474,Це далеко звідси?,Is it far from here?,Is it far from here?,0.9976851851851852
475,Ці речі не мої!,These things aren't mine!,These things aren't mine!,0.996
476,"Дякую, це все.","Thanks, that's all.","Thank you, that's all.",0.9146341463414633
477,Ти не хотів би зі мною потанцювати?,Would you like to dance with me?,Would you like to dance with me?,0.9990234375
478,Ти не хотіла би зі мною потанцювати?,Would you like to dance with me?,Would you like to dance with me?,0.9990234375
479,Італія - дуже гарна країна.,Italy is a very beautiful country.,Italy is a very beautiful country.,0.9976851851851852
480,Італія - це дуже красива країна,Italy is a very beautiful country.,Italy is a very beautiful country,0.9976851851851852
481,Італія - дуже красива країна.,Italy is a very beautiful country.,Italy is a very beautiful country.,0.9976851851851852
482,Італія — дуже гарна країна.,Italy is a very beautiful country.,Italy is a very beautiful country.,0.9976851851851852
483,Це не моя провина.,It's not my fault!,It's not my fault.,0.996
484,Я хотів би залишитись на одну ніч.,I'd like to stay for one night.,I'd like to stay one night.,0.8757427021441488
485,Можете набрати мені номер? Для мене телефон зависоко.,Could you dial for me? The telephone is too high.,Can you dial a number for me?,0.4523364485981308
486,"Наберіть мені номер, бо телефон занадто високо для мене.",Could you dial for me? The telephone is too high.,"Call me the number, because the phone is too high for me.",0.5067567567567568
487,Де душова?,Where are the showers?,Where's the shower?,0.7500000000000001
488,Рот відкрий!,Open your mouth!,Open the mouth!,0.3333333333333333
489,Відкрий рота.,Open your mouth!,Open your mouth.,0.9814814814814815
490,Це погано?,Is it bad?,Is it bad?,0.9921875
491,Я загубив гаманець.,I have lost my wallet.,I've lost my wallet.,0.7500000000000001
492,Я загубила гаманець.,I have lost my wallet.,I've lost my wallet.,0.7500000000000001
493,Він вельми сексуальний.,He's very sexy.,He's very sexy.,0.9921875
494,Маємо забагато справ!,There are too many things to do!,There's too much to do!,0.4574275362318841
495,"Ну пограй зі мною, бо мені нудно!","Come on, play with me, I'm so bored!","Well, play with me 'cause I'm bored!",0.6320224719101123
496,Через тебе я втратив апетит.,Thanks to you I've lost my appetite.,You robbed me of my appetite.,0.32763532763532766
497,Мені дуже потрібно когось ударити.,I really need to hit somebody.,I really need to hit someone.,0.8300000000000002
498,Хто ж не знає цієї проблеми?,Who doesn't know this problem?!,Who doesn't know this problem?,0.9985422740524781
499,"Якщо ти не хочеш користуватися сонцезахисним кремом, це твоя проблема. Але потім не приходь до мене жалітися, коли в тебе буде сонячний опік.","If you don't want to put on sunscreen, that's your problem. Just don't come complaining to me when you get a sunburn.","If you don't want to use sunscreen, it's your problem, but don't come complaining to me when you get sunburn.",0.843848292004974
500,"Якщо ви не хочете користуватися сонцезахисним кремом, це ваша проблема. Але потім не приходьте до мене жалітися, коли у вас буде сонячний опік.","If you don't want to put on sunscreen, that's your problem. Just don't come complaining to me when you get a sunburn.","If you don't want to use sunscreen, that's your problem, but don't come complaining to me when you get sunburn.",0.8859720741135698
501,"Я такий злий... Тепер щоразу як вмикаю комп'ютер, це цілий головний біль!",So annoying... Now I get a headache whenever I use the computer!,"I'm so angry... now every time I turn on my computer, it's a headache!",0.38676761026991446
502,"Так дратує... Тепер у мене болить голова кожного разу, коли я користуюся комп'ютером!",So annoying... Now I get a headache whenever I use the computer!,It's so annoying... now I have a headache every time I use a computer!,0.7621951219512195
503,"Так спекотно, що можна було б смажити яйця на капотах машин.",It's so hot that you could cook an egg on the hood of a car.,It's so hot that you could fry an egg on the hoods of a car.,0.9363888888888889
504,Сьогодні дуже жарко.,It is very hot today.,It's very hot today.,0.7500000000000001
505,Сьогодні дуже спекотно.,It is very hot today.,It's very hot today.,0.7500000000000001
506,Ніхто не прийшов.,Nobody came.,No one came.,0.2380952380952381
507,Я ніколи не бачив червоного холодильника.,I never saw a red fridge.,I've never seen a red refrigerator.,0.5174180327868853
508,Я ніколи не бачила червоного холодильника.,I never saw a red fridge.,I've never seen a red refrigerator.,0.5174180327868853
509,Я ніколи не бачив червоних холодильників.,I never saw a red fridge.,I've never seen a red refrigerator.,0.5174180327868853
510,"Математика є частиною науки, якою можна продовжувати займатись, якщо навіть ви прокинулися вранці і виявили, що всесвіту немає.",Mathematics is the part of science you could continue to do if you woke up tomorrow and discovered the universe was gone.,Math is part of the science that you can continue to do if even you wake up in the morning and you find there's no Universe.,0.53520987654321
511,"Мої очі океан, в якому відображаються мої мрії.",My eyes are an ocean in which my dreams are reflected.,My eyes are an ocean in which my dreams are reflected.,0.9996243425995492
512,"Дивись на мене, коли я з тобою розмовляю!",Look at me when I talk to you!,Look at me when I talk to you!,0.9990234375
513,Яким би був світ без жінок?,What would the world be without women?,What would a world be like without women?,0.8301839254220206
514,"Що, якби ти виступав з промовою, і ніхто не прийшов?",What if you gave a speech and nobody came?,What if you gave a speech and no one came?,0.8861997310842195
515,"Я не знаю що тобі сказати, щоб тобі покращало.",I don't know what to say to make you feel better.,I don't know what to say to make you feel better.,0.9997106481481481
516,"Я не знаю, що сказати, щоб тобі стало краще.",I don't know what to say to make you feel better.,I don't know what to say to make you feel better.,0.9997106481481481
517,"Я не знаю, що сказати, щоб вам стало краще.",I don't know what to say to make you feel better.,I don't know what to say to make you feel better.,0.9997106481481481
518,Це не мій типаж.,This is not my type.,That's not my type.,0.5888888888888889
519,Я намагався вбити час.,I was trying to kill time.,I tried to kill time.,0.8203389830508474
520,Як ти додумався до цієї шаленої думки?,How did you come up with this crazy idea?,How did you come up with this crazy idea?,0.9995
521,Я втомився.,I'm tired.,I'm tired.,0.9814814814814815
522,Я втомилася.,I'm tired.,I'm tired.,0.9814814814814815
523,Хто хоче гарячого шоколаду?,Who wants some hot chocolate?,Who wants hot chocolate?,0.8203389830508474
524,Кому какао?,Who wants some hot chocolate?,Who wants hot chocolate?,0.8203389830508474
525,Хто хоче какао?,Who wants some hot chocolate?,Who wants some chocolate?,0.8203389830508474
526,"Говори повільніше, будь ласка!","Speak more slowly, please!","Speak more slowly, please!",0.9921875
527,Коли ми прибуваємо?,When do we arrive?,When do we arrive?,0.996
528,"Рахунок, будь ласка.","The check, please.","The bill, please.",0.3333333333333333
529,І що будемо тепер робити?,And what are we going to do?,What do we do now?,0.25641025641025644
530,У мене болить голова.,I have a headache.,My head hurts.,0.0
531,Мені болить голова.,I have a headache.,My head hurts.,0.0
532,Звідки можна подзвонити?,Where can one make a phone call?,Where can I make a phone call?,0.9990234375
533,"Я повинен визнати, що хроплю.",I must admit that I snore.,I must admit I'm snoring.,0.7433333333333335
534,Сьогодні ввечері ми збираємось до церкви.,Tonight we're going to church.,We're going to church tonight.,0.9814814814814815
535,Як ти? Сподобалася подорож?,How are you? Did you have a good trip?,How are you? Have you enjoyed your trip?,0.6880733944954129
536,Я погано почуваюся.,I don't feel well.,I feel bad.,0.20833333333333331
537,Не відчуваю себе добре.,I don't feel well.,I don't feel good.,0.996
538,Мені не дуже добре.,I don't feel well.,I'm not feeling well.,0.5111111111111111
539,Я не дуже добре почуваюся.,I don't feel well.,I don't feel well.,0.996
540,Викличте поліцію!,Call the police!,Call the police!,0.9814814814814815
541,Це занадто дорого!,It's too expensive!,It's too expensive!,0.9921875
542,Це задорого!,It's too expensive!,It's too expensive!,0.9921875
543,Задорого.,It's too expensive!,Too expensive.,0.4934210526315789
544,Задорого!,It's too expensive!,Too expensive!,0.4934210526315789
545,"Вона вдає, що спить. Ось чому не хропить.",She's faking sleep. That's why she's not snoring.,She pretends to be asleep. That's why she's not snoring.,0.7150900900900901
546,Моï черевики дуже малi. Менi потрiбнi новi.,My shoes are too small. I need new ones.,My shoes are very small. I need new ones.,0.8819444444444444
547,Ми йдемо звідси. Поліцейські йдуть.,We're getting out of here. The cops are coming.,We're leaving here. The cops are coming.,0.7059558517284465
548,Веселого Різдва!,Merry Christmas!,Merry Christmas!,0.9375
549,З Різдвом!,Merry Christmas!,Merry Christmas!,0.9375
550,"Було б так круто, якби я розмовляв десятьма мовами!",It would be so cool if I could speak ten languages!,It would be so cool if I could speak ten languages!,0.9996243425995492
551,"""Якщо ви втомилися, чому б вам не піти спати?"" ""Тому що, якщо я зараз піду спати, то встану зарано.""","""If you're tired, why don't you go to sleep?"" ""Because if I go to sleep now I will wake up too early.""","""If you're tired, why don't you go to bed?"" ""Because if I go to bed now, I'll get up too early.""",0.860303448275862
552,Ви мали послухатись мене.,You should have listened to me.,You should have listened to me.,0.9976851851851852
553,Що це передбачає?,What does it involve?,What does that involve?,0.7500000000000001
554,"Сто п'ятдесят тисяч пар, як очікується, одружаться в Шанхаї в 2006 році.",One hundred and fifty thousand couples are expected to get married in Shanghai in 2006.,One hundred and fifty thousand couples are expected to get married in Shanghai in 2006.,0.9998518518518519
555,Півмільйона дітей як і раніше стикаються з недоїданням в Нігері.,Half a million children still face malnutrition in Niger.,Half a million children still face malnutrition in Niger.,0.9993141289437586
