Unnamed: 0,EN,UK,TRANSLATION,BLEURT_Score
249.0,"If you relax, it will enable me to do anything I please","У дивний світ зі мною ти майни - Туди, де панують сни.","Якщо ти розслабишся, це дасть мені змогу зробити все, що я захочу.",0.4567508101463318
250.0,He knows!,Він знає.,Він знає!,0.8870680332183838
251.0,It's David.,Це Девід.,Это Дэвид.,0.551749050617218
252.0,"Go, find the cure!",Знайди зілля! Врятуй себе.,Найди лекарство!,-0.09939877688884735
253.0,"Bergin and water.""",барбону з водою.',"Бергін і вода.""",0.5671359896659851
254.0,Okay?,Розумієш?,Хорошо?,0.26708322763442993
255.0,"Most of the time, & knode; determines the correct MIME type for the attachment; if & knode; detects it incorrectly, you can correct the MIME type manually.","У більшості випадків & knode; правильно визначатиме тип MIME долучення. Якщо & knode; визначить цей тип неправильно, ви зможете вказати тип MIME вручну.","У більшості випадків & knode; визначає тип MIME долучення. Якщо & knode; виявить його неправильно, ви можете виправити тип MIME вручну.",0.6106793284416199
256.0,"Yeah, I'm sure.","Так, насправді.","Да, я уверен.",-0.10846807062625885
257.0,- Neither.,"- Ні те, ні інше.","- Ни то, ни другое.",0.37377575039863586
258.0,"Many are noting a similarity to the Westchester incident over a year ago... that left over 600 injured... and took the lives of seven mutants, including several of the X-Men.","Ця ситуація схожа на ту, що сталася понад рік тому у Вестчестері, залишивши по собі 600 поранених і забравши життя 7 мутантів, зокрема кількох людей Ікс.","Багато хто помітив подібність до інциденту з Вестчестером більше року тому... який залишив по собі 600 поранених... і забрав життя семи мутантів, у тому числі кількох людей Ікс.",0.5634941458702087
259.0,I will carry him if I must.,"- ... у нього! - Філі. Я понесу його, якщо треба буде!","Я понесу його, якщо треба.",-0.15544189512729645
260.0,This is a fight they cannot win.,"Це битва, в якій їм не перемогти.","Це битва, яку вони не можуть виграти.",0.737038254737854
261.0,Graphics,Графіка,Графіка,0.9440548419952393
262.0,I can't.,Не можу.,Я не могу.,0.9146571159362793
263.0,In the woods.,У лісі.,В лесу.,-0.13608907163143158
264.0,- That's it.,"Давай, тужься.",- Це все.,-0.8678286075592041
265.0,"Look,um,after I drop him off at his dad's, why don't I come back and show my appreciation for those earrings?","подумай, після того як я покину його, в його тата чому б мені не повернутися і не виказати мою подяку за ті сережки?","Слушай, после того, как я заброшу его к отцу, почему бы мне не вернуться и не показать свою благодарность за эти сережки?",0.4815635681152344
266.0,IP Messenger for the GNOME2,IP Месенджер для GNOME2,IP- клієнт для GNOME2,0.3044642210006714
267.0,Then we're dead.,Якщо ви помиляєтесь? Тоді ми всі мертві.,Тоді ми мертві.,-0.20036233961582184
268.0,Family comes first?,Сім'я на першому місці?,Сім'я - на першому місці?,0.9364306926727295
269.0,"Yeah,so?",ну та й що?,"так, і що?",0.11797378212213516
270.0,Sweet dreams.,Солодких снів.,Солодких снів.,0.9516750574111938
271.0,Damn it.,Черт.,Черт.,0.9311098456382751
272.0,"Uh, Jared Dunn's.",Джареда Данна.,Джареда Данна.,0.9518518447875977
273.0,I'll lend you my notebook.,Я позичу тобі свою записну книжку.,Я позичу тобі свій записник.,0.6085482239723206
274.0,Let's do it!,Успіхів!,Зробімо це!,0.5857557654380798
275.0,Welcome to the Print Assistant. This assistant will help you with the printing of your photos. Click the'Next 'button to begin.,"Ласкаво просимо до Помічника друку. Цей помічник допоможе вам у процесі друку ваших фотографій. Натисніть кнопку « Далі », щоб розпочати цей процес.","Ласкаво просимо до Помічника друку. Цей помічник допоможе вам у друкуванні ваших фотографій. Натисніть кнопку "" Далі,"" щоб розпочати друк.",0.7166945934295654
276.0,Not really.,не зовсім.,Не зовсім.,0.9528856873512268
277.0,Thank you.,Дякую вам.,Дякую.,0.06743495166301727
278.0,- [Gail] Hey.,- [Гейл] Привіт!,- Привет.,-0.10975517332553864
279.0,You begged the Deer God for him.,що Богоолень лише ваш!,Ты молил за него Богооленя.,0.3265492916107178
280.0,Delimiter,Роздільник,Роздільник,0.9438127279281616
281.0,"Specify the characteristics of alarm message windows: If checked, the window is a normal window with a title bar, which grabs keyboard input when it is displayed. If unchecked, the window does not interfere with your typing when it is displayed, but it has no title bar and cannot be moved or resized.","Вкажіть параметри вікна нагадування: Якщо позначено, вікно буде звичайним вікном із смужкою заголовка і після появи буде приймати дані, що вводяться з клавіатури. Якщо знято позначку, вікно не перешкоджатиме вашому друку на клавіатурі, але воно не матиме смужки заголовка і його буде неможливо пересувати та міняти його розмір. @ action: button","Вкажіть характеристики вікон повідомлень нагадування: якщо буде позначено цей пункт, вікно буде звичайним вікном з смужкою заголовка, за допомогою якої можна буде отримати дані з клавіатури під час показу. Якщо позначки поряд з пунктом не буде, вікно не буде перешкоджати вашому введенню під час показу, але у нього не буде смужки заголовка, його не можна буде пересувати або змінювати розмір вікна.",0.3653462827205658
282.0,Of course not.,звісно ні.,"Звичайно, що ні.",0.8216902017593384
283.0,You should come.,Приїжджай.,Тобі слід прийти.,0.5854660272598267
284.0,I'm with him.,- Так. Я з тобою.,Я з ним.,-0.48184823989868164
285.0,Usage of FCNTL locking might cause system lockups when the mail spool file is on an NFS mounted device.,"Використання блокування FCNTL може призвести до зависання системи, якщо файл сховища пошти знаходиться на пристрої, змонтованому за допомогою NFS.","Використання блокування FCNTL може призвести до блокування системи, якщо файл сховища пошти знаходиться на змонтованому пристрої NFS.",0.7068018913269043
286.0,I invested it.,Інвестував.,Я его инвестировала.,0.7040642499923706
287.0,- Why did she leave?,- Але чому вона поїхала?,- Чому вона пішла?,0.5698375105857849
288.0,"""Two households, both alike in dignity,","""Два доми, родовитістю рівні","""Два родини, однакової гідності,",0.8219893574714661
289.0,There are few who can.,Це мало хто зміг би.,Мало хто може.,0.1361580640077591
290.0,I have never been more alone.,Я ще ніколи не був такий самотній.,Я ще ніколи не був такий самотній.,0.9454365968704224
291.0,"This dialog will allow you to specify a PostgreSQL account that has the necessary permissions to access the Krecipes PostgreSQL database. This account may either be a PostgreSQL superuser or have the ability to both create new PostgreSQL users and databases. If no superuser or privileged account is given, the account'postgres' will be attempted, with no password. If this is insufficient for your PostgreSQL setup, you must select the appropriate option below to enter the information of a privileged PostgreSQL account.","За допомогою цього діалогового вікна ви можете вказати обліковий запис PostgreSQL, який має потрібні права доступу до бази даних PostgreSQL Krecipes. Цим обліковим записом може бути або обліковий запис суперкористувача PostgreSQL, або обліковий запис, користувач якого може створювати нових користувачів і бази даних PostgreSQL. Якщо не буде надано облікового запису суперкористувача або привілейованого облікового запису, буде зроблено спробу використати обліковий запис « postgres » без пароля. Якщо цього недостатньо для налаштування вашого PostgreSQL, вам слід вибрати нижче відповідний параметр, щоб ввести інформацію про привілейований обліковий запис PostgreSQL.","За допомогою цього діалогового вікна ви зможете вказати обліковий запис PostgreSQL, який має потрібні права доступу до бази даних PostgreSQL Krecipes. Цим обліковим записом може бути або суперкористувач PostgreSQL, або програма може створити нових користувачів PostgreSQL і бази даних. Якщо не буде вказано облікового запису суперкористувача або привілейованого облікового запису, буде зроблено спробу облікового запису "" postgres, без пароля. Якщо цього недостатньо для налаштування вашого PostgreSQL, вам слід обрати відповідний пункт, щоб ввести дані привілейованого облікового запису PostgreSQL.",0.3789483904838562
292.0,And Dr. Yedlin is a world-class surgeon who's received numerous awards and fellowships.,Та Dr. Едлін. світового класу хірург який отримав численні нагороди і стипендії.,"І Dr. Едлін - всесвітньокласний хірург, який отримав численні нагороди і спілкування.",0.8912745714187622
293.0,A lot of Chester's Millers made that happen.,Багато жителів Честер Міллу доклали до цього зусиль.,Багато Честерових Міллерів зробили це.,0.23343384265899658
294.0,"Oh, charlie. Don't you think you need to slow down a bit?","оу Чарлі. ти не думаєш, що тобі треба трохи пригальмувати?",оу Чарлі. ти не думаєш що тобі треба трохи сповільнитися?,0.866213321685791
295.0,Let the Krauts cook their own goddamn food.,Нехай фріци готують свою чортову їжу.,Нехай фріці самі варять свою кляту їжу.,0.8207389116287231
296.0,- This is no ordinary arrest.,- Це незвичайний арешт.,- Це не звичайний арешт.,0.9462774395942688
297.0,Create directory in current panel.,Створити каталог в поточній панелі.,Створити каталог на поточній панелі.,0.9257663488388062
298.0,What are you talking about?,Про що ти говориш?,О чем ты говоришь?,0.7798141241073608
299.0,Size:,Розмір:,Розмір:,0.9338893890380859
300.0,"This configuration dialog allows altering settings only for the selected window or application. Find the setting you want to affect, enable the setting using the checkbox, select in what way the setting should be affected and to which value.","За допомогою цього діалогового вікна налаштування можна змінити властивості тільки для вибраного вікна чи програми. Знайдіть властивість, яку потрібно змінити, активуйте її за допомогою прапорця, оберіть властивість вікна та її бажане значення.","За допомогою цього діалогового вікна налаштування можна змінити параметри лише для вибраного вікна або програми. Знайдіть параметр, який ви бажаєте змінити, позначте цей пункт, оберіть спосіб зміни параметрів і те, яке з них слід змінити.",0.391531765460968
301.0,"Dillon, better get on the radio.",Діллан. Виходь на зв'язок.,"Дiллoн, вiдпoвiдaйcя нa рaм.",-0.18677358329296112
302.0,Choose Chair as the role.,Оберіть у спадному списку ролі Головуючий.,Оберіть роль Крістя.,-0.016788974404335022
303.0,Damn.,Дідько.,Чорт.,-0.38873445987701416
304.0,This is a dummy setting for player setup.,Це тестовий параметр налаштування гравця.,Це набірне значення для налаштування гравця.,0.7696911096572876
305.0,But if he's the fourth hand...,Але що як він четверта рука...,Але якщо він четверта рука...,0.9323545098304749
306.0,You just can't see it.,Ти просто не можеш її бачити.,Ти просто не можеш цього бачити.,0.9257938861846924
307.0,I'm free.,Я вільна.,Я вільна.,0.9284531474113464
308.0,"First off, Monica, you're not fooling any of us for even a second with your dress-shitty- to-ease-the-pain routine.","По-перше, Моніко, цей твій лайновий прикид, який має полегшити нам біль, не працює.","По-перше, Моніко, ти не обдуриш жодного з нас хоча б на секунду своїм лайновим одягом.",0.6367078423500061
309.0,"They're coming, Cage.","Вони вже близько, Кейдж.","Вони йдуть, Кейдж.",0.5180298686027527
310.0,"Come on, let's get a couple more of these.","Пішли, йдемо ще дістанемо парочку.","Ну ж бо, давайте зробимо ще пару таких.",0.7774331569671631
311.0,"Well, whatever it is your business does, I don't think it's going to interfere with my irrigation company here.","Неважливо, чим ти займаєшся, не думаю, що це нашкодить моїй зрошувальній компанії","Що б там не було, це не буде заважати моїй зрошувальній компанії.",0.6211972832679749
312.0,"Mosche Frenkiel, the Jewish orphanage in Warsaw.",Я Моше Френкель. Представник жидівського сиротинця з Варшави.,"Мосче Френкель, єврейський притулок у Варшаві.",0.5038405656814575
313.0,"Yeah, I remember.","Да, я помню.","Так, я пам'ятаю.",0.4771506190299988
314.0,"Decreases the game speed by one unit, down to a minimum of 2 units (a fifth of normal speed). You can use the - key as a shortcut.","Зменшує швидкість гри на один пункт, аж до мінімального значення у 2 пункти (одна п’ ята звичайної швидкості). Клавіатурним скороченням цієї дії є клавіша -.","Зменшує швидкість гри на одну одиницю, аж до мінімального значення у 2 одиницях (п' яти звичайної швидкості). Клавіатурним скороченням є клавіша -.",0.6994171142578125
315.0,You ready?,В тебе гарне тіло Енестейжа.,Готовий?,-0.7610746026039124
316.0,& Write Into All,Записати всі,& Записати всі,0.579185962677002
317.0,- Like my ride? - Um...,Як тобі мої колеса?,Как моя машина?,0.19450786709785461
318.0,I don't wanna live in this world no more.,Я більше не хочу жити в цьому світі.,Я більше не хочу жити в цьому світі.,0.9384936690330505
319.0,Take care of lil ass-kicker.,Позаботься о маленькой забияке.,Подбайте про крейсера.,-0.01391001045703888
320.0,"I mean, I guess, technically, I could have...","У принципі можна. Формально я міг би, але...","Я имею в виду, технически, я мог бы...",0.2282177358865738
321.0,Smartass.,Хитрий який.,Умник.,-0.35525941848754883
322.0,"Hey, no.",Ніхера...,"Гей, ні.",0.47162485122680664
323.0,All my years no one's ever done anything like this for me.,Мені ніколи ніхто в житті не робив таких сюрпризів.,Все мои годы никто никогда не делал ничего подобного для меня.,0.5249685049057007
324.0,"He's been working in the mining camps, trying to get his family back.",Він працював у гірському таборі. Він намагається повернути сім'ю.,"Він працює у шахтарських таборах, намагаючись повернути свою сім'ю.",0.8842324018478394
325.0,"Ding, ding, ding!",Динь-динь-динь!,Динь-динь-динь!,0.9366207122802734
326.0,I can drink a beer underwater.,Я можу пити пиво під водою.,Я можу пити пиво під водою.,0.9278600215911865
327.0,"Frodo Baggins is my name, and this is Samwise Gamgee.",Мене звати Фродо Торбин. А це Семуайз Гамджі.,"Фродо Торбин - моє ім'я, а це Самуайзе Гамджі.",0.5855411887168884
328.0,- How am I doing me first day?,- То як тобі мій перший день?,- Як я роблю свій перший день?,0.7753944993019104
329.0,The White Wizard?,Білий Чарівник?,Білий Чарівник?,0.9506348371505737
330.0,Cut: Edit Cut equivalent; cut the selection to the clipboard.,Вирізати: еквівалент пункту меню Правка Вирізати; вирізає виділений фрагмент до буфера обміну інформацією.,Вирізати: еквівалент пункту меню Правка Вирізати; вирізати вибране до буфера обміну інформацією.,0.5709951519966125
331.0,"- Hey, hey.","- Тихіше, тихіше.","- Эй, эй.",-0.5929529666900635
332.0,Reminder for first recurrence only,Завчасне нагадування тільки для першого повторення@ option: check,Нагадування лише для першого повторення@ info: whatsthis,0.013355538249015808
333.0,"Just mineral water, please.",Мінеральну воду. Лише мінеральну воду.,"Просто мінеральна вода, будь ласка.",0.4648202657699585
334.0,- Yes. We have her cornered.,Ми загнали її в кут.,Ми її загнали у кут.,0.8716731667518616
335.0,Just a dog,Такий собі...,Просто собака.,0.49252545833587646
336.0,My DVD's broke.,Мій ДВД зломався.,Мій DVD зламався.,0.1329951137304306
337.0,"I'll pay you the money you lost, okay?","Ну ж бо... Я поверну тобі гроші, щоб компенсувати втрати.","Я заплачу вам деньги, которые вы потеряли, хорошо?",0.5009679794311523
338.0,"Just so you don't think I'm a complete swine... if there's anything in Dark Windows you can use, it's all yours.","Щоб Ви не вважали мене повною свинею, ""Темні вікна"" можете використати, як вважаєте за потрібне. Вони Ваші.","Щоб ти не думав, що я повний свинь... якщо у Темних вікнах є щось, що ти можеш використати, то це все твоє.",0.25624915957450867
339.0,Makes the dialog transient for an X app specified by winid,Робить вікно пов’ язаним з програмою X з вказаним winid,Робить вікно перехідним для програми X з вказаним winid,0.8705005645751953
340.0,Be careful.,"Нехай йдуть, він поранений.",Будь осторожен.,-0.06976854801177979
341.0,gFTP Import plugin,Додаток імпорту з gFTPComment,Додаток імпорту gFTPComment,0.9206153750419617
342.0,The raids are in the Haga basin.,Напади відбуваються в районі Наґи.,Напади знаходяться у басейні Гаги.,0.40671372413635254
343.0,"Look, Curtis.","Поглянь, Кьортісе.","Слухай, Кьортісе.",0.6882859468460083
344.0,And you must lay so very nice and still.,Мусиш лежати чемно і тихо.,А ти повинен лежати так мило і спокійно.,0.7193930149078369
345.0,Encryption,Шифрування,Шифрування,0.9517757296562195
346.0,This man page was prepared by Jan Schaumann jschauma@netmeister. org for the Missing Man Pages Project (http: / /www. netmeister. org/ misc/ m2p2/ index. html.,"Автором цієї сторінки довідника є Jan Schaumann jschauma@ netmeister. org, її було створено для Проекту відсутніх сторінок довідника (http: // www. netmeister. org/ misc/ m2p2/ index. html.",Цю сторінку довідника було підготовлено Jan Schaumann jschauma@ netmeister. org для проекту відсутніх сторінок man (http: // www. netmeister. org/ misc/ m2p2/ index. html.,0.43591737747192383
347.0,"You're giving me what I want to know, whether you realize it or not.","Ти вже мені кажеш те, що я хочу дізнатись, розумієш ти це чи ні.","Ти даєш мені те, що я хочу знати, розумієш ти це чи ні.",0.5716117024421692
348.0,I'll fucking kill ya.,"Я вас, сука, вб'ю.","Я тебе, курва, вб'ю.",0.5405418872833252
349.0,"- No, it's not.",﻿Ні. не буде.,"- Ні, це не так.",0.5995166301727295
350.0,"Yeah, but you don't want stock in our company.","Так, але ти не хочеш акції нашої компанії.","так, але ти не хочеш акції в нашій компанії.",0.9478742480278015
351.0,I know you're miserable.,"Я знаю, що ти нужденний.","Я знаю, що ти нещасний.",0.922637939453125
352.0,Demultiplexer used for the file or stream,"Селектор, що використовуватиметься для файла або потоку","Демультиплексор, що використовується для файла або потоку",0.9348459839820862
353.0,"Mm, right.","Ну, ясно.","Мм, так.",-0.8069912195205688
354.0,Select the first of the two points of which you want to construct the midpoint...,"Виберіть першу з двох точок, для якої ви бажаєте побудувати середню точку...","Виберіть першу з двох точок, для яких ви бажаєте побудувати середню точку...",0.9273930788040161
355.0,"You take the ball, you jump up, and put it in the basket.","Береш м'яч, підстрибуєш і кладеш його в корзину.","Ви берете м'яч, підстрибуєте і кладете його в кошик.",0.8930802345275879
356.0,I'm always here for you.,Я завжди готова тобі допомогти.,Я завжди тут для тебе.,0.22779281437397003
357.0,I do love him.,Я кохаю його.,Я люблю его.,0.5557735562324524
358.0,Identity,Профіль,Профіль,0.9421449899673462
359.0,So that...,Щоб...,Так что...,0.38827645778656006
360.0,- Mr. Frodo!,- Пане Фродо!,- Пане Фродо!,0.940600574016571
361.0,We do not sow.,Девіз: Ми не сіємо.,Ми не сіємо.,0.11883082985877991
362.0,- Hi.,- Привіт.,- Привіт.,0.9468382000923157
363.0,Copy to repository,Копіювати до сховища,Копіювати до сховища,0.9462378025054932
364.0,"Listen, when she took Finch, Root killed a former Intelligence operative named Alicia Corwin.","Коли вона викрала Фінча, вона вбила колишнього співробітника розвідки.","Слухай, коли вона забрала Фінча, Рут вбила колишнього агента розвідки на ім'я Алісія Корвін.",0.8004060983657837
365.0,You know what I've got.,"﻿Ти знаєш, що в мене.","Ты знаешь, что у меня есть.",0.1444602906703949
366.0,And neither do those Peeping Toms with their eyes in the sky.,"Так як і всі ті роззяви, що літають в небесах.","І ті, що плачуть, не мають очей на небі.",0.19218072295188904
367.0,You're lucky to be alive.,"Тобі пощастило, що ти досі жива.","Тобі пощастило, що ти живий.",0.7564815878868103
368.0,Minimal View,Мінімалістичний перегляд,Мінімалістичний перегляд,0.951731264591217
369.0,"I'm all he has, and you'll see, he's very handsome.","У нього є тільки я, і побачиш, він дуже гарний.","Я все, що в нього є, і ви побачите, він дуже гарний.",0.7632531523704529
370.0,Widget type:,Тип віджета:,Тип віджета:,0.9377262592315674
371.0,"Yeah, well, you got a lot to learn.","Даа, тебе еще многому учиться","Да, тебе еще многое нужно учиться.",0.930486261844635
372.0,You lied?,Tи збрехав мені?,Ты соврал?,-0.28561967611312866
373.0,Kexi Open Database Connectivity Driver,Драйвер з' єднання Kexi Open DatabaseName,Драйвер з' єднання Kexi Open DatabaseName,0.9341238737106323
374.0,- Don't be a jerk.,- Не будь ідіотом.,- Не будь покидьком.,0.6161659359931946
375.0,That was tryouts.,Тo були тpенування.,Это были пробки.,0.02183525264263153
376.0,Input:,Ввід:,Ввід:,0.927862823009491
377.0,Toggles the Pending Operations panel: This command turns the display of the operation list on and off.,Вмикає або вимикає показ панелі черги дій: за допомогою цього пункту можна ховати або показувати список дій.,Вмикає або вимикає показ панелі черги дій: за допомогою цього пункту можна увімкнути або вимкнути показ списку дій.,0.6819671988487244
378.0,Asia/ Shanghai,Азія/ Шанхай,Азія/ Шанхай,0.9470031261444092
379.0,-Three okay!,- 3-й в порядку!,- Три в порядку!,0.2852194309234619
380.0,Cannot drop database - name not specified.,Не вдається вилучити базу даних — не вказана назва.,Не вдалося скинути базу даних - не вказано назву.,0.6547118425369263
381.0,Who prevented what could have been a major catastrophe.,"АзѕУАМ µЙјцАЦґВ °НµйА"" °ЎБ®°¬ґЩ°н ЗХґПґЩ",що запобігав великій катастрофі.,-1.3401678800582886
382.0,Can we go?,Давай підемо?,Ми можемо йти?,0.007329270243644714
383.0,That means I will.,"Це означає, що прийду.","Це означає, що я буду.",0.7175308465957642
384.0,Take off your clothes.,Зніми з себе сукню.,Роздягайся.,-0.5446521043777466
385.0,& Read access,Доступ для & читання,Доступ для & читання,0.9419568777084351
386.0,"He was here, working for Max Seagrave.","Він був тут, бо працював на Максін Сігрейв.","Він був тут, працював на Макс Сігрейв.",0.9375086426734924
387.0,This is not possible!,АМ°З єТ°ЎґЙЗШ!,Це неможливо!,-0.7833157181739807
388.0,This is done by prepending the character with a backslash (\\).,Це завдання можна виконати за допомогою додавання перед символом зворотної навскісної риски (\\).,Зробити це можна за допомогою додавання до символу зворотної навскісної риски (\\).,0.6116394996643066
389.0,You can use the Move Up and Move Down buttons to change the order.,"Ви можете скористатися кнопками Пересунути вгору і Пересунути вниз, щоб змінити цей порядок.","Ви можете скористатися кнопками Пересунути вгору і Пересунути вниз, щоб змінити порядок.",0.7349972724914551
390.0,"When you have set the correct date and time, simply click Apply to make the changes permanent.","Після того, як ви встановили правильні значення для дати і часу, натисніть кнопку Застосувати, щоб застосувати виконані зміни.","Після того, як ви встановите правильну дату і час, просто натисніть кнопку Застосувати, щоб зробити зміни незмінними.",0.6474846005439758
391.0,Mori!,Морі!,Морі!,0.9438179731369019
392.0,I think he's writing about us in his reports.,"Думаю, він пише про нас у своїх рапортах.","Думаю, он пишет о нас в своих отчете.",0.37548327445983887
393.0,The SERIESSUM() function returns the sum of a power series.,Функція SERIESSUM () повертає частинну суму степеневого ряду.,Функція SERIESSUM} повертає суму ряду потужностей.,0.5871281027793884
394.0,Percy?,Персі!,Перси?,0.2236865758895874
395.0,Media Type First,Тип першого носія,Тип першого носія,0.9429792165756226
396.0,Ghostscript Backend Configuration,Налаштування програми Ghostscript,Налаштування сервера Ghostscript,0.9317200183868408
397.0,Can you video me now?,"Зніми мене, гаразд?",Можеш мене зняти?,0.2610400915145874
398.0,"No, I'm not gonna put Danny on... or Rusty.","Ні, я не передам слухавку Денні.","Нет, я не собираюсь надеть Дэнни... или Расті.",0.5697634816169739
399.0,"And still, Gordo's the least of this.",Гордо - найменша з проблем.,"І все ж, Гордо - найменша з них.",0.8928514719009399
400.0,Nostradamus observe the stars and he sees an impending danger.,Нострадамус дивиться на зірки і бачить наближення небезпеки.,Нострадамус спостерігає за зірками і бачить неминучу небезпеку.,0.8247416615486145
401.0,Cannot tag photo already visible on Facebook.,Не вдалося надати вже видимому у Facebook фото мітку.,Не вдається зробити фотографію мітки вже видимою у Facebook.,0.9419147968292236
402.0,Deprecated: Please use --safe-upgrade,Застаріло: використовуйте --safe-upgrade,"Застаріла: будь ласка, скористайтеся параметром --safe- upgrade",0.48351359367370605
403.0,Split Vertical In,Розділятись вертикально всередину,Розділити вертикально всередину,0.8866748213768005
404.0,Created thumbnail for: %1,Створено мініатюру для:% 1,Створено мініатюру для:% 1,0.94016432762146
405.0,Password or swipe finger for %1:,Пароль або відбиток пальця для% 1:,Пароль або відбиток пальця для% 1:,0.9414331912994385
406.0,You want me to cast my friends aside.,"Ти хочеш, щоб я покинув друзів у біді?","Ты хочешь, чтобы я бросил своих друзей в сторону.",0.6482744812965393
407.0,"Let's get pissed up, and have a puff!",Віділ'ємо і будемо пити.,Давай взбешимся и покурим!,0.28234952688217163
408.0,You got involved with the wrong girl... you dumb shit.,Ти зв'язався не з тією дівчиною... ти лайно смердюче.,Ти зв'язався з не з тією дівчиною... ти тупе лайно.,0.8063226938247681
409.0,Bloody hell.,Божевілля.,Чорт забирай.,0.16669532656669617
410.0,"No, thanks, Nina. I've seen enough.","Ні, дякую, я вже побачив достатньо","Ні, дякую, я бачив достатньо.",0.7931115627288818
411.0,I'm sorry.,Пробач.,Мне жаль.,-0.0804930180311203
412.0,"Out of town, lieutenant?","Йдемо з міста, лейтенант?","З міста, лейтенанте?",0.7757149338722229
413.0,All right.,"Добре. Хлопці, ви просто...",Гаразд.,-0.7473970651626587
414.0,"I'm not afraid anymore, Tommy.","Я більше не боюся, Томі.","Я больше не боюсь, Томми.",0.6468991637229919
415.0,"And what, send it up in an ambulance?","І що, потім відправлю його каретою швидкої допомоги?","И что, выслать его в скорую?",-0.17540307343006134
416.0,KDE development,Розробка KDE,Розробка KDE,0.9251888990402222
417.0,"- I ran her social, her name, police records, taxes, everything.","- Я переглянув її в соцмережах, шукав по імені, в поліцейських протоколах, по податках, скрізь.","- Я проверил её социально, её имя, полицейские записи, податки, всё.",0.2062995433807373
418.0,- I was just looking for his Majesty.,Просто шукаю його величність.,- Я просто искал его Величество.,0.5683098435401917
419.0,Clench 'em and get over here.,Стиснув булки і підійшов сюди.,Ударь их и иди сюда.,-0.16972674429416656
420.0,Take the father first.,Візьміть спершу батька.,Спочатку візьми батька.,0.9416849613189697
421.0,Don't listen to them.,"Неправда, не слухай їх.",Не слухай їх.,0.3991509675979614
422.0,"Tarak Ital, MD.","Тарак Італ, лікар.","Тарак Італ, MD.",0.16729718446731567
423.0,The Channel coast is socked in with rain and fog.,Узбережжя каналу все вимокло від дощу і туману.,Узбережжя каналу вкрите дощем і туманом.,0.756411075592041
424.0,Previously on AMC's Breaking Bad...,У попередніх серіях ...,Ранее в сериале...,-0.18378935754299164
425.0,It's Normandy.,Це в Нормандії.,Это Нормандия.,0.18765699863433838
426.0,File Tree,Дерево файлів,Дерево файлів,0.9512790441513062
427.0,I want to be like Picasso.,Я хочу бути схожим на Пікасо.,Я хочу бути як Пікассо.,0.49890637397766113
428.0,You won't be.,Ви і не зніматимете.,Тебе не будет.,0.04129469394683838
429.0,Panel layout,Компонування панелі,Компонування панелі,0.948925793170929
430.0,"Jesus Christ, there's kids in there, sir!","Господи, та там же всередині діти, сер!","Господи, там діти, сер!",0.17231270670890808
431.0,"What's the difference between Slew, Track, and Sync exactly?","У чому точно полягає різниця між командами Slew, Track і Sync?","Яка різниця між Slew, Track і Sync?",-0.0957019180059433
432.0,We weren't.,- Та ще й твою колишню.,Мы не были.,-0.4093881845474243
433.0,"Specifies the end date, or date and time, for recurrences of the alarm. If startDateTime includes a time, this parameter must also include a time; if startDateTime contains only a date, this parameter must also contain only a date. It must not contain a time zone specifier; the same time zone as for startDateTime is used to interpret this parameter's value.","Визначає кінцеву дату або дату і час повторень нагадування. Якщо до параметра Дата_ і_ час_ початку було включено час, цей параметр має також включати час; якщо Дата_ і_ час_ початку містить лише дату, цей параметр також повинен містити лише дату. Параметр не повинен містити визначення часового пояса; під час обробки цього параметра буде використано той самий часовий пояс, який було вказано для параметра Дата_ і_ час_ початку.","Вказує кінцеву дату або дату і час для повторення нагадування. Якщо час_ початку містить час, цей параметр також повинен включати час; якщо Дата_ і_ час_ початку містить лише дату, цей параметр також повинен містити лише дату. У параметрі не повинно міститися специфікатор часового поясу; для інтерпретації значення цього параметра використовується той самий часовий пояс, що і для параметра Дата_ і_ час_ початку.",0.36843061447143555
434.0,I don't know. Huh. That got awkward fast.,Я не знаю.,Я не знаю.,0.9259740114212036
435.0,Now they claim their rewards.,Тепер вони беруть свої нагороди.,Тепер вони вимагають своїх нагород.,0.9490814208984375
436.0,New profile,Новий профіль,Новий профіль,0.9439660906791687
437.0,- What's that smell?,- Що це за запах?,- Що це за запах?,0.9273545145988464
438.0,No... no.,Ні... ні.,Ні... ні.,0.9122788906097412
439.0,Too much work and not enough to eat.,Ти багато працюєш і мало їси.,"Занадто багато роботи і недостатньо, щоб їсти.",0.4824598431587219
440.0,Thank you.,Дякую.,Дякую.,0.9373334646224976
441.0,Sorry?,Що-що?,Перепрошую?,-0.3158766031265259
442.0,View Columns,Показувати стовпці,Стовпчики перегляду,0.5673342347145081
443.0,Something's in here.,Це щось поряд.,Тут щось є.,0.1582544445991516
444.0,What's so special about this place?,Що особливого в цьому місці?,Что особенного в этом месте?,0.356768935918808
445.0,Why aren't the guys putting out the fires?,Чому хлопці не гасять пожежу?,Чому хлопці не гасять пожежу?,0.931207537651062
446.0,- 16 million!,-16 міліонів!,- 16 миллионов!,0.3545066714286804
447.0,You can have that hat on one condition.,Ти отримаєш цю бейсболку за однією умовою.,Ця шапка може бути за однієї умови.,0.23541870713233948
448.0,I'm sorry.,Пробач.,Мне жаль.,-0.0804930180311203
449.0,"My race, my identity, my career.",мою кар'єру.,"Моя раса, моя личность, моя карьера.",-0.3368680477142334
