,UK,EN,TRANSLATION
342,"«Вірте мені», — сказав він.","""Trust me,"" he said.","I was surprised to learn that the Bible is God's Word, the Bible, and that God's Word, the Bible, is God's Word."
343,"""Здається, це дуже цікаво"", каже Хіросі.","""This looks pretty interesting,"" Hiroshi says.","""I think it's very interesting,"" says Hiroshima."
344,«Дякую за допомогу.» «Нема за що.»,"""Thank you for helping me."" ""Don't mention it.""",And thank you for your help.
345,"«Дякую, що ви допомогли мені.» «Нема за що.»","""Thank you for helping me."" ""Don't mention it.""",Thank you for helping me.
346,«Спасибі за вашу допомогу.» «Нема за що.»,"""Thank you for helping me."" ""Don't mention it.""",• Thank you for your help.
347,«Дякую за вашу допомогу.» «Нема за що.»,"""Thank you for helping me."" ""Don't mention it.""",Thank you for your help.
348,"Будь ласка, не плач.",Please don't cry.,Please don't cry.
349,"Не плач, будь ласка.",Please don't cry.,Please don't cry.
350,"Дай мені знати, якщо є щось, що я можу зробити.",Let me know if there is anything I can do.,Let me know if there's anything I can do.
351,Заняття не пончеться до половини на восьму.,Class doesn't begin until eight-thirty.,School won't begin until eight-eight.
352,Урок не пончеться до половини на восьму.,Class doesn't begin until eight-thirty.,The lesson doesn't begin until eight-eight.
353,"Я хочу човен, який забере мене дуже далеко звідси.",I want a boat that will take me far away from here.,I want a boat that'll take me far away from here.
354,Японець ніколи б не зробив такого.,A Japanese would never do such a thing.,A Japanese would never do that.
355,Японець ніколи б так не вчинив.,A Japanese would never do such a thing.,A Japanese would never do that.
356,Аллен — поет.,Allen is a poet.,Allen is a poet.
357,Стрілець вбив оленя.,The archer killed the deer.,The shooter killed the deer.
358,На моєму віці комунізму точно не буде досягнуто.,Communism will never be reached in my lifetime.,"At my age, Communism is definitely not going to be achieved."
359,Жито називали зерном злидарів.,Rye was called the grain of poverty.,The jito was known as grain of poverty.
360,"Якщо ти бачиш помилку, виправ її, будь ласка.","If you see a mistake, then please correct it.","If you see a mistake, please correct it."
361,"Якщо ви бачите помилку, виправте її, будь ласка.","If you see a mistake, then please correct it.","If you see a mistake, please correct it."
362,"Якщо побачиш помилку, виправ її, будь ласка.","If you see a mistake, then please correct it.","If you see a mistake, please correct it."
363,"Якщо побачите помилку, виправте її, будь ласка.","If you see a mistake, then please correct it.","If you see a mistake, please correct it."
364,"Якщо не їсти, то помреш.","If you don't eat, you die.","If you don't eat, you die."
365,"Якщо не їси, то вмираєш.","If you don't eat, you die.","If you don't eat, you die."
366,Якщо ти не будеш їсти - помреш.,"If you don't eat, you die.","If you don't eat, you die."
367,"Як пишеться ""pretty""?","How do you spell ""pretty""?","How do you spell ""Pretti""?"
368,"Як пишеться слово ""pretty""?","How do you spell ""pretty""?","How do you spell ""pretti""?"
369,Чому ми не йдемо додому?,Why don't we go home?,Why aren't we going home?
370,Чому б нам не піти додому?,Why don't we go home?,Why don't we go home?
371,"Вибачте, я не можу залишитися надовго.","I'm sorry, I can't stay long.","I'm sorry, I can't stay long."
372,"""Чому ти не йдеш?"" - ""Бо не хочу"".","""Why aren't you going?"" ""Because I don't want to.""","""Why don't you go?"" ""Because I don't want to."""
373,"""Чому ви не йдете?"" - ""Бо не хочу"".","""Why aren't you going?"" ""Because I don't want to.""","""Why don't you go?"" ""Because I don't want to."""
374,Один мільйон осіб втратили життя на війні.,One million people lost their lives in the war.,One million people lost their lives in war.
375,"Демократія — найгірша форма правління за винятком усіх інших, які людство спробувало до цього часу.","Democracy is the worst form of government, except all the others that have been tried.",Democracy is the worst form of government except for all the others that mankind has tried so far.
376,"Коли ти починаєш ставати схожим на своє паспортне фото, тобі треба у відпустку.","When you're beginning to look like the photo in your passport, you should go on a holiday.","When you're starting to look like your passport photo, you need to go on vacation."
377,Мої білі штани! І вони ж були нові.,"Oh, my white pants! And they were new.",My white pants! And they were new.
378,Ти ангел!,You're an angel!,You're an angel!
379,"Ну добре, ніч дуже довга, чи не так?","Well, the night is quite long, isn't it?","Well, it's a very long night, isn't it?"
380,Ти сумуєш за мною?,Did you miss me?,Do you miss me?
381,Ти сумував за мною?,Did you miss me?,Did you miss me?
382,Вони всі однакові?,Are they all the same?,Are they all the same?
383,Вони всі такі самі?,Are they all the same?,Are they all the same?
384,Вони всі ідентичні?,Are they all the same?,Are they all identical?
385,Дуже дякую!,Thank you very much!,Thank you very much!
386,Щиро дякую!,Thank you very much!,Thank you very much!
387,Вельми дякую!,Thank you very much!,Thank you very much!
388,Величезне спасибі!,Thank you very much!,Thank you so much!
389,Велике спасибі!,Thank you very much!,Thank you very much!
390,Ґречно вдячна.,Thank you very much!,Thank you very much.
391,"Скажіть, будь ласка, де яйця?","Where are the eggs, please?","Where are the eggs, please?"
392,Я візьму його.,I'll take him.,I'll take it.
393,Я відвезу його.,I'll take him.,I'll drive him.
394,Це сюрприз.,It's a surprise.,It's a surprise.
395,Це гарна ідея!,That's a good idea!,That's a good idea!
396,Гарна думка!,That's a good idea!,Good idea!
397,"Шкода, коли хтось помирає.",It's a pity when somebody dies.,It's a pity when someone dies.
398,Чорт забирай! Це непогано!,Damn! It's not bad!,Damn it! That's not bad!
399,Не відчиняти до повної зупинки потяга.,Don't open before the train stops.,Don't open before the train stops.
400,"Ті, що живуть у скляних будинках, не повинні кидатися камінням.",Those who live in glass houses should not throw stones.,Those who live in glass houses should not throw stones.
401,"Тим, хто живе у скляних будинках, не треба кидатися камінням.",Those who live in glass houses should not throw stones.,Those who live in glass houses should not throw stones.
402,"Тим, хто живе у скляних домівках, не варто кидатись камінцями.",Those who live in glass houses should not throw stones.,Those who live in glass houses should not throw stones.
403,"Кажуть, що любов сліпа.",They say love is blind.,It is said that love is blind.
404,"О, мені дуже шкода.","Oh, I'm sorry.","Oh, I'm sorry."
405,"О, перепрошую.","Oh, I'm sorry.","Oh, I'm sorry."
406,"Ох, пробачте.","Oh, I'm sorry.","Oh, I'm sorry."
407,"Ох, пробач.","Oh, I'm sorry.","Oh, I'm sorry."
408,"Ой, вибачаюся.","Oh, I'm sorry.","Oh, I'm sorry."
409,"Ох, мені дуже шкода.","Oh, I'm sorry.","Oh, I'm sorry."
410,"Ох, мені шкода.","Oh, I'm sorry.","Oh, I'm sorry."
411,"Математика подібна коханню - ідея проста, але можуть бути ускладнення.","Math is like love - a simple idea, but it can get complicated.","Math is like love -- it's simple, but it can be complicated."
412,"Бідний це не той, хто має замало, але той хто хоче забагато.","Poor is not the one who has too little, but the one who wants too much.","Poor is not the one who has too little, but the one who wants too much."
413,Ви говорите італійською?,Do you speak Italian?,Do you speak Italian?
414,Ти говориш італійською?,Do you speak Italian?,Do you speak Italian?
415,"Кажуть, що ""Гамлет"" - найцікавіша з усіх будь-коли написаних п'єс.","It is said that ""Hamlet"" is the most interesting play ever written.",They say Hamlet is the most interesting piece ever written.
416,"Вважається, що ""Гамлет"" — одна з найцікавіших п'єс, що коли-небудь була написана.","It is said that ""Hamlet"" is the most interesting play ever written.","It is believed that ""Hamlet"" is one of the most interesting plays ever written."
417,Можу я поставити питання?,May I ask a question?,May I ask a question?
418,Я можу поставити запитання?,May I ask a question?,May I ask a question?
419,Можна запитати?,May I ask a question?,May I ask you something?
420,Опанувати французьку мову за 2-3 роки доволі важко.,It's quite difficult to master French in 2 or 3 years.,It's hard to master French in two or three years.
421,"Було б цікаво подивитися, як усе міняється протягом років.",It would be fun to see how things change over the years.,It would be interesting to see how things change over the years.
422,Я би ніколи до цього не здогадався би.,I would never have guessed that.,I would never have guessed it.
423,Ти мене коли-небудь забудеш.,You'll forget about me someday.,You'll ever forget me.
424,Це досить неочікувано.,That is rather unexpected.,That's rather unexpected.
425,"Цікаво, як довго це триватиме.",I wonder how long it's going to take.,I wonder how long it'll last.
426,Я не можу жити без телевізора.,I can't live without a TV.,I can't live without TV.
427,Я не зміг би цього зробити без тебе. Дякую.,I couldn't have done it without you. Thank you.,I couldn't have done it without you. Thank you.
428,Я не зміг би цього зробити без вас. Дякую.,I couldn't have done it without you. Thank you.,I couldn't have done it without you. Thank you.
429,Я не змогла би цього зробити без тебе. Дякую.,I couldn't have done it without you. Thank you.,I couldn't have done it without you. Thank you.
430,Я не змогла би цього зробити без вас. Дякую.,I couldn't have done it without you. Thank you.,I couldn't have done it without you. Thank you.
431,Без зусиль нічого не добитися.,Nothing is achieved without effort.,Nothing can be achieved without effort.
432,Життя без любові не має сенсу.,Life without love is just totally pointless.,Life without love makes no sense.
433,Життя без кохання не має сенсу.,Life without love is just totally pointless.,Life without love makes no sense.
434,"Дайте мені знати, якщо мені потрібно зробити будь-які зміни.",Let me know if I need to make any changes.,Let me know if I need to make any changes.
435,"Я думаю, що іспити псують освіту.",I think exams are ruining education.,I think exams spoil education.
436,"Я думаю, що екзамени руйнують освіту.",I think exams are ruining education.,I think exams are ruining education.
437,Ми не можемо спати через шум.,We can't sleep because of the noise.,We can't sleep because of the noise.
438,Ми не можемо спати через галас.,We can't sleep because of the noise.,We can't sleep because of the noise.
439,Ти маєш презерватив?,Do you have a condom?,Do you have a condom?
440,"Роби все, що він тобі каже.",Do whatever he tells you.,Do whatever he tells you.
441,"Робіть все, що він вам каже.",Do whatever he tells you.,Do whatever he tells you.
442,"Зроби все, що він тобі скаже.",Do whatever he tells you.,Do whatever he tells you.
443,"Зробіть все, що він вам скаже.",Do whatever he tells you.,Do whatever he tells you.
444,Я можу дійти до школи за 10 хвилин.,I can walk to school in 10 minutes.,I can go to school in 10 minutes.
445,"Мені було потрібно більше двох годин, щоб перекласти кілька сторінок англійської мови.",It took me more than two hours to translate a few pages of English.,It took me over two hours to translate a few pages of English.
446,Вже одинадцята година.,It is already eleven.,It's already 11 o'clock.
447,Чи я можу поговорити з пані Браун?,May I talk to Ms. Brown?,May I speak to Mrs Brown?
448,"""Так, будь ласка помаранчовий сік,"" сказав Майк.","""Yes, orange juice please,"" says Mike.","""Yes, orange juice please,"" said Mike."
449,"""Ах!"" — це вигук.","""Ah!"" is an interjection.",'Oh!' it's a cry.
450,Чого ти хочеш?,What do you want?,What do you want?
451,Що вам треба?,What do you want?,What do you want?
452,Чого ви хочете?,What do you want?,What do you want?
453,Що хочете?,What do you want?,What do you want?
454,"Вам необхідно, щоб я дав вам гроші?",Do you need me to give you some money?,Do you need me to give you money?
455,"Тобі необхідно, щоб я дав тобі гроші?",Do you need me to give you some money?,Do you need me to give you money?
456,У мене є мрія.,I have a dream.,I have a dream.
457,Я маю мрію.,I have a dream.,I have a dream.
458,"Але все ж таки, супротивне також завжди істинно.","And yet, the contrary is always true as well.","But still, the opposite is always true."
459,Ти схожий на дурня.,You look stupid.,You look stupid.
460,Ти схожа на ідіотку.,You look stupid.,You look stupid.
461,"Я, мабуть, піду спати.",I think I'm gonna go to sleep.,I'll probably go to bed.
462,"Я, мабуть, пішов спати.",I think I'm gonna go to sleep.,I must've gone to bed.
463,"Я, мабуть, пішла спати.",I think I'm gonna go to sleep.,I must be going to bed.
464,Мене звуть Джек.,My name is Jack.,My name is Jack.
465,Мене звати Джек.,My name is Jack.,My name is Jack.
466,Моє ім'я - Джек.,My name is Jack.,My name is Jack.
467,Мене кличуть Джеком.,My name is Jack.,They call me Jack.
468,Мені це дуже подобається.,I like it very much.,I like it a lot.
469,Вона мені дуже подобається.,I like it very much.,I like her a lot.
470,Ми зустрічаємося завтра?,We're meeting up tomorrow?,Are we seeing each other tomorrow?
471,Ми завтра зустрінемося?,We're meeting up tomorrow?,Are we meeting tomorrow?
472,Як це сказати італійською?,How do you say that in Italian?,How do you say that in Italian?
473,"Мушу йти за покупками, повернуся за годину.",I have to go shopping. I'll be back in an hour.,I have to go shopping. I'll be back in an hour.
474,Це далеко звідси?,Is it far from here?,Is it far from here?
475,Ці речі не мої!,These things aren't mine!,These things aren't mine!
476,"Дякую, це все.","Thanks, that's all.","Thank you, that's all."
477,Ти не хотів би зі мною потанцювати?,Would you like to dance with me?,Would you like to dance with me?
478,Ти не хотіла би зі мною потанцювати?,Would you like to dance with me?,Would you like to dance with me?
479,Італія - дуже гарна країна.,Italy is a very beautiful country.,Italy is a very beautiful country.
480,Італія - це дуже красива країна,Italy is a very beautiful country.,Italy is a very beautiful country
481,Італія - дуже красива країна.,Italy is a very beautiful country.,Italy is a very beautiful country.
482,Італія — дуже гарна країна.,Italy is a very beautiful country.,Italy is a very beautiful country.
483,Це не моя провина.,It's not my fault!,It's not my fault.
484,Я хотів би залишитись на одну ніч.,I'd like to stay for one night.,I'd like to stay one night.
485,Можете набрати мені номер? Для мене телефон зависоко.,Could you dial for me? The telephone is too high.,Can you dial a number for me?
486,"Наберіть мені номер, бо телефон занадто високо для мене.",Could you dial for me? The telephone is too high.,"Call me the number, because the phone is too high for me."
487,Де душова?,Where are the showers?,Where's the shower?
488,Рот відкрий!,Open your mouth!,Open the mouth!
489,Відкрий рота.,Open your mouth!,Open your mouth.
490,Це погано?,Is it bad?,Is it bad?
491,Я загубив гаманець.,I have lost my wallet.,I've lost my wallet.
492,Я загубила гаманець.,I have lost my wallet.,I've lost my wallet.
493,Він вельми сексуальний.,He's very sexy.,He's very sexy.
494,Маємо забагато справ!,There are too many things to do!,There's too much to do!
495,"Ну пограй зі мною, бо мені нудно!","Come on, play with me, I'm so bored!","Well, play with me 'cause I'm bored!"
496,Через тебе я втратив апетит.,Thanks to you I've lost my appetite.,You robbed me of my appetite.
497,Мені дуже потрібно когось ударити.,I really need to hit somebody.,I really need to hit someone.
498,Хто ж не знає цієї проблеми?,Who doesn't know this problem?!,Who doesn't know this problem?
499,"Якщо ти не хочеш користуватися сонцезахисним кремом, це твоя проблема. Але потім не приходь до мене жалітися, коли в тебе буде сонячний опік.","If you don't want to put on sunscreen, that's your problem. Just don't come complaining to me when you get a sunburn.","If you don't want to use sunscreen, it's your problem, but don't come complaining to me when you get sunburn."
500,"Якщо ви не хочете користуватися сонцезахисним кремом, це ваша проблема. Але потім не приходьте до мене жалітися, коли у вас буде сонячний опік.","If you don't want to put on sunscreen, that's your problem. Just don't come complaining to me when you get a sunburn.","If you don't want to use sunscreen, that's your problem, but don't come complaining to me when you get sunburn."
501,"Я такий злий... Тепер щоразу як вмикаю комп'ютер, це цілий головний біль!",So annoying... Now I get a headache whenever I use the computer!,"I'm so angry... now every time I turn on my computer, it's a headache!"
502,"Так дратує... Тепер у мене болить голова кожного разу, коли я користуюся комп'ютером!",So annoying... Now I get a headache whenever I use the computer!,It's so annoying... now I have a headache every time I use a computer!
503,"Так спекотно, що можна було б смажити яйця на капотах машин.",It's so hot that you could cook an egg on the hood of a car.,It's so hot that you could fry an egg on the hoods of a car.
504,Сьогодні дуже жарко.,It is very hot today.,It's very hot today.
505,Сьогодні дуже спекотно.,It is very hot today.,It's very hot today.
506,Ніхто не прийшов.,Nobody came.,No one came.
507,Я ніколи не бачив червоного холодильника.,I never saw a red fridge.,I've never seen a red refrigerator.
508,Я ніколи не бачила червоного холодильника.,I never saw a red fridge.,I've never seen a red refrigerator.
509,Я ніколи не бачив червоних холодильників.,I never saw a red fridge.,I've never seen a red refrigerator.
510,"Математика є частиною науки, якою можна продовжувати займатись, якщо навіть ви прокинулися вранці і виявили, що всесвіту немає.",Mathematics is the part of science you could continue to do if you woke up tomorrow and discovered the universe was gone.,Math is part of the science that you can continue to do if even you wake up in the morning and you find there's no Universe.
511,"Мої очі океан, в якому відображаються мої мрії.",My eyes are an ocean in which my dreams are reflected.,My eyes are an ocean in which my dreams are reflected.
512,"Дивись на мене, коли я з тобою розмовляю!",Look at me when I talk to you!,Look at me when I talk to you!
513,Яким би був світ без жінок?,What would the world be without women?,What would a world be like without women?
514,"Що, якби ти виступав з промовою, і ніхто не прийшов?",What if you gave a speech and nobody came?,What if you gave a speech and no one came?
515,"Я не знаю що тобі сказати, щоб тобі покращало.",I don't know what to say to make you feel better.,I don't know what to say to make you feel better.
516,"Я не знаю, що сказати, щоб тобі стало краще.",I don't know what to say to make you feel better.,I don't know what to say to make you feel better.
517,"Я не знаю, що сказати, щоб вам стало краще.",I don't know what to say to make you feel better.,I don't know what to say to make you feel better.
518,Це не мій типаж.,This is not my type.,That's not my type.
519,Я намагався вбити час.,I was trying to kill time.,I tried to kill time.
520,Як ти додумався до цієї шаленої думки?,How did you come up with this crazy idea?,How did you come up with this crazy idea?
521,Я втомився.,I'm tired.,I'm tired.
522,Я втомилася.,I'm tired.,I'm tired.
523,Хто хоче гарячого шоколаду?,Who wants some hot chocolate?,Who wants hot chocolate?
524,Кому какао?,Who wants some hot chocolate?,Who wants hot chocolate?
525,Хто хоче какао?,Who wants some hot chocolate?,Who wants some chocolate?
526,"Говори повільніше, будь ласка!","Speak more slowly, please!","Speak more slowly, please!"
527,Коли ми прибуваємо?,When do we arrive?,When do we arrive?
528,"Рахунок, будь ласка.","The check, please.","The bill, please."
529,І що будемо тепер робити?,And what are we going to do?,What do we do now?
530,У мене болить голова.,I have a headache.,My head hurts.
531,Мені болить голова.,I have a headache.,My head hurts.
532,Звідки можна подзвонити?,Where can one make a phone call?,Where can I make a phone call?
533,"Я повинен визнати, що хроплю.",I must admit that I snore.,I must admit I'm snoring.
534,Сьогодні ввечері ми збираємось до церкви.,Tonight we're going to church.,We're going to church tonight.
535,Як ти? Сподобалася подорож?,How are you? Did you have a good trip?,How are you? Have you enjoyed your trip?
536,Я погано почуваюся.,I don't feel well.,I feel bad.
537,Не відчуваю себе добре.,I don't feel well.,I don't feel good.
538,Мені не дуже добре.,I don't feel well.,I'm not feeling well.
539,Я не дуже добре почуваюся.,I don't feel well.,I don't feel well.
540,Викличте поліцію!,Call the police!,Call the police!
541,Це занадто дорого!,It's too expensive!,It's too expensive!
542,Це задорого!,It's too expensive!,It's too expensive!
543,Задорого.,It's too expensive!,Too expensive.
544,Задорого!,It's too expensive!,Too expensive!
545,"Вона вдає, що спить. Ось чому не хропить.",She's faking sleep. That's why she's not snoring.,She pretends to be asleep. That's why she's not snoring.
546,Моï черевики дуже малi. Менi потрiбнi новi.,My shoes are too small. I need new ones.,My shoes are very small. I need new ones.
547,Ми йдемо звідси. Поліцейські йдуть.,We're getting out of here. The cops are coming.,We're leaving here. The cops are coming.
548,Веселого Різдва!,Merry Christmas!,Merry Christmas!
549,З Різдвом!,Merry Christmas!,Merry Christmas!
550,"Було б так круто, якби я розмовляв десятьма мовами!",It would be so cool if I could speak ten languages!,It would be so cool if I could speak ten languages!
551,"""Якщо ви втомилися, чому б вам не піти спати?"" ""Тому що, якщо я зараз піду спати, то встану зарано.""","""If you're tired, why don't you go to sleep?"" ""Because if I go to sleep now I will wake up too early.""","""If you're tired, why don't you go to bed?"" ""Because if I go to bed now, I'll get up too early."""
552,Ви мали послухатись мене.,You should have listened to me.,You should have listened to me.
553,Що це передбачає?,What does it involve?,What does that involve?
554,"Сто п'ятдесят тисяч пар, як очікується, одружаться в Шанхаї в 2006 році.",One hundred and fifty thousand couples are expected to get married in Shanghai in 2006.,One hundred and fifty thousand couples are expected to get married in Shanghai in 2006.
555,Півмільйона дітей як і раніше стикаються з недоїданням в Нігері.,Half a million children still face malnutrition in Niger.,Half a million children still face malnutrition in Niger.
556,Лише за п’ять-десять років технологія досягне необхідного рівня.,It will take five to ten years for the technology to be ready.,"In just five or ten years, technology will reach the right level."
557,Велосипеди — інструменти для сталого розвитку міст.,Bicycles are tools for urban sustainability.,Bicycles יהוה tools for the city's permanent development
558,Він був би радий почути це.,He would be glad to hear that.,He'd be glad to hear it.
559,Комп'ютери роблять людей обмеженими.,Computers make people stupid.,Computers make people limited.
560,Комп'ютери роблять із людей ідіотів.,Computers make people stupid.,Computers make people stupid.
561,"Не питайте, що вони думають. Питайте, що вони роблять.",Don't ask what they think. Ask what they do.,Don't ask what they think. Ask what they do.
562,"Коли ви намагаєтеся щось довести, допомагає знання, що це правда.","When you're trying to prove something, it helps to know it's true.","When you try to prove something, it helps you to know that it is true."
563,"Світ змінює комунікація, а не інформація.","What changes the world is communication, not information.","The world changes communication, not information."
564,"Більшість наукових проривів не що інше, як відкриття очевидного.",Most scientific breakthroughs are nothing else than the discovery of the obvious.,Most scientific breakthroughs are nothing more than a discovery of the obvious.
565,"Все, що може бути неправильно зрозумілим, буде неправильно зрозумілим.",Anything that can be misunderstood will be.,Anything that may be misunderstood will be misunderstood.
566,"Будь-який достатньо простий всесвіт, щоб бути осягненим, є занадто простим, щоб породити розум, здатний його осягнути.",Any universe simple enough to be understood is too simple to produce a mind able to understand it.,Any universe that is simple enough to be understood is too simple to produce a mind that can comprehend it.
567,Чому життя так повне страждань?,Why is life so full of suffering?,Why is life so full of suffering?
568,Я голодний!,I'm starving!,I'm hungry!
569,Я помираю з голоду.,I'm starving!,I'm starving.
570,Я помираю від голоду.,I'm starving!,I'm starving.
571,Я помираю від голоду!,I'm starving!,I'm starving!
572,У тебе є друзі в Антигуа?,Do you have friends in Antigua?,Do you have any friends in Antigua?
573,"Я одружений, і маю двоє дітей.",I am married and have two children.,I am married and have two children.
574,"Я заміжня, і маю двоє дітей.",I am married and have two children.,I am married and have two children.
575,Він дуже добре грає на піаніно.,He plays the piano very well.,He plays the piano very well.
576,Я б хотів навчатися в Парижі.,I'd like to study in Paris.,I'd like to study in Paris.
577,Я б хотіла навчатися в Парижі.,I'd like to study in Paris.,I'd like to study in Paris.
578,"Ти не знаєш, хто я.",You don't know who I am.,You don't know who I am.
579,"Ти не знаєш, хто я такий.",You don't know who I am.,You don't know who I am.
580,"Ви не знаєте, хто я такий.",You don't know who I am.,You don't know who I am.
581,Чому ви не їсте овочі?,Why don't you eat vegetables?,Why don't you eat vegetables?
582,Чому ти не їж овочі?,Why don't you eat vegetables?,Why don't you eat vegetables?
583,Чому люди йдуть в кіно?,Why do people go to the movies?,Why do people go to the movies?
584,Чому люди ходять у кіно?,Why do people go to the movies?,Why do people go to the movies?
585,Я роздягаюся.,I'm undressing.,I'm undressing.
586,Автомобіль розбився об стіну.,The car crashed into the wall.,The car crashed against the wall.
587,Машина врізалася в стіну.,The car crashed into the wall.,The car crashed into the wall.
588,Реальних видінь не буває.,There are no real visions.,There are no real visions.
589,Креаціонізм — псевдонаука.,Creationism is a pseudo-science.,Creationism is a pseudoscience.
590,Креаціонізм — це псевдонаука.,Creationism is a pseudo-science.,Creationism is a pseudoscience.
591,Вітер вщух.,The wind calmed down.,The wind has died.
592,Я не хочу робити тобі пропозицію!,I don't want to propose to you!,I don't want to propose to you!
593,Я не хочу освідчуватися тобі.,I don't want to propose to you!,I don't want to propose to you.
594,"Демократ - це вільний громадянин, який кориться волі більшості.",A democrat is a free citizen who yields to the will of the majority.,A democracy is a free citizen who submits to the will of the majority.
595,"Там, де воля, там і шлях.","Where there's a will, there's a way.","Where there's freedom, there's a way."
596,"Хто шукає, той завжди знайде.","Who searches, finds.",He who searches will always find it.
597,Рим не за один день був збудований.,Rome wasn't built in a day.,Rome was not built in one day.
598,Мовчання — знак згоди.,Silence gives consent.,Silence is a sign of consent.
599,Хто мовчить - погоджується.,Silence gives consent.,Silence agrees.
600,"Чому кажуть «Добрий день» тоді, коли день не добрий?","Why does one say ""Good day"" when the day is not good?",Why is it said that a good day is a good one when the day is not good?
601,Це був найкращий день мого життя.,That was the best day of my life.,It was the best day of my life.
602,Цей був найкращий день мого життя.,That was the best day of my life.,It was the best day of my life.
603,Це був найкращий день у моєму житті.,That was the best day of my life.,It was the best day of my life.
604,Я не розумію німецької.,I don't understand German.,I don't understand German.
605,Я прийняв рішення.,I made my decision.,I've made up my mind.
606,Я прийняла рішення.,I made my decision.,I've made up my mind.
607,Даю слово.,I give you my word.,You have my word.
608,Слово даю.,I give you my word.,I give you my word.
609,Я даю тобі слово.,I give you my word.,I give you my word.
610,Я даю тобі своє слово.,I give you my word.,I give you my word.
611,Я даю вам слово.,I give you my word.,I give you my word.
612,Я даю вам своє слово.,I give you my word.,I give you my word.
613,Ти велика любов мого життя.,You are the great love of my life.,You are the great love of my life.
614,Маємо папу.,We have a Pope.,We have a pope.
615,Математики — як французи: що їм не скажеш — перекладають на свою власну мову і перетворюють у щось зовсім інше по смислу.,Mathematicians are like French people: whatever you tell them they translate it into their own language and turn it into something totally different.,Mathematicians are like French people: you can't tell them that you're translating into your own language and turning it into something completely different.
616,"Не хвилюйся, будь щасливий.","Don't worry, be happy!","Don't worry, be happy."
617,"Нічим не переймайся, будь щасливий!","Don't worry, be happy!","Don't worry, be happy!"
618,"Я вважаю, що іноземні мови дуже цікаві.",I find foreign languages very interesting.,I think foreign languages are very interesting.
619,Я не люблю вчити неправильні дієслова.,I don't like learning irregular verbs.,I don't like learning irregular verbs.
620,Візьми книгу та прочитай її!,Take a book and read it.,Take the book and read it!
621,Я несамовитий від радості.,I'm beside myself with joy.,I'm furious with joy.
622,Він уже чоловік.,He's already a man.,He's already a man.
623,Відпустка вже скінчилася.,The vacation is over now.,The holiday is over.
624,Я боюся впасти.,I'm afraid to fall.,I'm afraid to fall.
625,Це абсолютна правда.,That's the absolute truth.,It's absolutely true.
626,Холодно.,It's cold.,It's cold.
627,Зимно.,It's cold.,It's cold.
628,Студить.,It's cold.,It's so cold.
629,Я хочу пити.,I'm thirsty.,I'm thirsty.
630,Хочу пити.,I'm thirsty.,I'm thirsty.
631,"Коли не можеш зробити те, що хочеш, ти робиш те, що можеш.","When you can't do what you want, you do what you can.","When you can't do what you want to do, you do what you can."
632,"Коли не можеш зробити те, що хочеш, роби те, що можеш.","When you can't do what you want, you do what you can.","If you can't do what you want, do what you can."
633,Ти навмисно це зробив!,You did this intentionally!,You did it on purpose!
634,Ти це спеціально зробив!,You did this intentionally!,You did it on purpose!
635,Ти йому нічого не сказав?,You didn't tell him anything?,Didn't you tell him anything?
636,Ти йому нічого не сказала?,You didn't tell him anything?,Didn't you tell him anything?
637,Ви йому нічого не сказали?,You didn't tell him anything?,Didn't you tell him anything?
638,Через тебе я втратив голову.,You made me lose my mind.,You're the reason I lost my head.
639,Ти мій типаж.,You're my type.,You're my type.
640,Ти чарівний.,You're irresistible.,You're charming.
641,Ти чарівна.,You're irresistible.,You're fascinating.
642,"Ти не міг біг передзвонити пізніше, будь ласка?","Could you call again later, please?","Could you call back later, please?"
643,З ким я розмовляю?,Who am I talking with?,Who am I talking to?
644,"Я згоден, але в мене є одна умова.","I accept, but only under one condition.","I agree, but I have one condition."
645,"Я згоден, але за однієї умови.","I accept, but only under one condition.","I agree, but on one condition."
646,"Посмiхнись зараз, поплачеш потiм!","Smile now, cry later!","You laugh now, you cry later!"
647,Життя прекрасне.,Life is beautiful.,Life is beautiful.
648,Життя вдалося.,Life is beautiful.,Life was successful.
649,Життя прекрасне!,Life is beautiful.,Life is beautiful!
650,Я не можу стригти нігті і одночасно прасувати!,I can't cut my nails and do the ironing at the same time!,I can't cut my nails and iron them at the same time!
651,Ти за чи проти абортів?,Are you for or against abortions?,Are you for or against abortion?
652,Що змусило тебе змінити думку?,What made you change your mind?,What made you change your mind?
653,Що змусило вас змінити думку?,What made you change your mind?,What made you change your mind?
654,"Ну-мо, поглянь, мавпа з трьома головами!","Hey, look, a three-headed monkey!","Well, look, a three-headed monkey!"
655,Я обожнюю лазанью.,I love lasagna.,I love lasagna.
656,Я люблю лазанью.,I love lasagna.,I love lasagna.
657,Я в лікарні. У мене влучила блискавка.,I'm at the hospital. I got struck by lightning.,"I'm at the hospital, I got hit by lightning."
658,Що для тебе є найбільшим джерелом наснаги?,What is your greatest source of inspiration?,What is your greatest source of inspiration?
659,Що для тебе найкраще джерело натхнення?,What is your greatest source of inspiration?,What is your best source of inspiration?
660,В теорії немає різниці між теорією та практикою. Але на практиці є.,"In theory, there is no difference between theory and practice. But, in practice, there is.","There is no difference in theory between theory and practice, but in practice there is."
