Unnamed: 0,de,uk,TRANSLATION,bertscore
243,Bist du Atheist?,Ти атеїстка?,Bist du Atheistin?,0.9554196000099182
244,Bist du aus den Vereinigten Staaten?,Ти зі Сполучених Штатів?,Bist du aus den USA?,0.89366215467453
245,Bist du Ausländer?,Ти іноземець?,Bist du ein Ausländer?,0.9685488343238831
246,Bist du bei mir?,Ти зі мною?,Kommst du mit?,0.8801268935203552
247,Bist du bereit anzufangen?,Готовий починати?,Bist du bereit?,0.9351882338523865
248,"Bist du bereit, aus dem Haus zu gehen?",Готовий іти надвір?,Bist du bereit zu gehen?,0.9747189283370972
249,Bist du Deutscher?,Ти німець?,Bist du Deutscher?,0.9999999403953552
250,Bist du dick?,Ти гладкий?,Bist du glatt?,0.9107993841171265
251,Bist du eine gute Tänzerin?,Ти добре танцюєш?,Tanzst du gut?,0.8963117003440857
252,Bist du ein Einzelkind?,Ти єдина дитина?,Bist du das einzige Kind?,0.9372501969337463
253,Bist du ein guter Tänzer?,Ти добре танцюєш?,Tanzst du gut?,0.9005572199821472
254,Bist du ein Mensch?,Ти людина?,Bist du ein Mensch?,1.0000001192092896
255,Bist du ein Vampir?,Ти вампір?,Bist du Vampir?,0.9484961628913879
256,Bist du Engländer?,Ти англієць?,Bist du Engländer?,1.0
257,Bist du enttäuscht?,Ти розчарована?,Bist du enttäuscht?,1.0
258,Bist du es?,Це ти?,Bist du das?,0.9573587775230408
259,Bist du fertig?,Ти готова?,Bist du bereit?,0.9272906184196472
260,Bist du fertig?,Ти готовий?,Bist du bereit?,0.9272906184196472
261,Bist du gesund?,Ти здорова?,Bist du gesund?,0.9999998807907104
262,Bist du gesund?,Ти здоровий?,Bist du gesund?,0.9999998807907104
263,"Bist du gewarnt, bist du gewappnet.",Попереджений - означає озброєнний.,Warnend bedeutet bewaffnet.,0.829907238483429
264,Bist du heute beschäftigt?,Ти сьогодні зайнятий?,Hast du heute zu tun?,0.9127791523933411
265,Bist du heute in die Schule gegangen?,Ти сьогодні ходив до школи?,Warst du heute zur Schule gegangen?,0.9680644273757935
266,Bist du heute in die Schule gegangen?,Ти сьогодні ходила до школи?,Warst du heute zur Schule gegangen?,0.9680644273757935
267,Bist du hier beschäftigt?,Ти тут зайнята?,Bist du hier beschäftigt?,0.9999998807907104
268,Bist du hier beschäftigt?,Ти тут зайнятий?,Bist du hier beschäftigt?,0.9999998807907104
269,Bist du in Australien?,Ти в Австралії?,Bist du in Australien?,0.9999998807907104
270,Bist du in Tom verliebt?,Ти закохана у Тома?,Hast du Tom geliebt?,0.9278323650360107
271,Bist du in Tom verliebt?,Ти закоханий у Тома?,Bist du in Tom verliebt?,0.9999999403953552
272,Bist du Japaner?,Ти японець?,Bist du ein Japaner?,0.9621214866638184
273,Bist du jemals in Afrika gewesen?,Ти колись був у Африці?,Warst du jemals in Afrika?,0.9296402335166931
274,Bist du jemals in Afrika gewesen?,Ти колись була в Африці?,Warst du jemals in Afrika?,0.9296402335166931
275,Bist du Marys Ehemann?,Ти чоловік Мері?,Bist du Marys Mann?,0.9533870220184326
276,Bist du mit deinen Hausaufgaben fertig?,Ти вже доробив домашнє завдання?,Hast du schon deine Hausaufgaben gemacht?,0.9326417446136475
277,Bist du mit den Hausaufgaben fertig?,Ти вже доробив домашнє завдання?,Hast du schon deine Hausaufgaben gemacht?,0.9147215485572815
278,Bist du nervös?,Ти нервуєш?,Bist du nervös?,1.000000238418579
279,Bist du nicht Toms Mutter?,Хіба ти не мама Тома?,Bist du nicht Toms Mutter?,0.9999998807907104
280,Bist du nicht Tom?,Хіба ти не Том?,Du bist nicht Tom?,0.9837616682052612
281,Bist du noch immer müde?,Ти все ще сонний?,Bist du immer noch schläfrig?,0.9345530867576599
282,Bist du noch verheiratet?,Ти все ще одружена?,Bist du noch verheiratet?,1.0000001192092896
283,Bist du schlechter Laune?,В тебе поганий настрій?,Hast du eine schlechte Laune?,0.9627864956855774
284,Bist du schon mal in Indien gewesen?,Ти колись бував у Індії?,Warst du jemals in Indien?,0.8738633990287781
285,Bist du sicher?,Ти впевнений?,Bist du sicher?,1.0
286,Bist du stolz auf deinen Vater?,Ти пишаєшся своїм батьком?,Bist du stolz auf deinen Vater?,1.0
287,Bist du traurig?,Тобі сумно?,Bist du traurig?,0.9999997615814209
288,Bist du übelgelaunt?,В тебе поганий настрій?,Hast du eine schlechte Laune?,0.8737543225288391
289,Bist du über achtzehn?,Ти старше 18?,Bist du älter als 18?,0.8959575891494751
290,Bist du Übersetzer?,Ти перекладач?,Bist du Dolmetscher?,0.921430230140686
291,Bist du Vegetarierin?,Ти вегетаріанка?,Bist du Vegetarierin?,0.9999998211860657
292,Bist du verheiratet?,Ти заміжня?,Bist du verheiratet?,1.0
293,Bist du zehn Jahre alt?,Тобі десять років?,Bist du 10 Jahre alt?,0.9652624726295471
294,Bist du zurückgekommen?,Ти повернувся?,Bist du wieder da?,0.9080548882484436
295,Bitte beantworten Sie diese Frage für mich.,"Будь-ласка, дай мені відповідь на це запитання.",Bitte gib mir die Antwort auf diese Frage.,0.9058839082717896
296,Bitte beeil dich!,"Будь ласка, поквапся!","Bitte, beeil dich!",0.9999998807907104
297,Bitte bleiben Sie sitzen.,"Будь ласка, не вставайте.","Bitte, wach nicht auf.",0.8772193789482117
298,Bitte entferne den Kommentar.,"Видалiть коментар, будь-ласка.","Den Kommentar ausholen, bitte.",0.9039344191551208
299,"Bitte entschuldigen Sie, aber ich glaube das ist mein Platz.","Перепрошую, але я думаю, що це моє місце.","Tut mir leid, aber ich glaube, das ist mein Platz.",0.9369161128997803
300,Bitte entschuldigen Sie mein Zuspätkommen.,Перепрошую за запізнення.,Entschuldigen Sie die Verspätung.,0.8970094323158264
301,Bitte erlauben Sie mir zu gehen.,"Будь ласка, дозвольте мені піти.","Bitte, lassen Sie mich gehen.",0.9242978096008301
302,Bitte komm in drei Tagen.,"Будь ласка, прийди за три дні.","Bitte, kommen Sie in drei Tagen her.",0.9416046738624573
303,"Bitte, mach dir keine Sorgen.","Не турбуйся, будь ласка.","Keine Sorge, bitte.",0.9084205627441406
304,Bitte nehmen Sie Platz!,"Сідайте, будь ласка!","Setzen Sie sich, bitte!",0.894862174987793
305,Bitte nicht im Klassenzimmer rennen.,"Будь-ласка, не бігай у класі.",Bitte geh nicht in die Klasse.,0.9040452241897583
306,Bitte öffnen Sie ihre Tasche.,"Відкрийте сумку, будь ласка.","Öffnen Sie die Tasche, bitte.",0.9371441006660461
307,Bitte öffnen Sie seine Tasche.,"Відкрийте сумку, будь ласка.","Öffnen Sie die Tasche, bitte.",0.942786455154419
308,Bitte rufen Sie ihn an.,"Зателефонуйте йому, будь ласка.",Rufen Sie ihn bitte an.,0.9800211787223816
309,Bitte schön.,Нема за що.,Nichts.,0.8202280402183533
310,Bitte sende es mir per Fax.,"Відправ мені це факсом, будь ласка.",Senden Sie mir bitte das Fax.,0.8847798109054565
311,Bitte singe ein Lied.,"Заспівай пісню, будь ласка.","Sing das Lied, bitte.",0.8888378739356995
312,Bitte sprechen Sie langsamer.,"Будь ласка, розмовляйте повільніше.",Sprecht bitte langsamer.,0.9122177958488464
313,Bitte stehen Sie nicht auf.,"Не вставайте, будь ласка.","Nicht aufstehen, bitte.",0.9232529401779175
314,Bitte steh nicht auf.,"Не вставай, будь ласка.","Steh nicht auf, bitte.",0.9554773569107056
315,Bitte steht nicht auf.,"Не вставайте, будь ласка.","Nicht aufstehen, bitte.",0.9201675653457642
316,"Bitte Tom, nicht auf mich zu warten!",Попроси Тома не чекати на мене.,"Frag Tom, ob er nicht auf mich wartet.",0.9457069635391235
317,"Bitte, trink etwas!",Випийте щось.,Trinken Sie etwas.,0.8878558874130249
318,Bitte übersetzen Sie diesen japanischen Text ins Französische.,"Перекладіть цей японський текст на французьку, будь ласка.","Übersetzen Sie den japanischen Text ins Französische, bitte.",0.9538741111755371
319,Bitte verbinden Sie mich mit Herrn Smith.,"З'єднайте мене з паном Смітом, будь ласка.",Verbinden Sie mich bitte mit Mr. Smith.,0.9505382180213928
320,Bitte weine nicht.,"Не плач, будь ласка.","Weine nicht, bitte.",0.9638133645057678
321,Bitte zeigen Sie mir diese Fotos.,"Будьте ласкаві, покажіть мені ці фотографії.","Bitte, zeigen Sie mir diese Bilder.",0.9491841793060303
322,Bleibt Tom zum Abendessen?,Том залишиться на вечерю?,Wird Tom zum Abendessen bleiben?,0.9663274884223938
323,Blinde glauben nicht an die Liebe auf den ersten Blick.,Сліпі не вірять у кохання з першого погляду.,Blinde glauben nicht an Liebe auf den ersten Blick.,0.9934624433517456
324,"Bob aß die Schnecke, dann erbrach er sich.","Боб з'їв равлика, потім виригав.",Bob aß eine Muschel und holte sie aus.,0.8793573975563049
325,Bob hat mir geholfen.,Боб мені допоміг.,Bob hat mir geholfen.,1.0
326,Bob war sehr glücklich.,Боб був дуже щасливий.,Bob war sehr glücklich.,1.0
327,Boston ist langweilig.,Бостон нудний.,Boston ist langweilig.,1.0
328,Boston verändert sich.,Бостон змінюється.,Boston verändert sich.,1.0
329,Bratislava ist die Hauptstadt der Slowakei.,Братислава - столиця Словаччини.,Preßburg - Hauptstadt der Slowakei,0.8937146067619324
330,Brauchen Sie einen Krankenwagen?,Вам потрібна швидка допомога?,Brauchen Sie Verstärkung?,0.9205374121665955
331,Brauchen Sie Geld?,Вам потрібні гроші?,Brauchen Sie Geld?,1.0
332,Brauchen wir einen Plan B?,"Ми потребуємо плану ""Б""?",Brauchen wir einen B-Plan?,0.9738332033157349
333,Brauchen wir einen Plan B?,"Нам потрібний план ""Б""?",Brauchen wir einen B-Plan?,0.9738332033157349
334,Brauchst du meine Hilfe noch?,Тобі все ще потрібна моя допомога?,Brauchst du noch meine Hilfe?,0.9905608296394348
335,Brauchst du unsere Hilfe?,Тобі потрібна наша допомога?,Brauchst du unsere Hilfe?,0.9999999403953552
336,Brauchst du viel Geld?,Тобі потрібно багато грошей?,Brauchst du viel Geld?,1.0
337,Braucht ihr einen Krankenwagen?,Вам потрібна швидка?,Brauchen Sie einen Krankenwagen?,0.9607748985290527
338,Braucht ihr einen Krankenwagen?,Вам потрібна швидка допомога?,Brauchen Sie Verstärkung?,0.8831428289413452
339,Brian hat einen Lippenstift für Kate gekauft.,Брайан купив для Кейт губну помаду.,Brian hat für Kate eine Lippenstifte gekauft.,0.9583297967910767
340,Brich niemals dein Versprechen!,Ніколи не порушуй своєї обіцянки.,Gib dein Versprechen nie auf.,0.8984127044677734
341,Bringen Sie mir etwas kaltes Wasser.,Принесіть мені холодної води.,Bringt mir kaltes Wasser.,0.9330553412437439
342,Bring es mir.,Принеси його мені.,Bring ihn zu mir.,0.877881646156311
343,"Bring mir etwas Wasser, aber schnell!","Принеси мені води, швиденько.",Hol mir schnell das Wasser.,0.8987827301025391
344,Bronislaw ist 18 Jahre alt.,Броніславу вісімнадцять років.,Bronnigus war achtzehn Jahre alt.,0.841943085193634
345,"Brustschwimmen kann ich, aber Rückenschwimmen nicht.","Я можу плисти на животі, але не на спині.","Ich kann auf dem Bauch schwimmen, aber nicht auf dem Rücken.",0.9086136221885681
346,Bulgarien ist ein wunderschönes Land.,Болгарія - прекрасна країна.,Bulgarien ist ein wunderschönes Land.,0.9999999403953552
347,Butter macht man aus Milch.,Масло роблять з молока.,Olivenöl wird aus Milch hergestellt.,0.8655213117599487
348,Butter wird aus Milch gemacht.,Масло роблять з молока.,Olivenöl wird aus Milch hergestellt.,0.9075815081596375
349,Carol hat Kopfweh.,У Керол болить голова.,Carol hat Kopfschmerzen.,0.917524516582489
350,Caty ist lesbisch.,Кеті лесбіянка.,Cathy ist eine Lesbierin.,0.8567410707473755
351,Champagner wird aus Frankreich importiert.,Шампанське імпортують із Франції.,Champagner wird aus Frankreich importiert.,1.0000001192092896
352,China ist das größste Land Asiens.,Китай - найбільша країна в Азії.,China ist das größte Land in Asien.,0.9533672332763672
353,China ist das größte Land in Asien.,Китай - найбільша країна в Азії.,China ist das größte Land in Asien.,1.0
354,China ist ein großes Land.,Китай - велика країна.,China ist ein großes Land.,1.0
355,China ist größer als Japan.,"Китай більший, ніж Японія.",China ist größer als Japan.,1.000000238418579
356,Christiano Ronaldo ist ein Fußballspieler.,Кріштіану Роналду - футболіст.,Krystyna Ronaldo ist Footballspieler.,0.7852535843849182
357,Christoph Kolumbus entdeckte Amerika im Jahre 1492.,Христофор Колумб відкрив Америку в 1492 році.,Christoph Kolumbus entdeckte 1492 Amerika.,0.949744701385498
358,"Christoph Kolumbus fand einst den Heiligen Gral, warf ihn aber weg, weil ihm die Farbe nicht gefiel.","Христофор Колумб якось знайшов Святий Грааль, але викинув його, бо йому не сподобався колір.","Christoph Kolumbus fand den heiligen Gral, warf ihn weg, weil ihm die Farbe nicht gefiel.",0.9882112741470337
359,Computer machen die Leute dumm.,Комп'ютери роблять із людей ідіотів.,Computer machen Idioten.,0.8663923740386963
360,Computer machen Menschen dumm.,Комп'ютери роблять із людей ідіотів.,Computer machen Idioten.,0.8849137425422668
361,Coolidge hat die Wahl im Jahre 1924 spielend gewonnen.,Кулідж легко переміг на виборах у 1924 році.,Der Kugelhagel gewann 1924 bei seinen Wahlen leicht.,0.8561373353004456
362,Cristiano Ronaldo ist ein Fußballspieler.,Кріштіану Роналду - футболіст.,Krystyna Ronaldo ist Footballspieler.,0.7613542675971985
363,Cristiano Ronaldo ist Fußballer.,Кріштіану Роналду - футболіст.,Krystyna Ronaldo ist Footballspieler.,0.7736722230911255
364,"Da du gekocht hast, kümmere ich mich um den Abwasch.","Оскільки ти готувала, я помию посуд.","Da du gekocht hast, putze ich das Geschirr.",0.9258145093917847
365,Da fehlt eine Seite.,Не вистачає сторінки.,Die Seite ist unvollständig.,0.8524354696273804
366,Dafür bin ich zu alt.,Я для цього занадто стара.,Ich bin zu alt dafür.,0.9337849020957947
367,Da hängt ein Schatten über mir.,Наді мною нависла тінь.,Mir stand ein Schatten bevor.,0.9132239818572998
368,Da ist eine Katze auf dem Stuhl.,На стільці є кіт.,Es gibt eine Katze auf dem Stuhl.,0.9578063488006592
369,Da ist eine weiße Taube auf dem Dach.,На даху сидить білий голуб.,Auf dem Dach sitzt eine weiße Taube.,0.9257128238677979
370,Da ist ein Hund an der Tür.,Біля дверей стоїть пес.,An der Tür steht ein Hund.,0.9199275374412537
371,Damals waren wir jünger.,Тоді ми були молодші.,Damals waren wir jünger.,0.9999999403953552
372,Damals war Mary Toms Freundin.,Мері тоді була дівчиною Тома.,Mary war damals Toms Mädchen.,0.8626524209976196
373,Damals war Tom mein einziger Freund.,На той час Том був моїм єдиним другом.,Tom war damals mein einziger Freund.,0.9776220917701721
374,Damit hat Tom nicht gerechnet.,Том цього не очікував.,Tom hat das nicht erwartet.,0.900726854801178
375,Daniela hat mich zu Hause angerufen.,Даніела зателефонувала мені додому.,Daniela rief mich an.,0.8626266717910767
376,Dank dir habe ich meinen Appetit verloren.,Через тебе я втратив апетит.,Wegen dir habe ich keinen Appetit mehr.,0.9224370121955872
377,„Danke!“ – „Bitte!“,"Дякую. - ""Прошу"".",Danke.,0.8341372609138489
378,"Danke, das ist alles.","Дякую, це все.","Danke, das war's.",0.8231319785118103
379,"Danke, dass Sie mich eingeladen haben.","Дякую, що запросили мене!","Vielen Dank, daß Ihr mich eingeladen habt!",0.9330213665962219
380,Danke für das Kompliment!,Дякую за комплімент.,Danke für das Kompliment.,1.0
381,Danke für das wunderbare Essen.,Дякую за чудову їжу.,Vielen Dank für das wunderschöne Essen.,0.9140920042991638
382,Danke für deine Antwort.,Дякую за відповідь.,Danke für die Antwort.,0.956365168094635
383,Danke für deine Erklärung.,Дякую за пояснення.,Danke für die Erklärung.,0.9674441814422607
384,Danke für deine freundlichen Worte!,Дякую за добрі слова.,Vielen Dank für die freundlichen Worte.,0.952738881111145
385,Danke für deine Geduld!,Дякую тобі за терпіння.,Vielen Dank für Ihre Geduld.,0.9254398941993713
386,Danke für dein Geschenk.,Дякую тобі за подарунок.,Danke für das Geschenk.,0.9583147764205933
387,Danke für die Blumen!,Дякую за квіти.,Danke für die Blumen.,1.0000001192092896
388,"Danke für die Hilfe. ""Keine Ursache.""",«Дякую за допомогу.» «Нема за що.»,„ Vielen Dank für die Hilfe. “,0.8736163377761841
389,Danke für die Pizza!,Дякуємо за піцу.,Danke für die Pizza.,0.9999999403953552
390,Danke für die Praline. Sie war köstlich.,Дякую за шоколад. Він був смачним.,"Danke für die Schokolade, er war köstlich.",0.9142622947692871
391,Danke für Ihre freundlichen Worte!,Дякую за добрі слова.,Vielen Dank für die freundlichen Worte.,0.9488081336021423
392,Danke für Ihre Geduld.,Дякуємо вам за терпіння.,Vielen Dank für Ihre Geduld.,0.9625520706176758
393,Danke fürs Schreiben.,"Дякую за те, що написали.","Danke für das, was ich geschrieben habe.",0.8529335856437683
394,„Danke!“ – „Keine Ursache!“,"Дякую. - ""Прошу"".",Danke.,0.8014902472496033
395,„Danke!“ – „Keine Ursache!“,"Спасибі. - ""Нема за що"".","- ""Nichts für was.""",0.807458758354187
396,„Danke!“ – „Nichts zu danken!“,"Спасибі. - ""Нема за що"".","- ""Nichts für was.""",0.8322648406028748
397,Danke schön.,Щиро дякую!,Vielen Dank!,0.789021909236908
398,Danke trotzdem.,"У будь якому разі, дякую.","Auf jeden Fall, danke.",0.7715253233909607
399,Danke!,Дякуємо!,Danke!,1.0
400,Danke!,Дякую!,Danke!,1.0
401,Danke.,Дякую!,Danke!,1.0
402,Danke.,Дякую.,Danke.,1.0
403,Dank seiner Mutter wurde er berühmt.,Він став відомим завдяки матері.,Er wurde durch seine Mutter berühmt.,0.9478021860122681
404,Dann eilte sie nach Hause.,А потім вона поквапилася додому.,Dann beeilte sie sich nach Hause.,0.9549301862716675
405,Dann fangen wir an.,"Ну, тоді розпочнімо.",Dann fangen wir an.,0.9999998807907104
406,Dann haben wir ein Problem...,Тоді ми маємо проблему...,Dann haben wir ein Problem.,1.0
407,Dann komme ich später wieder.,Тоді я повернуся пізніше.,Dann komme ich später wieder.,1.0
408,Dann komme ich später wieder.,Тоді я прийду пізніше.,Dann komme ich später.,0.967305064201355
409,Dann legte er sich auf das gleiche Bett.,Він тоді лежав на тому ж ліжку.,Er lag auf demselben Bett.,0.8875223398208618
410,Dann zögern Sie nicht.,Тож не вагайтеся.,Man sollte also nicht zögern.,0.9078460931777954
411,Danzig ist die größte Stadt im Norden Polens.,Гданськ - найбільше місто на півночі Польщі.,Dansk ist die größte Stadt im Norden Polens.,0.9708666205406189
412,Darf ich deinen Kuli benutzen?,Можна скористатися твоєю ручкою?,Darf ich deinen Stift benutzen?,0.9523769021034241
413,Darf ich den Fernseher ausschalten?,Можна мені вимкнути телевізор?,Darf ich den Fernseher ausschalten?,0.9999998807907104
414,Darf ich den Fernseher ausschalten?,Можна я вимкну телевізор?,Darf ich den Fernseher ausschalten?,0.9999998807907104
415,Darf ich dich Tom nennen?,Можна я буду називати тебе Томом?,Darf ich dich Tom nennen?,1.0
416,Darf ich dich unterbrechen?,Можна тебе перебити?,Darf ich dich umlegen?,0.9497242569923401
417,Darf ich dir jetzt etwas zu trinken anbieten?,Я можу тобі запропонувати щось зараз випити?,Kann ich dir jetzt einen Drink anbieten?,0.9429340362548828
418,Darf ich es noch einmal machen?,Можу я це зробити ще раз?,Kann ich das nochmal machen?,0.9420604109764099
419,Darf ich etwas sagen?,Можна мені щось сказати?,Kann ich was sagen?,0.8909538984298706
420,Darf ich euer Telefon benutzen?,Можна мені скористатися вашим телефоном?,Darf ich Ihr Telefon benutzen?,0.9781813621520996
421,"Darf ich fragen, wie alt du bist?","Можна мені запитати, скільки тобі років?","Darf ich fragen, wie alt du bist?",1.0
422,"Darf ich fragen, wie alt du bist?","Можна поцікавитися, скільки тобі років?","Darf ich fragen, wie alt du bist?",1.0
423,"Darf ich fragen, wie alt Sie sind?","Можу я запитати, скільки вам років?","Darf ich fragen, wie alt sind Sie?",0.9941063523292542
424,Darf ich hier rauchen?,Чи можу я тут курити?,Kann ich hier rauchen?,0.9713464379310608
425,"Darf ich Ihnen helfen, gnädige Frau?","Чи можу вам чимось допомогти, пані?","Kann ich Ihnen helfen, Ma'am?",0.9205496907234192
426,Darf ich mal deinen Bart anfassen?,Можна мені доторктнутися до твоєї бороди?,Darf ich deinen Bart berühren?,0.9530156254768372
427,Darf ich mich neben euch setzen?,Можна сісти поруч із вами?,Darf ich mich neben Sie setzen?,0.9839138984680176
428,Darf ich mich vorstellen? Mein Name ist Tom Frisch.,Можна представитися? Мене звуть Том Фріш.,Mein Name ist Tom Freesh.,0.8670486211776733
429,Darf ich mich vorstellen?,Можна мені представитися?,Darf ich mich vorstellen?,0.9999999403953552
430,Darf ich mit ihr sprechen?,Чи можу я поговорити з нею?,Kann ich mit ihr reden?,0.9245123267173767
431,Darf ich nach Hause gehen?,Можна мені піти додому?,Darf ich nach Hause?,0.9809227585792542
432,Darf ich Sie unterbrechen?,Можна вас перебити?,Kann ich Sie unterbrechen?,0.9759525060653687
433,Darum musst du dir keine Sorgen machen.,Тобі не треба хвилюватися за це.,Du brauchst dir keine Sorgen zu machen.,0.9324513673782349
434,Darum sind wir hier.,Ось чому ми тут.,Deswegen sind wir hier.,0.9179956912994385
435,Darum werde ich mich morgen kümmern.,Я займуся цим завтра.,Ich mache das morgen.,0.8734896779060364
436,Darwin hat alles verändert.,Дарвін все змінив.,Darwin hat alles verändert.,1.0000001192092896
437,"Das Adjektiv endet auf ""a"".","Прикментник закінчується на ""а"".","Das Zeichen endet mit ""a"".",0.8936558961868286
438,Das also ist Tatoeba.,"Отже, це Татоеба.",Das ist also Dadsba.,0.8917564749717712
439,Das ängstigt mich überhaupt nicht.,Я ані трохи цього не боюся.,Ich habe keine Angst davor.,0.8470969796180725
440,Das Apartment war mit Möbeln im viktorianischen Stil eingerichtet.,Квартира була мебльована у вікторіанському стилі.,Die Wohnung war im viktorianischen Stil metabolisiert.,0.8820831179618835
441,Das Auto blieb im Schlamm stecken.,Машина застрягла в багні.,Der Wagen steckt im Schlamm fest.,0.9011688232421875
442,Das Auto fuhr gegen einen Telegrafenmast.,Автівка зіткнулась із телеграфним стовпом.,Mit der Telegrafensäule kam es zu Unfällen.,0.8524818420410156
443,Das Auto ist gelb.,Машина жовта.,Die Maschine ist gelb.,0.8830592632293701
444,Das Auto ist in der Garage.,Машина в гаражі.,Der Wagen ist in der Garage.,0.9127026200294495
445,Das Auto springt nicht an.,Автомобіль не заводиться.,Das Auto läuft nicht.,0.9246328473091125
446,Das Auto stieß mit dem LKW zusammen.,Автомобіль врізався у вантажівку.,Das Auto ist in den Truck gefahren.,0.8500528335571289
447,Das Baby läuft noch nicht.,Дитина ще не ходить.,Das Kind geht noch nicht.,0.9435930252075195
448,Das Baby schläft gerade.,Немовля спить.,Das Baby schläft.,0.9679281711578369
449,Das Baby schlief in der Wiege ein.,Дитина заснула в колисці.,Das Baby schlief in der Wiege ein.,1.0
450,Das Baby sucht seine Mutter.,Дитя шукає маму.,Das Baby sucht Mutter.,0.9723313450813293
451,Das Baseballspiel endete unentschieden.,Бейсбольний матч закінчився з нічийним результатом.,Das Baseballspiel endete mit einem nächtlichen Ergebnis.,0.8824282288551331
452,Das beste Buch über das Leben ist das Leben selbst.,Найкраща книжка про життя - власне життя.,Das beste Buch über das Leben ist sein eigenes.,0.9552083611488342
453,Das Bett kostet 120 Euro!,Ліжко коштує 120 євро!,Das Bett kostet 120 Euro!,1.0
454,Das beweist meine Theorie.,Це доводить мою теорію.,Das beweist meine Theorie.,0.9999999403953552
455,Das Bier ist sehr kalt.,Пиво дуже холодне.,Das Bier ist sehr kalt.,1.0
456,Das Bild erinnerte mich an Schottland.,Картина нагадувала менi Шотландiю.,Das Bild erinnerte mich an Schottland.,1.0
457,"Das brauchst du mir nicht zu sagen, du Idiot.","Можеш не говорити мені цього, ідіоте.","Du kannst mir das nicht sagen, du Idiot.",0.9368922114372253
458,Das Brot ist frisch.,Хліб свіжий.,Das Brot ist frisch.,1.0000001192092896
459,Das Buch enthält viele Abbildungen.,Ця книжка має багато малюнків.,Das Buch hat viele Bilder.,0.9045437574386597
460,"Das Bücherlesen hörte auf, das Privileg einer Minderheit zu sein.",Читання книжок більше не є привілеєм меншості.,Das Lesen von Büchern ist nicht mehr das Vorrecht einer Minderheit.,0.9042499661445618
461,Das Buch handelt von Sternen.,Ця книжка про зірки.,Dieses Buch ist ein Buch über die Sterne.,0.884656548500061
462,Das Buch hat mir gefallen.,Мені сподобалася ця книжка.,Das Buch hat mir sehr gut gefallen.,0.9764320254325867
463,Das Buch ist alt.,Книжка стара.,Das Buch ist alt.,1.0000001192092896
464,Das Buch ist geeignet für deine Bedürfnisse.,Ця книга відповідає твоїм потребам.,Dieses Buch entspricht deinen Bedürfnissen.,0.8945663571357727
465,Das Buch ist geeignet für Ihre Bedürfnisse.,Ця книга не відповідає Вашим потребам.,Dieses Buch stimmt nicht mit Ihren Bedürfnissen überein.,0.8918964266777039
466,Das Buch ist gelb.,Книжка жовта.,Das Buch ist gelb.,1.0
467,Das Buch ist neu.,Ця книжка нова.,Das Buch ist neu.,1.0
468,Das Buch ist orange.,Книжка помаранчева.,Das Buch ist orange.,1.0000001192092896
469,Das Buch ist weiß.,Книга біла.,Das Buch ist weiß.,1.0000001192092896
470,Das Ei ist ein universelles Symbol des Lebens und der Wiedergeburt.,Яйце - це універсальний символ життя та відродження.,Das Ei ist ein universelles Symbol für Leben und Wiedergeburt.,0.9757782816886902
471,Das Eis ist geschmolzen.,Крига розтанула.,Die Krise ist gesunken.,0.8500924110412598
472,Das Eis schmolz.,Крига розтанула.,Die Krise ist gesunken.,0.7736656069755554
473,Das Ende ist nahe.,Кінець вже близько.,Das Ende ist nahe.,1.0
474,Das ergibt keinen Sinn.,Це не має сенсу.,Das ergibt keinen Sinn.,1.0
475,Das erraten Sie nie!,Цього ти ніколи не вгадаєш!,Das wirst du nie vergessen!,0.8702002167701721
476,Das erwies sich als richtig.,Це виявилося правдою.,Es erwies sich als wahr.,0.9335283041000366
477,"Das Esperanto-Alphabet enthält achtundzwanzig Buchstaben: a, b, c, ĉ, d, e, f, g, ĝ, h, ĥ, i, j, ĵ, k, l, m, n, o, p, r, s, ŝ, t, u, ŭ, v, z.","Алфавіт есперанто має 28 літер: a, b, c, ĉ, d, e, f, g, ĝ, h, ĥ, i, j, ĵ, k, l, m, n, o, p, r, s, ŝ, t, u, ŭ, v, z.","Esperanto hat 28 Buchstaben: a, b, c, c, c, d, e, f, g, 6, h, i, j, dig, k,l, l,m,m,m, n, p, r, s, able, et, u, c.",0.9023858308792114
478,Das esse ich nicht.,Я цього не буду їсти.,Das werde ich nicht essen.,0.9211834073066711
479,Das Experiment scheiterte.,Експеримент закінчився невдало.,Versuch fehlgeschlagen.,0.7956487536430359
480,Das Fahrrad gehört mir.,Цей велосипед належить мені.,Dieses Fahrrad gehört mir.,0.9591675400733948
481,Das Fahrrad ist meins.,Цей велосипед належить мені.,Dieses Fahrrad gehört mir.,0.8821845054626465
482,Das Feld ist mit Schnee bedeckt.,Поле вкрите снігом.,Das Feld ist mit Schnee bedeckt.,1.0000001192092896
483,Das Fenster ist offen.,Вікно відкрите.,Das Fenster ist geöffnet.,0.9166126847267151
484,Das Fenster öffnete sich.,Вікно відчинилося.,Das Fenster ist geöffnet.,0.8981552720069885
485,Das Fernsehen zerstört das Familienleben.,Телевізор руйнує родинне життя.,Fernsehen zerstört das Familienleben,0.9895539283752441
486,Das Fest ist zu Ende.,Вечірка закінчилася.,Die Party ist vorbei.,0.840334415435791
487,Das Fest ist zu Ende.,Вечірка скінчилася.,Die Party ist zu Ende.,0.9356187582015991
