Unnamed: 0,de,uk,TRANSLATION,meteor_score
247,Bist du bereit anzufangen?,Готовий починати?,Bist du bereit?,0.7653061224489797
248,"Bist du bereit, aus dem Haus zu gehen?",Готовий іти надвір?,Bist du bereit zu gehen?,0.6768837803320561
249,Bist du Deutscher?,Ти німець?,Bist du Deutscher?,0.9921875
250,Bist du dick?,Ти гладкий?,Bist du glatt?,0.6388888888888888
251,Bist du eine gute Tänzerin?,Ти добре танцюєш?,Tanzst du gut?,0.17241379310344826
252,Bist du ein Einzelkind?,Ти єдина дитина?,Bist du das einzige Kind?,0.5010893246187365
253,Bist du ein guter Tänzer?,Ти добре танцюєш?,Tanzst du gut?,0.17241379310344826
254,Bist du ein Mensch?,Ти людина?,Bist du ein Mensch?,0.996
255,Bist du ein Vampir?,Ти вампір?,Bist du Vampir?,0.7653061224489797
256,Bist du Engländer?,Ти англієць?,Bist du Engländer?,0.9921875
257,Bist du enttäuscht?,Ти розчарована?,Bist du enttäuscht?,0.9921875
258,Bist du es?,Це ти?,Bist du das?,0.6388888888888888
259,Bist du fertig?,Ти готова?,Bist du bereit?,0.6388888888888888
260,Bist du fertig?,Ти готовий?,Bist du bereit?,0.6388888888888888
261,Bist du gesund?,Ти здорова?,Bist du gesund?,0.9921875
262,Bist du gesund?,Ти здоровий?,Bist du gesund?,0.9921875
263,"Bist du gewarnt, bist du gewappnet.",Попереджений - означає озброєнний.,Warnend bedeutet bewaffnet.,0.0
264,Bist du heute beschäftigt?,Ти сьогодні зайнятий?,Hast du heute zu tun?,0.5010893246187365
265,Bist du heute in die Schule gegangen?,Ти сьогодні ходив до школи?,Warst du heute zur Schule gegangen?,0.6126582278481013
266,Bist du heute in die Schule gegangen?,Ти сьогодні ходила до школи?,Warst du heute zur Schule gegangen?,0.6126582278481013
267,Bist du hier beschäftigt?,Ти тут зайнята?,Bist du hier beschäftigt?,0.996
268,Bist du hier beschäftigt?,Ти тут зайнятий?,Bist du hier beschäftigt?,0.996
269,Bist du in Australien?,Ти в Австралії?,Bist du in Australien?,0.996
270,Bist du in Tom verliebt?,Ти закохана у Тома?,Hast du Tom geliebt?,0.25423728813559315
271,Bist du in Tom verliebt?,Ти закоханий у Тома?,Bist du in Tom verliebt?,0.9976851851851852
272,Bist du Japaner?,Ти японець?,Bist du ein Japaner?,0.9146341463414633
273,Bist du jemals in Afrika gewesen?,Ти колись був у Африці?,Warst du jemals in Afrika?,0.7014492753623188
274,Bist du jemals in Afrika gewesen?,Ти колись була в Африці?,Warst du jemals in Afrika?,0.7014492753623188
275,Bist du Marys Ehemann?,Ти чоловік Мері?,Bist du Marys Mann?,0.7500000000000001
276,Bist du mit deinen Hausaufgaben fertig?,Ти вже доробив домашнє завдання?,Hast du schon deine Hausaufgaben gemacht?,0.2142857142857143
277,Bist du mit den Hausaufgaben fertig?,Ти вже доробив домашнє завдання?,Hast du schon deine Hausaufgaben gemacht?,0.2142857142857143
278,Bist du nervös?,Ти нервуєш?,Bist du nervös?,0.9921875
279,Bist du nicht Toms Mutter?,Хіба ти не мама Тома?,Bist du nicht Toms Mutter?,0.9976851851851852
280,Bist du nicht Tom?,Хіба ти не Том?,Du bist nicht Tom?,0.892
281,Bist du noch immer müde?,Ти все ще сонний?,Bist du immer noch schläfrig?,0.6200000000000001
282,Bist du noch verheiratet?,Ти все ще одружена?,Bist du noch verheiratet?,0.996
283,Bist du schlechter Laune?,В тебе поганий настрій?,Hast du eine schlechte Laune?,0.5010893246187365
284,Bist du schon mal in Indien gewesen?,Ти колись бував у Індії?,Warst du jemals in Indien?,0.40464743589743596
285,Bist du sicher?,Ти впевнений?,Bist du sicher?,0.9921875
286,Bist du stolz auf deinen Vater?,Ти пишаєшся своїм батьком?,Bist du stolz auf deinen Vater?,0.9985422740524781
287,Bist du traurig?,Тобі сумно?,Bist du traurig?,0.9921875
288,Bist du übelgelaunt?,В тебе поганий настрій?,Hast du eine schlechte Laune?,0.2380952380952381
289,Bist du über achtzehn?,Ти старше 18?,Bist du älter als 18?,0.5010893246187365
290,Bist du Übersetzer?,Ти перекладач?,Bist du Dolmetscher?,0.6388888888888888
291,Bist du Vegetarierin?,Ти вегетаріанка?,Bist du Vegetarierin?,0.9921875
292,Bist du verheiratet?,Ти заміжня?,Bist du verheiratet?,0.9921875
293,Bist du zehn Jahre alt?,Тобі десять років?,Bist du 10 Jahre alt?,0.8066666666666668
294,Bist du zurückgekommen?,Ти повернувся?,Bist du wieder da?,0.6233062330623306
295,Bitte beantworten Sie diese Frage für mich.,"Будь-ласка, дай мені відповідь на це запитання.",Bitte gib mir die Antwort auf diese Frage.,0.3599374021909233
296,Bitte beeil dich!,"Будь ласка, поквапся!","Bitte, beeil dich!",0.9814814814814815
297,Bitte bleiben Sie sitzen.,"Будь ласка, не вставайте.","Bitte, wach nicht auf.",0.125
298,Bitte entferne den Kommentar.,"Видалiть коментар, будь-ласка.","Den Kommentar ausholen, bitte.",0.6388888888888888
299,"Bitte entschuldigen Sie, aber ich glaube das ist mein Platz.","Перепрошую, але я думаю, що це моє місце.","Tut mir leid, aber ich glaube, das ist mein Platz.",0.6989795918367346
300,Bitte entschuldigen Sie mein Zuspätkommen.,Перепрошую за запізнення.,Entschuldigen Sie die Verspätung.,0.38265306122448983
301,Bitte erlauben Sie mir zu gehen.,"Будь ласка, дозвольте мені піти.","Bitte, lassen Sie mich gehen.",0.25423728813559315
302,Bitte komm in drei Tagen.,"Будь ласка, прийди за три дні.","Bitte, kommen Sie in drei Tagen her.",0.7211538461538461
303,"Bitte, mach dir keine Sorgen.","Не турбуйся, будь ласка.","Keine Sorge, bitte.",0.20833333333333331
304,Bitte nehmen Sie Platz!,"Сідайте, будь ласка!","Setzen Sie sich, bitte!",0.25
305,Bitte nicht im Klassenzimmer rennen.,"Будь-ласка, не бігай у класі.",Bitte geh nicht in die Klasse.,0.19607843137254904
306,Bitte öffnen Sie ihre Tasche.,"Відкрийте сумку, будь ласка.","Öffnen Sie die Tasche, bitte.",0.6312500000000001
307,Bitte öffnen Sie seine Tasche.,"Відкрийте сумку, будь ласка.","Öffnen Sie die Tasche, bitte.",0.6312500000000001
308,Bitte rufen Sie ihn an.,"Зателефонуйте йому, будь ласка.",Rufen Sie ihn bitte an.,0.892
309,Bitte schön.,Нема за що.,Nichts.,0.0
310,Bitte sende es mir per Fax.,"Відправ мені це факсом, будь ласка.",Senden Sie mir bitte das Fax.,0.25
311,Bitte singe ein Lied.,"Заспівай пісню, будь ласка.","Sing das Lied, bitte.",0.375
312,Bitte sprechen Sie langsamer.,"Будь ласка, розмовляйте повільніше.",Sprecht bitte langsamer.,0.25641025641025644
313,Bitte stehen Sie nicht auf.,"Не вставайте, будь ласка.","Nicht aufstehen, bitte.",0.20833333333333331
314,Bitte steh nicht auf.,"Не вставай, будь ласка.","Steh nicht auf, bitte.",0.9375
315,Bitte steht nicht auf.,"Не вставайте, будь ласка.","Nicht aufstehen, bitte.",0.25641025641025644
316,"Bitte Tom, nicht auf mich zu warten!",Попроси Тома не чекати на мене.,"Frag Tom, ob er nicht auf mich wartet.",0.5281690140845071
317,"Bitte, trink etwas!",Випийте щось.,Trinken Sie etwas.,0.16666666666666666
318,Bitte übersetzen Sie diesen japanischen Text ins Französische.,"Перекладіть цей японський текст на французьку, будь ласка.","Übersetzen Sie den japanischen Text ins Französische, bitte.",0.840561224489796
319,Bitte verbinden Sie mich mit Herrn Smith.,"З'єднайте мене з паном Смітом, будь ласка.",Verbinden Sie mich bitte mit Mr. Smith.,0.7301587301587302
320,Bitte weine nicht.,"Не плач, будь ласка.","Weine nicht, bitte.",0.8518518518518519
321,Bitte zeigen Sie mir diese Fotos.,"Будьте ласкаві, покажіть мені ці фотографії.","Bitte, zeigen Sie mir diese Bilder.",0.8300000000000002
322,Bleibt Tom zum Abendessen?,Том залишиться на вечерю?,Wird Tom zum Abendessen bleiben?,0.7352941176470589
323,Blinde glauben nicht an die Liebe auf den ersten Blick.,Сліпі не вірять у кохання з першого погляду.,Blinde glauben nicht an Liebe auf den ersten Blick.,0.9041027559546079
324,"Bob aß die Schnecke, dann erbrach er sich.","Боб з'їв равлика, потім виригав.",Bob aß eine Muschel und holte sie aus.,0.234375
325,Bob hat mir geholfen.,Боб мені допоміг.,Bob hat mir geholfen.,0.9921875
326,Bob war sehr glücklich.,Боб був дуже щасливий.,Bob war sehr glücklich.,0.9921875
327,Boston ist langweilig.,Бостон нудний.,Boston ist langweilig.,0.9814814814814815
328,Boston verändert sich.,Бостон змінюється.,Boston verändert sich.,0.9814814814814815
329,Bratislava ist die Hauptstadt der Slowakei.,Братислава - столиця Словаччини.,Preßburg - Hauptstadt der Slowakei,0.4990583804143125
330,Brauchen Sie einen Krankenwagen?,Вам потрібна швидка допомога?,Brauchen Sie Verstärkung?,0.5215419501133786
331,Brauchen Sie Geld?,Вам потрібні гроші?,Brauchen Sie Geld?,0.9921875
332,Brauchen wir einen Plan B?,"Ми потребуємо плану ""Б""?",Brauchen wir einen B-Plan?,0.635593220338983
333,Brauchen wir einen Plan B?,"Нам потрібний план ""Б""?",Brauchen wir einen B-Plan?,0.635593220338983
334,Brauchst du meine Hilfe noch?,Тобі все ще потрібна моя допомога?,Brauchst du noch meine Hilfe?,0.8518518518518519
335,Brauchst du unsere Hilfe?,Тобі потрібна наша допомога?,Brauchst du unsere Hilfe?,0.996
336,Brauchst du viel Geld?,Тобі потрібно багато грошей?,Brauchst du viel Geld?,0.996
337,Braucht ihr einen Krankenwagen?,Вам потрібна швидка?,Brauchen Sie einen Krankenwagen?,0.5888888888888889
338,Braucht ihr einen Krankenwagen?,Вам потрібна швидка допомога?,Brauchen Sie Verstärkung?,0.10204081632653061
339,Brian hat einen Lippenstift für Kate gekauft.,Брайан купив для Кейт губну помаду.,Brian hat für Kate eine Lippenstifte gekauft.,0.7301587301587302
340,Brich niemals dein Versprechen!,Ніколи не порушуй своєї обіцянки.,Gib dein Versprechen nie auf.,0.45731707317073167
341,Bringen Sie mir etwas kaltes Wasser.,Принесіть мені холодної води.,Bringt mir kaltes Wasser.,0.4406130268199233
342,Bring es mir.,Принеси його мені.,Bring ihn zu mir.,0.32258064516129037
343,"Bring mir etwas Wasser, aber schnell!","Принеси мені води, швиденько.",Hol mir schnell das Wasser.,0.25423728813559315
344,Bronislaw ist 18 Jahre alt.,Броніславу вісімнадцять років.,Bronnigus war achtzehn Jahre alt.,0.37500000000000006
345,"Brustschwimmen kann ich, aber Rückenschwimmen nicht.","Я можу плисти на животі, але не на спині.","Ich kann auf dem Bauch schwimmen, aber nicht auf dem Rücken.",0.3076923076923077
346,Bulgarien ist ein wunderschönes Land.,Болгарія - прекрасна країна.,Bulgarien ist ein wunderschönes Land.,0.996
347,Butter macht man aus Milch.,Масло роблять з молока.,Olivenöl wird aus Milch hergestellt.,0.37500000000000006
348,Butter wird aus Milch gemacht.,Масло роблять з молока.,Olivenöl wird aus Milch hergestellt.,0.5888888888888889
349,Carol hat Kopfweh.,У Керол болить голова.,Carol hat Kopfschmerzen.,0.625
350,Caty ist lesbisch.,Кеті лесбіянка.,Cathy ist eine Lesbierin.,0.16129032258064518
351,Champagner wird aus Frankreich importiert.,Шампанське імпортують із Франції.,Champagner wird aus Frankreich importiert.,0.996
352,China ist das größste Land Asiens.,Китай - найбільша країна в Азії.,China ist das größte Land in Asien.,0.7311475409836065
353,China ist das größte Land in Asien.,Китай - найбільша країна в Азії.,China ist das größte Land in Asien.,0.9985422740524781
354,China ist ein großes Land.,Китай - велика країна.,China ist ein großes Land.,0.996
355,China ist größer als Japan.,"Китай більший, ніж Японія.",China ist größer als Japan.,0.996
356,Christiano Ronaldo ist ein Fußballspieler.,Кріштіану Роналду - футболіст.,Krystyna Ronaldo ist Footballspieler.,0.38265306122448983
357,Christoph Kolumbus entdeckte Amerika im Jahre 1492.,Христофор Колумб відкрив Америку в 1492 році.,Christoph Kolumbus entdeckte 1492 Amerika.,0.6558823529411766
358,"Christoph Kolumbus fand einst den Heiligen Gral, warf ihn aber weg, weil ihm die Farbe nicht gefiel.","Христофор Колумб якось знайшов Святий Грааль, але викинув його, бо йому не сподобався колір.","Christoph Kolumbus fand den heiligen Gral, warf ihn weg, weil ihm die Farbe nicht gefiel.",0.8892857142857142
359,Computer machen die Leute dumm.,Комп'ютери роблять із людей ідіотів.,Computer machen Idioten.,0.39062499999999994
360,Computer machen Menschen dumm.,Комп'ютери роблять із людей ідіотів.,Computer machen Idioten.,0.48076923076923084
361,Coolidge hat die Wahl im Jahre 1924 spielend gewonnen.,Кулідж легко переміг на виборах у 1924 році.,Der Kugelhagel gewann 1924 bei seinen Wahlen leicht.,0.05617977528089887
362,Cristiano Ronaldo ist ein Fußballspieler.,Кріштіану Роналду - футболіст.,Krystyna Ronaldo ist Footballspieler.,0.38265306122448983
363,Cristiano Ronaldo ist Fußballer.,Кріштіану Роналду - футболіст.,Krystyna Ronaldo ist Footballspieler.,0.46875
364,"Da du gekocht hast, kümmere ich mich um den Abwasch.","Оскільки ти готувала, я помию посуд.","Da du gekocht hast, putze ich das Geschirr.",0.49387755102040815
365,Da fehlt eine Seite.,Не вистачає сторінки.,Die Seite ist unvollständig.,0.125
366,Dafür bin ich zu alt.,Я для цього занадто стара.,Ich bin zu alt dafür.,0.744
367,Da hängt ein Schatten über mir.,Наді мною нависла тінь.,Mir stand ein Schatten bevor.,0.43314500941619577
368,Da ist eine Katze auf dem Stuhl.,На стільці є кіт.,Es gibt eine Katze auf dem Stuhl.,0.7114285714285714
369,Da ist eine weiße Taube auf dem Dach.,На даху сидить білий голуб.,Auf dem Dach sitzt eine weiße Taube.,0.7454289732770746
370,Da ist ein Hund an der Tür.,Біля дверей стоїть пес.,An der Tür steht ein Hund.,0.7014492753623188
371,Damals waren wir jünger.,Тоді ми були молодші.,Damals waren wir jünger.,0.9921875
372,Damals war Mary Toms Freundin.,Мері тоді була дівчиною Тома.,Mary war damals Toms Mädchen.,0.4000000000000001
373,Damals war Tom mein einziger Freund.,На той час Том був моїм єдиним другом.,Tom war damals mein einziger Freund.,0.8518518518518519
374,Damit hat Tom nicht gerechnet.,Том цього не очікував.,Tom hat das nicht erwartet.,0.3
375,Daniela hat mich zu Hause angerufen.,Даніела зателефонувала мені додому.,Daniela rief mich an.,0.17241379310344826
376,Dank dir habe ich meinen Appetit verloren.,Через тебе я втратив апетит.,Wegen dir habe ich keinen Appetit mehr.,0.5357142857142857
377,„Danke!“ – „Bitte!“,"Дякую. - ""Прошу"".",Danke.,0.078125
378,"Danke, das ist alles.","Дякую, це все.","Danke, das war's.",0.46875
379,"Danke, dass Sie mich eingeladen haben.","Дякую, що запросили мене!","Vielen Dank, daß Ihr mich eingeladen habt!",0.4189435336976321
380,Danke für das Kompliment!,Дякую за комплімент.,Danke für das Kompliment.,0.9921875
381,Danke für das wunderbare Essen.,Дякую за чудову їжу.,Vielen Dank für das wunderschöne Essen.,0.7352941176470589
382,Danke für deine Antwort.,Дякую за відповідь.,Danke für die Antwort.,0.6388888888888888
383,Danke für deine Erklärung.,Дякую за пояснення.,Danke für die Erklärung.,0.6388888888888888
384,Danke für deine freundlichen Worte!,Дякую за добрі слова.,Vielen Dank für die freundlichen Worte.,0.7352941176470589
385,Danke für deine Geduld!,Дякую тобі за терпіння.,Vielen Dank für Ihre Geduld.,0.6233062330623306
386,Danke für dein Geschenk.,Дякую тобі за подарунок.,Danke für das Geschenk.,0.6388888888888888
387,Danke für die Blumen!,Дякую за квіти.,Danke für die Blumen.,0.9921875
388,"Danke für die Hilfe. ""Keine Ursache.""",«Дякую за допомогу.» «Нема за що.»,„ Vielen Dank für die Hilfe. “,0.5023734177215189
389,Danke für die Pizza!,Дякуємо за піцу.,Danke für die Pizza.,0.9921875
390,Danke für die Praline. Sie war köstlich.,Дякую за шоколад. Він був смачним.,"Danke für die Schokolade, er war köstlich.",0.6914285714285714
391,Danke für Ihre freundlichen Worte!,Дякую за добрі слова.,Vielen Dank für die freundlichen Worte.,0.7352941176470589
392,Danke für Ihre Geduld.,Дякуємо вам за терпіння.,Vielen Dank für Ihre Geduld.,0.9679878048780488
393,Danke fürs Schreiben.,"Дякую за те, що написали.","Danke für das, was ich geschrieben habe.",0.5514705882352942
394,„Danke!“ – „Keine Ursache!“,"Дякую. - ""Прошу"".",Danke.,0.0684931506849315
395,„Danke!“ – „Keine Ursache!“,"Спасибі. - ""Нема за що"".","- ""Nichts für was.""",0.0
396,„Danke!“ – „Nichts zu danken!“,"Спасибі. - ""Нема за що"".","- ""Nichts für was.""",0.0574712643678161
397,Danke schön.,Щиро дякую!,Vielen Dank!,0.25
398,Danke trotzdem.,"У будь якому разі, дякую.","Auf jeden Fall, danke.",0.22727272727272727
399,Danke!,Дякуємо!,Danke!,0.5
400,Danke!,Дякую!,Danke!,0.5
401,Danke.,Дякую!,Danke!,0.5
402,Danke.,Дякую.,Danke.,0.5
403,Dank seiner Mutter wurde er berühmt.,Він став відомим завдяки матері.,Er wurde durch seine Mutter berühmt.,0.3333333333333333
404,Dann eilte sie nach Hause.,А потім вона поквапилася додому.,Dann beeilte sie sich nach Hause.,0.618872549019608
405,Dann fangen wir an.,"Ну, тоді розпочнімо.",Dann fangen wir an.,0.9921875
406,Dann haben wir ein Problem...,Тоді ми маємо проблему...,Dann haben wir ein Problem.,0.996
407,Dann komme ich später wieder.,Тоді я повернуся пізніше.,Dann komme ich später wieder.,0.996
408,Dann komme ich später wieder.,Тоді я прийду пізніше.,Dann komme ich später.,0.8099489795918368
409,Dann legte er sich auf das gleiche Bett.,Він тоді лежав на тому ж ліжку.,Er lag auf demselben Bett.,0.1948051948051948
410,Dann zögern Sie nicht.,Тож не вагайтеся.,Man sollte also nicht zögern.,0.24390243902439024
411,Danzig ist die größte Stadt im Norden Polens.,Гданськ - найбільше місто на півночі Польщі.,Dansk ist die größte Stadt im Norden Polens.,0.8737244897959183
412,Darf ich deinen Kuli benutzen?,Можна скористатися твоєю ручкою?,Darf ich deinen Stift benutzen?,0.8066666666666668
413,Darf ich den Fernseher ausschalten?,Можна мені вимкнути телевізор?,Darf ich den Fernseher ausschalten?,0.9976851851851852
414,Darf ich den Fernseher ausschalten?,Можна я вимкну телевізор?,Darf ich den Fernseher ausschalten?,0.9976851851851852
415,Darf ich dich Tom nennen?,Можна я буду називати тебе Томом?,Darf ich dich Tom nennen?,0.9976851851851852
416,Darf ich dich unterbrechen?,Можна тебе перебити?,Darf ich dich umlegen?,0.7500000000000001
417,Darf ich dir jetzt etwas zu trinken anbieten?,Я можу тобі запропонувати щось зараз випити?,Kann ich dir jetzt einen Drink anbieten?,0.5438202247191011
418,Darf ich es noch einmal machen?,Можу я це зробити ще раз?,Kann ich das nochmal machen?,0.3703703703703703
419,Darf ich etwas sagen?,Можна мені щось сказати?,Kann ich was sagen?,0.5111111111111111
420,Darf ich euer Telefon benutzen?,Можна мені скористатися вашим телефоном?,Darf ich Ihr Telefon benutzen?,0.8066666666666668
421,"Darf ich fragen, wie alt du bist?","Можна мені запитати, скільки тобі років?","Darf ich fragen, wie alt du bist?",0.9990234375
422,"Darf ich fragen, wie alt du bist?","Можна поцікавитися, скільки тобі років?","Darf ich fragen, wie alt du bist?",0.9990234375
423,"Darf ich fragen, wie alt Sie sind?","Можу я запитати, скільки вам років?","Darf ich fragen, wie alt sind Sie?",0.9375
424,Darf ich hier rauchen?,Чи можу я тут курити?,Kann ich hier rauchen?,0.7937500000000002
425,"Darf ich Ihnen helfen, gnädige Frau?","Чи можу вам чимось допомогти, пані?","Kann ich Ihnen helfen, Ma'am?",0.5434782608695652
426,Darf ich mal deinen Bart anfassen?,Можна мені доторктнутися до твоєї бороди?,Darf ich deinen Bart berühren?,0.6463768115942029
427,Darf ich mich neben euch setzen?,Можна сісти поруч із вами?,Darf ich mich neben Sie setzen?,0.8412698412698414
428,Darf ich mich vorstellen? Mein Name ist Tom Frisch.,Можна представитися? Мене звуть Том Фріш.,Mein Name ist Tom Freesh.,0.4177631578947369
429,Darf ich mich vorstellen?,Можна мені представитися?,Darf ich mich vorstellen?,0.996
430,Darf ich mit ihr sprechen?,Чи можу я поговорити з нею?,Kann ich mit ihr reden?,0.625
431,Darf ich nach Hause gehen?,Можна мені піти додому?,Darf ich nach Hause?,0.8203389830508474
432,Darf ich Sie unterbrechen?,Можна вас перебити?,Kann ich Sie unterbrechen?,0.7937500000000002
433,Darum musst du dir keine Sorgen machen.,Тобі не треба хвилюватися за це.,Du brauchst dir keine Sorgen zu machen.,0.6371428571428571
434,Darum sind wir hier.,Ось чому ми тут.,Deswegen sind wir hier.,0.7361111111111112
435,Darum werde ich mich morgen kümmern.,Я займуся цим завтра.,Ich mache das morgen.,0.17241379310344826
436,Darwin hat alles verändert.,Дарвін все змінив.,Darwin hat alles verändert.,0.9921875
437,"Das Adjektiv endet auf ""a"".","Прикментник закінчується на ""а"".","Das Zeichen endet mit ""a"".",0.6371428571428571
438,Das also ist Tatoeba.,"Отже, це Татоеба.",Das ist also Dadsba.,0.375
439,Das ängstigt mich überhaupt nicht.,Я ані трохи цього не боюся.,Ich habe keine Angst davor.,0.0
440,Das Apartment war mit Möbeln im viktorianischen Stil eingerichtet.,Квартира була мебльована у вікторіанському стилі.,Die Wohnung war im viktorianischen Stil metabolisiert.,0.42613636363636365
441,Das Auto blieb im Schlamm stecken.,Машина застрягла в багні.,Der Wagen steckt im Schlamm fest.,0.3125
442,Das Auto fuhr gegen einen Telegrafenmast.,Автівка зіткнулась із телеграфним стовпом.,Mit der Telegrafensäule kam es zu Unfällen.,0.0
443,Das Auto ist gelb.,Машина жовта.,Die Maschine ist gelb.,0.46875
444,Das Auto ist in der Garage.,Машина в гаражі.,Der Wagen ist in der Garage.,0.6614583333333333
445,Das Auto springt nicht an.,Автомобіль не заводиться.,Das Auto läuft nicht.,0.5215419501133786
446,Das Auto stieß mit dem LKW zusammen.,Автомобіль врізався у вантажівку.,Das Auto ist in den Truck gefahren.,0.26785714285714285
447,Das Baby läuft noch nicht.,Дитина ще не ходить.,Das Kind geht noch nicht.,0.5111111111111111
448,Das Baby schläft gerade.,Немовля спить.,Das Baby schläft.,0.754985754985755
449,Das Baby schlief in der Wiege ein.,Дитина заснула в колисці.,Das Baby schlief in der Wiege ein.,0.9985422740524781
450,Das Baby sucht seine Mutter.,Дитя шукає маму.,Das Baby sucht Mutter.,0.7653061224489797
451,Das Baseballspiel endete unentschieden.,Бейсбольний матч закінчився з нічийним результатом.,Das Baseballspiel endete mit einem nächtlichen Ergebnis.,0.6847545219638244
452,Das beste Buch über das Leben ist das Leben selbst.,Найкраща книжка про життя - власне життя.,Das beste Buch über das Leben ist sein eigenes.,0.6411049268192124
453,Das Bett kostet 120 Euro!,Ліжко коштує 120 євро!,Das Bett kostet 120 Euro!,0.996
454,Das beweist meine Theorie.,Це доводить мою теорію.,Das beweist meine Theorie.,0.9921875
455,Das Bier ist sehr kalt.,Пиво дуже холодне.,Das Bier ist sehr kalt.,0.996
456,Das Bild erinnerte mich an Schottland.,Картина нагадувала менi Шотландiю.,Das Bild erinnerte mich an Schottland.,0.9976851851851852
457,"Das brauchst du mir nicht zu sagen, du Idiot.","Можеш не говорити мені цього, ідіоте.","Du kannst mir das nicht sagen, du Idiot.",0.6432011006649851
458,Das Brot ist frisch.,Хліб свіжий.,Das Brot ist frisch.,0.9921875
459,Das Buch enthält viele Abbildungen.,Ця книжка має багато малюнків.,Das Buch hat viele Bilder.,0.5111111111111111
460,"Das Bücherlesen hörte auf, das Privileg einer Minderheit zu sein.",Читання книжок більше не є привілеєм меншості.,Das Lesen von Büchern ist nicht mehr das Vorrecht einer Minderheit.,0.31250000000000006
461,Das Buch handelt von Sternen.,Ця книжка про зірки.,Dieses Buch ist ein Buch über die Sterne.,0.09433962264150944
462,Das Buch hat mir gefallen.,Мені сподобалася ця книжка.,Das Buch hat mir sehr gut gefallen.,0.9307692307692308
463,Das Buch ist alt.,Книжка стара.,Das Buch ist alt.,0.9921875
464,Das Buch ist geeignet für deine Bedürfnisse.,Ця книга відповідає твоїм потребам.,Dieses Buch entspricht deinen Bedürfnissen.,0.07352941176470587
465,Das Buch ist geeignet für Ihre Bedürfnisse.,Ця книга не відповідає Вашим потребам.,Dieses Buch stimmt nicht mit Ihren Bedürfnissen überein.,0.07042253521126761
466,Das Buch ist gelb.,Книжка жовта.,Das Buch ist gelb.,0.9921875
467,Das Buch ist neu.,Ця книжка нова.,Das Buch ist neu.,0.9921875
468,Das Buch ist orange.,Книжка помаранчева.,Das Buch ist orange.,0.9921875
469,Das Buch ist weiß.,Книга біла.,Das Buch ist weiß.,0.9921875
470,Das Ei ist ein universelles Symbol des Lebens und der Wiedergeburt.,Яйце - це універсальний символ життя та відродження.,Das Ei ist ein universelles Symbol für Leben und Wiedergeburt.,0.8103975535168196
471,Das Eis ist geschmolzen.,Крига розтанула.,Die Krise ist gesunken.,0.125
472,Das Eis schmolz.,Крига розтанула.,Die Krise ist gesunken.,0.0
473,Das Ende ist nahe.,Кінець вже близько.,Das Ende ist nahe.,0.9921875
474,Das ergibt keinen Sinn.,Це не має сенсу.,Das ergibt keinen Sinn.,0.9921875
475,Das erraten Sie nie!,Цього ти ніколи не вгадаєш!,Das wirst du nie vergessen!,0.24390243902439024
476,Das erwies sich als richtig.,Це виявилося правдою.,Es erwies sich als wahr.,0.5888888888888889
477,"Das Esperanto-Alphabet enthält achtundzwanzig Buchstaben: a, b, c, ĉ, d, e, f, g, ĝ, h, ĥ, i, j, ĵ, k, l, m, n, o, p, r, s, ŝ, t, u, ŭ, v, z.","Алфавіт есперанто має 28 літер: a, b, c, ĉ, d, e, f, g, ĝ, h, ĥ, i, j, ĵ, k, l, m, n, o, p, r, s, ŝ, t, u, ŭ, v, z.","Esperanto hat 28 Buchstaben: a, b, c, c, c, d, e, f, g, 6, h, i, j, dig, k,l, l,m,m,m, n, p, r, s, able, et, u, c.",0.48102050302122606
478,Das esse ich nicht.,Я цього не буду їсти.,Das werde ich nicht essen.,0.6233062330623306
479,Das Experiment scheiterte.,Експеримент закінчився невдало.,Versuch fehlgeschlagen.,0.0
480,Das Fahrrad gehört mir.,Цей велосипед належить мені.,Dieses Fahrrad gehört mir.,0.7361111111111112
481,Das Fahrrad ist meins.,Цей велосипед належить мені.,Dieses Fahrrad gehört mir.,0.125
482,Das Feld ist mit Schnee bedeckt.,Поле вкрите снігом.,Das Feld ist mit Schnee bedeckt.,0.9976851851851852
483,Das Fenster ist offen.,Вікно відкрите.,Das Fenster ist geöffnet.,0.7361111111111112
484,Das Fenster öffnete sich.,Вікно відчинилося.,Das Fenster ist geöffnet.,0.46875
485,Das Fernsehen zerstört das Familienleben.,Телевізор руйнує родинне життя.,Fernsehen zerstört das Familienleben,0.8099489795918368
486,Das Fest ist zu Ende.,Вечірка закінчилася.,Die Party ist vorbei.,0.10204081632653061
487,Das Fest ist zu Ende.,Вечірка скінчилася.,Die Party ist zu Ende.,0.5888888888888889
488,Das Festival war alles andere als öde.,Фестиваль був далеко не нудним.,Das Festival war alles andere als langweilig.,0.8551587301587302
489,Das Fleisch ist roh.,М'ясо сире.,Das Fleisch ist rohes Fleisch.,0.36585365853658536
490,Das Fleisch ist zäh.,М'ясо жорстке.,Das Fleisch ist hart.,0.7361111111111112
491,Das Fleisch schmeckt schlecht.,М'ясо погано смакує.,Fleisch schmeckt nicht gut.,0.46875
492,Das Flugzeug flog über den Wolken.,Літак летів над хмарами.,Das Flugzeug flog über die Wolken.,0.8066666666666668
493,Das Flugzeug ist abgestürzt.,Літак розбився.,Das Flugzeug ist kaputt.,0.7361111111111112
494,Das Flugzeug wird in einer Stunde abheben.,Літак злетить за годину.,Das Flugzeug fliegt in einer Stunde ab.,0.6914285714285714
