Unnamed: 0,de,uk,TRANSLATION,BLEURT_Score,UK
223.0,Bill kommt nächste Woche zurück.,Біл повернеться наступного тижня.,Bill kommt nächste Woche zurück.,0.9108392000198364,
224.0,Bill lebt nah am Meer.,Біл живе недалеко від моря.,Bill wohnt nicht weit vom Meer entfernt.,-0.8608071804046631,
225.0,Bill raucht nicht mehr.,Білл більше не палить.,Bill raucht nicht mehr.,0.8996554613113403,
226.0,"Bill, ruf mich heute Abend an.","Біле, зателефонуй мені сьогодні ввечері.","Bill, ruf mich heute Abend an.",0.9225390553474426,
227.0,Bill war in Japan.,Біл був у Японії.,Bill war in Japan.,0.912405252456665,
228.0,Bill wohnt in der Nähe des Meeres.,Біл живе недалеко від моря.,Bill wohnt nicht weit vom Meer entfernt.,-0.36838752031326294,
229.0,Bin ich bereit?,Я готова?,Bin ich bereit?,0.9279971122741699,
230.0,Bin ich bereit?,Я готовий?,Bin ich bereit?,0.9279971122741699,
231.0,Bin ich gefeuert?,Я звільнена?,Bin ich gefeuert?,0.9164144992828369,
232.0,Bin ich in London?,Чи я в Лондоні?,Bin ich in London?,0.9142614603042603,
233.0,Bin ich in London?,Я в Лондоні?,Bin ich in London?,0.9142614603042603,
234.0,Bis bald!,Побачимося!,Wir sehen uns!,-1.364424467086792,
235.0,Bis fünf Uhr wird er wieder zurück sein.,Він повернеться з школи до п'ятої.,Er kommt von der Schule zurück auf Freitag.,-0.7928047776222229,
236.0,Bis morgen!,До завтра!,Bis morgen!,0.9238086938858032,
237.0,Bis nächste Woche!,Побачимося наступного тижня.,Bis nächste Woche.,0.7728896737098694,
238.0,Bis später!,Побачимось пізніше!,Bis später!,0.9188339710235596,
239.0,Bist du am Arbeiten?,Ти на роботі?,Bist du auf der Arbeit?,0.19501566886901855,
240.0,Bist du Amerikaner?,Ти американець?,Bist du Amerikaner?,0.9086163640022278,
241.0,Bist du an Musik interessiert?,Тебе цікавить музика?,Interessierst du dich für Musik?,-0.05517493188381195,
242.0,Bist du Atheist?,Ти атеїст?,Bist du ein Atheist?,0.5178448557853699,
243.0,Bist du Atheist?,Ти атеїстка?,Bist du Atheistin?,0.7608261704444885,
244.0,Bist du aus den Vereinigten Staaten?,Ти зі Сполучених Штатів?,Bist du aus den USA?,-0.49628448486328125,
245.0,Bist du Ausländer?,Ти іноземець?,Bist du ein Ausländer?,0.5985375046730042,
246.0,Bist du bei mir?,Ти зі мною?,Kommst du mit?,-1.1817612648010254,
247.0,Bist du bereit anzufangen?,Готовий починати?,Bist du bereit?,-0.2931164503097534,
248.0,"Bist du bereit, aus dem Haus zu gehen?",Готовий іти надвір?,Bist du bereit zu gehen?,-0.24497179687023163,
249.0,Bist du Deutscher?,Ти німець?,Bist du Deutscher?,0.9031602144241333,
250.0,Bist du dick?,Ти гладкий?,Bist du glatt?,-0.3842538595199585,
251.0,Bist du eine gute Tänzerin?,Ти добре танцюєш?,Tanzst du gut?,-0.5578928589820862,
252.0,Bist du ein Einzelkind?,Ти єдина дитина?,Bist du das einzige Kind?,0.12550793588161469,
253.0,Bist du ein guter Tänzer?,Ти добре танцюєш?,Tanzst du gut?,-0.44448620080947876,
254.0,Bist du ein Mensch?,Ти людина?,Bist du ein Mensch?,0.8991224765777588,
255.0,Bist du ein Vampir?,Ти вампір?,Bist du Vampir?,0.039267152547836304,
256.0,Bist du Engländer?,Ти англієць?,Bist du Engländer?,0.9104500412940979,
257.0,Bist du enttäuscht?,Ти розчарована?,Bist du enttäuscht?,0.9090379476547241,
258.0,Bist du es?,Це ти?,Bist du das?,0.25280338525772095,
259.0,Bist du fertig?,Ти готова?,Bist du bereit?,-0.7157419919967651,
260.0,Bist du fertig?,Ти готовий?,Bist du bereit?,-0.7157419919967651,
261.0,Bist du gesund?,Ти здорова?,Bist du gesund?,0.9098852872848511,
262.0,Bist du gesund?,Ти здоровий?,Bist du gesund?,0.9098852872848511,
263.0,"Bist du gewarnt, bist du gewappnet.",Попереджений - означає озброєнний.,Warnend bedeutet bewaffnet.,-1.1778104305267334,
264.0,Bist du heute beschäftigt?,Ти сьогодні зайнятий?,Hast du heute zu tun?,-0.4313049912452698,
265.0,Bist du heute in die Schule gegangen?,Ти сьогодні ходив до школи?,Warst du heute zur Schule gegangen?,0.08199404180049896,
266.0,Bist du heute in die Schule gegangen?,Ти сьогодні ходила до школи?,Warst du heute zur Schule gegangen?,0.08199404180049896,
267.0,Bist du hier beschäftigt?,Ти тут зайнята?,Bist du hier beschäftigt?,0.9140682816505432,
268.0,Bist du hier beschäftigt?,Ти тут зайнятий?,Bist du hier beschäftigt?,0.9140682816505432,
269.0,Bist du in Australien?,Ти в Австралії?,Bist du in Australien?,0.9062663912773132,
270.0,Bist du in Tom verliebt?,Ти закохана у Тома?,Hast du Tom geliebt?,-0.40198636054992676,
271.0,Bist du in Tom verliebt?,Ти закоханий у Тома?,Bist du in Tom verliebt?,0.9156519174575806,
272.0,Bist du Japaner?,Ти японець?,Bist du ein Japaner?,0.5245323181152344,
273.0,Bist du jemals in Afrika gewesen?,Ти колись був у Африці?,Warst du jemals in Afrika?,-0.3320257067680359,
274.0,Bist du jemals in Afrika gewesen?,Ти колись була в Африці?,Warst du jemals in Afrika?,-0.3320257067680359,
275.0,Bist du Marys Ehemann?,Ти чоловік Мері?,Bist du Marys Mann?,-0.37495923042297363,
276.0,Bist du mit deinen Hausaufgaben fertig?,Ти вже доробив домашнє завдання?,Hast du schon deine Hausaufgaben gemacht?,-0.1844286471605301,
277.0,Bist du mit den Hausaufgaben fertig?,Ти вже доробив домашнє завдання?,Hast du schon deine Hausaufgaben gemacht?,-0.2014514058828354,
278.0,Bist du nervös?,Ти нервуєш?,Bist du nervös?,0.9095565676689148,
279.0,Bist du nicht Toms Mutter?,Хіба ти не мама Тома?,Bist du nicht Toms Mutter?,0.9025615453720093,
280.0,Bist du nicht Tom?,Хіба ти не Том?,Du bist nicht Tom?,0.9103180170059204,
281.0,Bist du noch immer müde?,Ти все ще сонний?,Bist du immer noch schläfrig?,-0.38134533166885376,
282.0,Bist du noch verheiratet?,Ти все ще одружена?,Bist du noch verheiratet?,0.9238605499267578,
283.0,Bist du schlechter Laune?,В тебе поганий настрій?,Hast du eine schlechte Laune?,0.08316196501255035,
284.0,Bist du schon mal in Indien gewesen?,Ти колись бував у Індії?,Warst du jemals in Indien?,-0.8082323670387268,
285.0,Bist du sicher?,Ти впевнений?,Bist du sicher?,0.913338840007782,
286.0,Bist du stolz auf deinen Vater?,Ти пишаєшся своїм батьком?,Bist du stolz auf deinen Vater?,0.8969242572784424,
287.0,Bist du traurig?,Тобі сумно?,Bist du traurig?,0.91584312915802,
288.0,Bist du übelgelaunt?,В тебе поганий настрій?,Hast du eine schlechte Laune?,-0.9291963577270508,
289.0,Bist du über achtzehn?,Ти старше 18?,Bist du älter als 18?,-0.6063383221626282,
290.0,Bist du Übersetzer?,Ти перекладач?,Bist du Dolmetscher?,-0.7906227111816406,
291.0,Bist du Vegetarierin?,Ти вегетаріанка?,Bist du Vegetarierin?,0.9191000461578369,
292.0,Bist du verheiratet?,Ти заміжня?,Bist du verheiratet?,0.9266983866691589,
293.0,Bist du zehn Jahre alt?,Тобі десять років?,Bist du 10 Jahre alt?,0.15097008645534515,
294.0,Bist du zurückgekommen?,Ти повернувся?,Bist du wieder da?,-0.5473479628562927,
295.0,Bitte beantworten Sie diese Frage für mich.,"Будь-ласка, дай мені відповідь на це запитання.",Bitte gib mir die Antwort auf diese Frage.,-0.6489125490188599,
296.0,Bitte beeil dich!,"Будь ласка, поквапся!","Bitte, beeil dich!",0.9039661288261414,
297.0,Bitte bleiben Sie sitzen.,"Будь ласка, не вставайте.","Bitte, wach nicht auf.",-0.8922445774078369,
298.0,Bitte entferne den Kommentar.,"Видалiть коментар, будь-ласка.","Den Kommentar ausholen, bitte.",0.09574513137340546,
299.0,"Bitte entschuldigen Sie, aber ich glaube das ist mein Platz.","Перепрошую, але я думаю, що це моє місце.","Tut mir leid, aber ich glaube, das ist mein Platz.",0.04805867373943329,
300.0,Bitte entschuldigen Sie mein Zuspätkommen.,Перепрошую за запізнення.,Entschuldigen Sie die Verspätung.,-0.31877899169921875,
301.0,Bitte erlauben Sie mir zu gehen.,"Будь ласка, дозвольте мені піти.","Bitte, lassen Sie mich gehen.",-0.3804779648780823,
302.0,Bitte komm in drei Tagen.,"Будь ласка, прийди за три дні.","Bitte, kommen Sie in drei Tagen her.",0.1362694799900055,
303.0,"Bitte, mach dir keine Sorgen.","Не турбуйся, будь ласка.","Keine Sorge, bitte.",-0.4961177110671997,
304.0,Bitte nehmen Sie Platz!,"Сідайте, будь ласка!","Setzen Sie sich, bitte!",-0.7945661544799805,
305.0,Bitte nicht im Klassenzimmer rennen.,"Будь-ласка, не бігай у класі.",Bitte geh nicht in die Klasse.,-0.3897634744644165,
306.0,Bitte öffnen Sie ihre Tasche.,"Відкрийте сумку, будь ласка.","Öffnen Sie die Tasche, bitte.",0.33835405111312866,
307.0,Bitte öffnen Sie seine Tasche.,"Відкрийте сумку, будь ласка.","Öffnen Sie die Tasche, bitte.",0.24500924348831177,
308.0,Bitte rufen Sie ihn an.,"Зателефонуйте йому, будь ласка.",Rufen Sie ihn bitte an.,0.9282612800598145,
309.0,Bitte schön.,Нема за що.,Nichts.,-1.3713123798370361,
310.0,Bitte sende es mir per Fax.,"Відправ мені це факсом, будь ласка.",Senden Sie mir bitte das Fax.,0.22972875833511353,
311.0,Bitte singe ein Lied.,"Заспівай пісню, будь ласка.","Sing das Lied, bitte.",0.08273063600063324,
312.0,Bitte sprechen Sie langsamer.,"Будь ласка, розмовляйте повільніше.",Sprecht bitte langsamer.,0.07322679460048676,
313.0,Bitte stehen Sie nicht auf.,"Не вставайте, будь ласка.","Nicht aufstehen, bitte.",-0.18901441991329193,
314.0,Bitte steh nicht auf.,"Не вставай, будь ласка.","Steh nicht auf, bitte.",0.8972725868225098,
315.0,Bitte steht nicht auf.,"Не вставайте, будь ласка.","Nicht aufstehen, bitte.",0.27925288677215576,
316.0,"Bitte Tom, nicht auf mich zu warten!",Попроси Тома не чекати на мене.,"Frag Tom, ob er nicht auf mich wartet.",-0.2104165405035019,
317.0,"Bitte, trink etwas!",Випийте щось.,Trinken Sie etwas.,-0.5422886610031128,
318.0,Bitte übersetzen Sie diesen japanischen Text ins Französische.,"Перекладіть цей японський текст на французьку, будь ласка.","Übersetzen Sie den japanischen Text ins Französische, bitte.",0.46902334690093994,
319.0,Bitte verbinden Sie mich mit Herrn Smith.,"З'єднайте мене з паном Смітом, будь ласка.",Verbinden Sie mich bitte mit Mr. Smith.,0.45584118366241455,
320.0,Bitte weine nicht.,"Не плач, будь ласка.","Weine nicht, bitte.",0.9161330461502075,
321.0,Bitte zeigen Sie mir diese Fotos.,"Будьте ласкаві, покажіть мені ці фотографії.","Bitte, zeigen Sie mir diese Bilder.",-0.03962276875972748,
322.0,Bleibt Tom zum Abendessen?,Том залишиться на вечерю?,Wird Tom zum Abendessen bleiben?,0.4019703269004822,
323.0,Blinde glauben nicht an die Liebe auf den ersten Blick.,Сліпі не вірять у кохання з першого погляду.,Blinde glauben nicht an Liebe auf den ersten Blick.,0.8982645869255066,
324.0,"Bob aß die Schnecke, dann erbrach er sich.","Боб з'їв равлика, потім виригав.",Bob aß eine Muschel und holte sie aus.,-0.5419219136238098,
325.0,Bob hat mir geholfen.,Боб мені допоміг.,Bob hat mir geholfen.,0.9146221876144409,
326.0,Bob war sehr glücklich.,Боб був дуже щасливий.,Bob war sehr glücklich.,0.9074653387069702,
327.0,Boston ist langweilig.,Бостон нудний.,Boston ist langweilig.,0.923925518989563,
328.0,Boston verändert sich.,Бостон змінюється.,Boston verändert sich.,0.921698808670044,
329.0,Bratislava ist die Hauptstadt der Slowakei.,Братислава - столиця Словаччини.,Preßburg - Hauptstadt der Slowakei,0.32757705450057983,
330.0,Brauchen Sie einen Krankenwagen?,Вам потрібна швидка допомога?,Brauchen Sie Verstärkung?,-0.40482306480407715,
331.0,Brauchen Sie Geld?,Вам потрібні гроші?,Brauchen Sie Geld?,0.9174885749816895,
332.0,Brauchen wir einen Plan B?,"Ми потребуємо плану ""Б""?",Brauchen wir einen B-Plan?,0.8844431638717651,
333.0,Brauchen wir einen Plan B?,"Нам потрібний план ""Б""?",Brauchen wir einen B-Plan?,0.8844431638717651,
334.0,Brauchst du meine Hilfe noch?,Тобі все ще потрібна моя допомога?,Brauchst du noch meine Hilfe?,0.902174711227417,
335.0,Brauchst du unsere Hilfe?,Тобі потрібна наша допомога?,Brauchst du unsere Hilfe?,0.9080280065536499,
336.0,Brauchst du viel Geld?,Тобі потрібно багато грошей?,Brauchst du viel Geld?,0.9076194167137146,
337.0,Braucht ihr einen Krankenwagen?,Вам потрібна швидка?,Brauchen Sie einen Krankenwagen?,0.2208901047706604,
338.0,Braucht ihr einen Krankenwagen?,Вам потрібна швидка допомога?,Brauchen Sie Verstärkung?,-0.8171912431716919,
339.0,Brian hat einen Lippenstift für Kate gekauft.,Брайан купив для Кейт губну помаду.,Brian hat für Kate eine Lippenstifte gekauft.,0.8068421483039856,
340.0,Brich niemals dein Versprechen!,Ніколи не порушуй своєї обіцянки.,Gib dein Versprechen nie auf.,0.00219784677028656,
341.0,Bringen Sie mir etwas kaltes Wasser.,Принесіть мені холодної води.,Bringt mir kaltes Wasser.,-0.15334738790988922,
342.0,Bring es mir.,Принеси його мені.,Bring ihn zu mir.,-0.6387364268302917,
343.0,"Bring mir etwas Wasser, aber schnell!","Принеси мені води, швиденько.",Hol mir schnell das Wasser.,-0.5789568424224854,
344.0,Bronislaw ist 18 Jahre alt.,Броніславу вісімнадцять років.,Bronnigus war achtzehn Jahre alt.,-0.5343684554100037,
345.0,"Brustschwimmen kann ich, aber Rückenschwimmen nicht.","Я можу плисти на животі, але не на спині.","Ich kann auf dem Bauch schwimmen, aber nicht auf dem Rücken.",-0.012521922588348389,
346.0,Bulgarien ist ein wunderschönes Land.,Болгарія - прекрасна країна.,Bulgarien ist ein wunderschönes Land.,0.9184083342552185,
347.0,Butter macht man aus Milch.,Масло роблять з молока.,Olivenöl wird aus Milch hergestellt.,-0.9409656524658203,
348.0,Butter wird aus Milch gemacht.,Масло роблять з молока.,Olivenöl wird aus Milch hergestellt.,-0.509793221950531,
349.0,Carol hat Kopfweh.,У Керол болить голова.,Carol hat Kopfschmerzen.,0.2667335271835327,
350.0,Caty ist lesbisch.,Кеті лесбіянка.,Cathy ist eine Lesbierin.,-0.8036665916442871,
351.0,Champagner wird aus Frankreich importiert.,Шампанське імпортують із Франції.,Champagner wird aus Frankreich importiert.,0.9112916588783264,
352.0,China ist das größste Land Asiens.,Китай - найбільша країна в Азії.,China ist das größte Land in Asien.,0.3603697419166565,
353.0,China ist das größte Land in Asien.,Китай - найбільша країна в Азії.,China ist das größte Land in Asien.,0.9141300916671753,
354.0,China ist ein großes Land.,Китай - велика країна.,China ist ein großes Land.,0.9120115637779236,
355.0,China ist größer als Japan.,"Китай більший, ніж Японія.",China ist größer als Japan.,0.9066533446311951,
356.0,Christiano Ronaldo ist ein Fußballspieler.,Кріштіану Роналду - футболіст.,Krystyna Ronaldo ist Footballspieler.,-0.78192138671875,
357.0,Christoph Kolumbus entdeckte Amerika im Jahre 1492.,Христофор Колумб відкрив Америку в 1492 році.,Christoph Kolumbus entdeckte 1492 Amerika.,0.362271785736084,
358.0,"Christoph Kolumbus fand einst den Heiligen Gral, warf ihn aber weg, weil ihm die Farbe nicht gefiel.","Христофор Колумб якось знайшов Святий Грааль, але викинув його, бо йому не сподобався колір.","Christoph Kolumbus fand den heiligen Gral, warf ihn weg, weil ihm die Farbe nicht gefiel.",0.6137760281562805,
359.0,Computer machen die Leute dumm.,Комп'ютери роблять із людей ідіотів.,Computer machen Idioten.,-0.7995116114616394,
360.0,Computer machen Menschen dumm.,Комп'ютери роблять із людей ідіотів.,Computer machen Idioten.,-0.6823183298110962,
361.0,Coolidge hat die Wahl im Jahre 1924 spielend gewonnen.,Кулідж легко переміг на виборах у 1924 році.,Der Kugelhagel gewann 1924 bei seinen Wahlen leicht.,-0.38126999139785767,
362.0,Cristiano Ronaldo ist ein Fußballspieler.,Кріштіану Роналду - футболіст.,Krystyna Ronaldo ist Footballspieler.,-0.6910474300384521,
363.0,Cristiano Ronaldo ist Fußballer.,Кріштіану Роналду - футболіст.,Krystyna Ronaldo ist Footballspieler.,-0.4598764181137085,
364.0,"Da du gekocht hast, kümmere ich mich um den Abwasch.","Оскільки ти готувала, я помию посуд.","Da du gekocht hast, putze ich das Geschirr.",-0.1876695305109024,
365.0,Da fehlt eine Seite.,Не вистачає сторінки.,Die Seite ist unvollständig.,-0.9759255647659302,
366.0,Dafür bin ich zu alt.,Я для цього занадто стара.,Ich bin zu alt dafür.,0.9134277701377869,
367.0,Da hängt ein Schatten über mir.,Наді мною нависла тінь.,Mir stand ein Schatten bevor.,-0.6953209638595581,
368.0,Da ist eine Katze auf dem Stuhl.,На стільці є кіт.,Es gibt eine Katze auf dem Stuhl.,0.3800903558731079,
369.0,Da ist eine weiße Taube auf dem Dach.,На даху сидить білий голуб.,Auf dem Dach sitzt eine weiße Taube.,0.4287884831428528,
370.0,Da ist ein Hund an der Tür.,Біля дверей стоїть пес.,An der Tür steht ein Hund.,0.38368600606918335,
371.0,Damals waren wir jünger.,Тоді ми були молодші.,Damals waren wir jünger.,0.9106051921844482,
372.0,Damals war Mary Toms Freundin.,Мері тоді була дівчиною Тома.,Mary war damals Toms Mädchen.,-0.41287147998809814,
373.0,Damals war Tom mein einziger Freund.,На той час Том був моїм єдиним другом.,Tom war damals mein einziger Freund.,0.9073281288146973,
374.0,Damit hat Tom nicht gerechnet.,Том цього не очікував.,Tom hat das nicht erwartet.,-0.5320494771003723,
375.0,Daniela hat mich zu Hause angerufen.,Даніела зателефонувала мені додому.,Daniela rief mich an.,-1.023158073425293,
376.0,Dank dir habe ich meinen Appetit verloren.,Через тебе я втратив апетит.,Wegen dir habe ich keinen Appetit mehr.,-0.3537559509277344,
377.0,„Danke!“ – „Bitte!“,"Дякую. - ""Прошу"".",Danke.,-0.876530647277832,
378.0,"Danke, das ist alles.","Дякую, це все.","Danke, das war's.",-0.6430420279502869,
379.0,"Danke, dass Sie mich eingeladen haben.","Дякую, що запросили мене!","Vielen Dank, daß Ihr mich eingeladen habt!",-0.04994557797908783,
380.0,Danke für das Kompliment!,Дякую за комплімент.,Danke für das Kompliment.,0.7911187410354614,
381.0,Danke für das wunderbare Essen.,Дякую за чудову їжу.,Vielen Dank für das wunderschöne Essen.,0.07177047431468964,
382.0,Danke für deine Antwort.,Дякую за відповідь.,Danke für die Antwort.,-0.04256461560726166,
383.0,Danke für deine Erklärung.,Дякую за пояснення.,Danke für die Erklärung.,0.2682836651802063,
384.0,Danke für deine freundlichen Worte!,Дякую за добрі слова.,Vielen Dank für die freundlichen Worte.,0.06839419901371002,
385.0,Danke für deine Geduld!,Дякую тобі за терпіння.,Vielen Dank für Ihre Geduld.,-0.5377511382102966,
386.0,Danke für dein Geschenk.,Дякую тобі за подарунок.,Danke für das Geschenk.,0.26652082800865173,
387.0,Danke für die Blumen!,Дякую за квіти.,Danke für die Blumen.,0.7841922044754028,
388.0,"Danke für die Hilfe. ""Keine Ursache.""",«Дякую за допомогу.» «Нема за що.»,„ Vielen Dank für die Hilfe. “,-0.4008758068084717,
389.0,Danke für die Pizza!,Дякуємо за піцу.,Danke für die Pizza.,0.774344801902771,
390.0,Danke für die Praline. Sie war köstlich.,Дякую за шоколад. Він був смачним.,"Danke für die Schokolade, er war köstlich.",0.2425801157951355,
391.0,Danke für Ihre freundlichen Worte!,Дякую за добрі слова.,Vielen Dank für die freundlichen Worte.,-0.05106540024280548,
392.0,Danke für Ihre Geduld.,Дякуємо вам за терпіння.,Vielen Dank für Ihre Geduld.,0.4290667176246643,
393.0,Danke fürs Schreiben.,"Дякую за те, що написали.","Danke für das, was ich geschrieben habe.",-0.4333089590072632,
394.0,„Danke!“ – „Keine Ursache!“,"Дякую. - ""Прошу"".",Danke.,-0.9224033355712891,
395.0,„Danke!“ – „Keine Ursache!“,"Спасибі. - ""Нема за що"".","- ""Nichts für was.""",-1.3082780838012695,
396.0,„Danke!“ – „Nichts zu danken!“,"Спасибі. - ""Нема за що"".","- ""Nichts für was.""",-1.0911720991134644,
397.0,Danke schön.,Щиро дякую!,Vielen Dank!,-1.0676984786987305,
398.0,Danke trotzdem.,"У будь якому разі, дякую.","Auf jeden Fall, danke.",-0.9893816709518433,
399.0,Danke!,Дякуємо!,Danke!,0.9173004627227783,
400.0,Danke!,Дякую!,Danke!,0.9173004627227783,
401.0,Danke.,Дякую!,Danke!,0.754255473613739,
402.0,Danke.,Дякую.,Danke.,0.8989375233650208,
403.0,Dank seiner Mutter wurde er berühmt.,Він став відомим завдяки матері.,Er wurde durch seine Mutter berühmt.,0.16685448586940765,
404.0,Dann eilte sie nach Hause.,А потім вона поквапилася додому.,Dann beeilte sie sich nach Hause.,0.07257793843746185,
405.0,Dann fangen wir an.,"Ну, тоді розпочнімо.",Dann fangen wir an.,0.9221151471138,
406.0,Dann haben wir ein Problem...,Тоді ми маємо проблему...,Dann haben wir ein Problem.,0.8571841716766357,
407.0,Dann komme ich später wieder.,Тоді я повернуся пізніше.,Dann komme ich später wieder.,0.9226971864700317,
408.0,Dann komme ich später wieder.,Тоді я прийду пізніше.,Dann komme ich später.,0.22490793466567993,
409.0,Dann legte er sich auf das gleiche Bett.,Він тоді лежав на тому ж ліжку.,Er lag auf demselben Bett.,-0.6534556150436401,
410.0,Dann zögern Sie nicht.,Тож не вагайтеся.,Man sollte also nicht zögern.,-0.049987658858299255,
411.0,Danzig ist die größte Stadt im Norden Polens.,Гданськ - найбільше місто на півночі Польщі.,Dansk ist die größte Stadt im Norden Polens.,0.18205046653747559,
412.0,Darf ich deinen Kuli benutzen?,Можна скористатися твоєю ручкою?,Darf ich deinen Stift benutzen?,0.38716810941696167,
413.0,Darf ich den Fernseher ausschalten?,Можна мені вимкнути телевізор?,Darf ich den Fernseher ausschalten?,0.9123495817184448,
414.0,Darf ich den Fernseher ausschalten?,Можна я вимкну телевізор?,Darf ich den Fernseher ausschalten?,0.9123495817184448,
415.0,Darf ich dich Tom nennen?,Можна я буду називати тебе Томом?,Darf ich dich Tom nennen?,0.9197102785110474,
416.0,Darf ich dich unterbrechen?,Можна тебе перебити?,Darf ich dich umlegen?,-0.12290515005588531,
417.0,Darf ich dir jetzt etwas zu trinken anbieten?,Я можу тобі запропонувати щось зараз випити?,Kann ich dir jetzt einen Drink anbieten?,-0.2859485149383545,
418.0,Darf ich es noch einmal machen?,Можу я це зробити ще раз?,Kann ich das nochmal machen?,0.09801118075847626,
419.0,Darf ich etwas sagen?,Можна мені щось сказати?,Kann ich was sagen?,-0.11479465663433075,
420.0,Darf ich euer Telefon benutzen?,Можна мені скористатися вашим телефоном?,Darf ich Ihr Telefon benutzen?,0.34453558921813965,
421.0,"Darf ich fragen, wie alt du bist?","Можна мені запитати, скільки тобі років?","Darf ich fragen, wie alt du bist?",0.9078799486160278,
422.0,"Darf ich fragen, wie alt du bist?","Можна поцікавитися, скільки тобі років?","Darf ich fragen, wie alt du bist?",0.9078799486160278,
423.0,"Darf ich fragen, wie alt Sie sind?","Можу я запитати, скільки вам років?","Darf ich fragen, wie alt sind Sie?",0.9094469547271729,
424.0,Darf ich hier rauchen?,Чи можу я тут курити?,Kann ich hier rauchen?,0.5237956047058105,
425.0,"Darf ich Ihnen helfen, gnädige Frau?","Чи можу вам чимось допомогти, пані?","Kann ich Ihnen helfen, Ma'am?",-0.23935677111148834,
426.0,Darf ich mal deinen Bart anfassen?,Можна мені доторктнутися до твоєї бороди?,Darf ich deinen Bart berühren?,-0.1561657041311264,
427.0,Darf ich mich neben euch setzen?,Можна сісти поруч із вами?,Darf ich mich neben Sie setzen?,0.34046369791030884,
428.0,Darf ich mich vorstellen? Mein Name ist Tom Frisch.,Можна представитися? Мене звуть Том Фріш.,Mein Name ist Tom Freesh.,-0.7948616147041321,
429.0,Darf ich mich vorstellen?,Можна мені представитися?,Darf ich mich vorstellen?,0.9193905591964722,
430.0,Darf ich mit ihr sprechen?,Чи можу я поговорити з нею?,Kann ich mit ihr reden?,-0.493205726146698,
431.0,Darf ich nach Hause gehen?,Можна мені піти додому?,Darf ich nach Hause?,0.27039676904678345,
432.0,Darf ich Sie unterbrechen?,Можна вас перебити?,Kann ich Sie unterbrechen?,0.37918418645858765,
433.0,Darum musst du dir keine Sorgen machen.,Тобі не треба хвилюватися за це.,Du brauchst dir keine Sorgen zu machen.,-0.17348052561283112,
434.0,Darum sind wir hier.,Ось чому ми тут.,Deswegen sind wir hier.,-0.4509861469268799,
435.0,Darum werde ich mich morgen kümmern.,Я займуся цим завтра.,Ich mache das morgen.,-0.6916009187698364,
436.0,Darwin hat alles verändert.,Дарвін все змінив.,Darwin hat alles verändert.,0.9172638654708862,
437.0,"Das Adjektiv endet auf ""a"".","Прикментник закінчується на ""а"".","Das Zeichen endet mit ""a"".",-0.1963866800069809,
438.0,Das also ist Tatoeba.,"Отже, це Татоеба.",Das ist also Dadsba.,-0.16884081065654755,
439.0,Das ängstigt mich überhaupt nicht.,Я ані трохи цього не боюся.,Ich habe keine Angst davor.,-0.7241430878639221,
440.0,Das Apartment war mit Möbeln im viktorianischen Stil eingerichtet.,Квартира була мебльована у вікторіанському стилі.,Die Wohnung war im viktorianischen Stil metabolisiert.,-0.6389133930206299,
441.0,Das Auto blieb im Schlamm stecken.,Машина застрягла в багні.,Der Wagen steckt im Schlamm fest.,-0.3906640410423279,
442.0,Das Auto fuhr gegen einen Telegrafenmast.,Автівка зіткнулась із телеграфним стовпом.,Mit der Telegrafensäule kam es zu Unfällen.,-0.20298446714878082,
443.0,Das Auto ist gelb.,Машина жовта.,Die Maschine ist gelb.,-0.1795068234205246,
444.0,Das Auto ist in der Garage.,Машина в гаражі.,Der Wagen ist in der Garage.,-0.1939743310213089,
445.0,Das Auto springt nicht an.,Автомобіль не заводиться.,Das Auto läuft nicht.,-0.5436847805976868,
446.0,Das Auto stieß mit dem LKW zusammen.,Автомобіль врізався у вантажівку.,Das Auto ist in den Truck gefahren.,-0.8964011669158936,
447.0,Das Baby läuft noch nicht.,Дитина ще не ходить.,Das Kind geht noch nicht.,-0.43103063106536865,
448.0,Das Baby schläft gerade.,Немовля спить.,Das Baby schläft.,0.039050787687301636,
449.0,Das Baby schlief in der Wiege ein.,Дитина заснула в колисці.,Das Baby schlief in der Wiege ein.,0.9177381992340088,
450.0,Das Baby sucht seine Mutter.,Дитя шукає маму.,Das Baby sucht Mutter.,0.08791254460811615,
451.0,Das Baseballspiel endete unentschieden.,Бейсбольний матч закінчився з нічийним результатом.,Das Baseballspiel endete mit einem nächtlichen Ergebnis.,-0.20918665826320648,
452.0,Das beste Buch über das Leben ist das Leben selbst.,Найкраща книжка про життя - власне життя.,Das beste Buch über das Leben ist sein eigenes.,0.4571877121925354,
453.0,Das Bett kostet 120 Euro!,Ліжко коштує 120 євро!,Das Bett kostet 120 Euro!,0.9202653169631958,
454.0,Das beweist meine Theorie.,Це доводить мою теорію.,Das beweist meine Theorie.,0.9162850975990295,
455.0,Das Bier ist sehr kalt.,Пиво дуже холодне.,Das Bier ist sehr kalt.,0.9151483774185181,
456.0,Das Bild erinnerte mich an Schottland.,Картина нагадувала менi Шотландiю.,Das Bild erinnerte mich an Schottland.,0.9174720048904419,
457.0,"Das brauchst du mir nicht zu sagen, du Idiot.","Можеш не говорити мені цього, ідіоте.","Du kannst mir das nicht sagen, du Idiot.",0.017111673951148987,
458.0,Das Brot ist frisch.,Хліб свіжий.,Das Brot ist frisch.,0.9207243919372559,
