,EN,UK,TRANSLATION
238,The hell I do.,З-під хвоста в кобили.,Чорт забирай.
239,"Oh, fοr heaven's sake.",Калібан! Та бога ради...,Заради бога.
240,I do now.,Теперь знаю.,Теперь есть.
241,"Creates a new key pair (public and private) and allows to send the public part to a certification authority (ca;) for signing. The resulting certificate is then sent back to you, or stored in an LDAP server for you to download into your local keybox, where you can use it to sign and decrypt mails.","Створює нову пару ключів (відкритого і закритого) і надає змогу надіслати відкриту частину до служби сертифікації (ca;) для підписування. Отриманий сертифікат буде повернуто вам або збережено на сервері LDAP для наступного звантаження до локального сховища сертифікатів, звідки ви зможете скористатися ним для підписування і розшифрування повідомлень електронної пошти.","Створює нову пару ключів (відкриту і приватну) і надає вам змогу надсилати публічну частину до служби сертифікації (ca;) для підписування. Отриманий сертифікат буде надіслано вам або збережено на сервері LDAP для вашого звантаження до локального сховища ключів, де ви зможете скористатися ним для підписування і розшифрування листів."
242,- Am I cοnsidered the enemy?,- А мене... теж вважають за ворога?,- Я стою поруч з ворогом?
243,Ready?,Готові?,Готовий?
244,Pan and Zoom.,Панорамування і зміна масштабу.,Панорамування і масштабування.
245,Open camera dialog at< p ath >,Відкрити вікно фотоапарата у < path >,Відкрити вікно фотоапарата у < path >
246,Prison?,Тюрьма. Да.,В'язниця?
247,Let's get going then.,Тоді давай збиратися.,Тоді ходімо.
248,What do you mean there is more than one application per & MIME; type? Why is this necessary?,"Що означає те, що до одного типу & MIME; прив’ язано декілька програм? Чому у цьому виникла потреба?","Що означає "" існує декілька програм для кожного типу & MIME;? Чому це потрібно?"
249,"If you relax, it will enable me to do anything I please","У дивний світ зі мною ти майни - Туди, де панують сни.","Якщо ти розслабишся, це дасть мені змогу зробити все, що я захочу."
250,He knows!,Він знає.,Він знає!
251,It's David.,Це Девід.,Это Дэвид.
252,"Go, find the cure!",Знайди зілля! Врятуй себе.,Найди лекарство!
253,"Bergin and water.""",барбону з водою.',"Бергін і вода."""
254,Okay?,Розумієш?,Хорошо?
255,"Most of the time, & knode; determines the correct MIME type for the attachment; if & knode; detects it incorrectly, you can correct the MIME type manually.","У більшості випадків & knode; правильно визначатиме тип MIME долучення. Якщо & knode; визначить цей тип неправильно, ви зможете вказати тип MIME вручну.","У більшості випадків & knode; визначає тип MIME долучення. Якщо & knode; виявить його неправильно, ви можете виправити тип MIME вручну."
256,"Yeah, I'm sure.","Так, насправді.","Да, я уверен."
257,- Neither.,"- Ні те, ні інше.","- Ни то, ни другое."
258,"Many are noting a similarity to the Westchester incident over a year ago... that left over 600 injured... and took the lives of seven mutants, including several of the X-Men.","Ця ситуація схожа на ту, що сталася понад рік тому у Вестчестері, залишивши по собі 600 поранених і забравши життя 7 мутантів, зокрема кількох людей Ікс.","Багато хто помітив подібність до інциденту з Вестчестером більше року тому... який залишив по собі 600 поранених... і забрав життя семи мутантів, у тому числі кількох людей Ікс."
259,I will carry him if I must.,"- ... у нього! - Філі. Я понесу його, якщо треба буде!","Я понесу його, якщо треба."
260,This is a fight they cannot win.,"Це битва, в якій їм не перемогти.","Це битва, яку вони не можуть виграти."
261,Graphics,Графіка,Графіка
262,I can't.,Не можу.,Я не могу.
263,In the woods.,У лісі.,В лесу.
264,- That's it.,"Давай, тужься.",- Це все.
265,"Look,um,after I drop him off at his dad's, why don't I come back and show my appreciation for those earrings?","подумай, після того як я покину його, в його тата чому б мені не повернутися і не виказати мою подяку за ті сережки?","Слушай, после того, как я заброшу его к отцу, почему бы мне не вернуться и не показать свою благодарность за эти сережки?"
266,IP Messenger for the GNOME2,IP Месенджер для GNOME2,IP- клієнт для GNOME2
267,Then we're dead.,Якщо ви помиляєтесь? Тоді ми всі мертві.,Тоді ми мертві.
268,Family comes first?,Сім'я на першому місці?,Сім'я - на першому місці?
269,"Yeah,so?",ну та й що?,"так, і що?"
270,Sweet dreams.,Солодких снів.,Солодких снів.
271,Damn it.,Черт.,Черт.
272,"Uh, Jared Dunn's.",Джареда Данна.,Джареда Данна.
273,I'll lend you my notebook.,Я позичу тобі свою записну книжку.,Я позичу тобі свій записник.
274,Let's do it!,Успіхів!,Зробімо це!
275,Welcome to the Print Assistant. This assistant will help you with the printing of your photos. Click the'Next 'button to begin.,"Ласкаво просимо до Помічника друку. Цей помічник допоможе вам у процесі друку ваших фотографій. Натисніть кнопку « Далі », щоб розпочати цей процес.","Ласкаво просимо до Помічника друку. Цей помічник допоможе вам у друкуванні ваших фотографій. Натисніть кнопку "" Далі,"" щоб розпочати друк."
276,Not really.,не зовсім.,Не зовсім.
277,Thank you.,Дякую вам.,Дякую.
278,- [Gail] Hey.,- [Гейл] Привіт!,- Привет.
279,You begged the Deer God for him.,що Богоолень лише ваш!,Ты молил за него Богооленя.
280,Delimiter,Роздільник,Роздільник
281,"Specify the characteristics of alarm message windows: If checked, the window is a normal window with a title bar, which grabs keyboard input when it is displayed. If unchecked, the window does not interfere with your typing when it is displayed, but it has no title bar and cannot be moved or resized.","Вкажіть параметри вікна нагадування: Якщо позначено, вікно буде звичайним вікном із смужкою заголовка і після появи буде приймати дані, що вводяться з клавіатури. Якщо знято позначку, вікно не перешкоджатиме вашому друку на клавіатурі, але воно не матиме смужки заголовка і його буде неможливо пересувати та міняти його розмір. @ action: button","Вкажіть характеристики вікон повідомлень нагадування: якщо буде позначено цей пункт, вікно буде звичайним вікном з смужкою заголовка, за допомогою якої можна буде отримати дані з клавіатури під час показу. Якщо позначки поряд з пунктом не буде, вікно не буде перешкоджати вашому введенню під час показу, але у нього не буде смужки заголовка, його не можна буде пересувати або змінювати розмір вікна."
282,Of course not.,звісно ні.,"Звичайно, що ні."
283,You should come.,Приїжджай.,Тобі слід прийти.
284,I'm with him.,- Так. Я з тобою.,Я з ним.
285,Usage of FCNTL locking might cause system lockups when the mail spool file is on an NFS mounted device.,"Використання блокування FCNTL може призвести до зависання системи, якщо файл сховища пошти знаходиться на пристрої, змонтованому за допомогою NFS.","Використання блокування FCNTL може призвести до блокування системи, якщо файл сховища пошти знаходиться на змонтованому пристрої NFS."
286,I invested it.,Інвестував.,Я его инвестировала.
287,- Why did she leave?,- Але чому вона поїхала?,- Чому вона пішла?
288,"""Two households, both alike in dignity,","""Два доми, родовитістю рівні","""Два родини, однакової гідності,"
289,There are few who can.,Це мало хто зміг би.,Мало хто може.
290,I have never been more alone.,Я ще ніколи не був такий самотній.,Я ще ніколи не був такий самотній.
291,"This dialog will allow you to specify a PostgreSQL account that has the necessary permissions to access the Krecipes PostgreSQL database. This account may either be a PostgreSQL superuser or have the ability to both create new PostgreSQL users and databases. If no superuser or privileged account is given, the account'postgres' will be attempted, with no password. If this is insufficient for your PostgreSQL setup, you must select the appropriate option below to enter the information of a privileged PostgreSQL account.","За допомогою цього діалогового вікна ви можете вказати обліковий запис PostgreSQL, який має потрібні права доступу до бази даних PostgreSQL Krecipes. Цим обліковим записом може бути або обліковий запис суперкористувача PostgreSQL, або обліковий запис, користувач якого може створювати нових користувачів і бази даних PostgreSQL. Якщо не буде надано облікового запису суперкористувача або привілейованого облікового запису, буде зроблено спробу використати обліковий запис « postgres » без пароля. Якщо цього недостатньо для налаштування вашого PostgreSQL, вам слід вибрати нижче відповідний параметр, щоб ввести інформацію про привілейований обліковий запис PostgreSQL.","За допомогою цього діалогового вікна ви зможете вказати обліковий запис PostgreSQL, який має потрібні права доступу до бази даних PostgreSQL Krecipes. Цим обліковим записом може бути або суперкористувач PostgreSQL, або програма може створити нових користувачів PostgreSQL і бази даних. Якщо не буде вказано облікового запису суперкористувача або привілейованого облікового запису, буде зроблено спробу облікового запису "" postgres, без пароля. Якщо цього недостатньо для налаштування вашого PostgreSQL, вам слід обрати відповідний пункт, щоб ввести дані привілейованого облікового запису PostgreSQL."
292,And Dr. Yedlin is a world-class surgeon who's received numerous awards and fellowships.,Та Dr. Едлін. світового класу хірург який отримав численні нагороди і стипендії.,"І Dr. Едлін - всесвітньокласний хірург, який отримав численні нагороди і спілкування."
293,A lot of Chester's Millers made that happen.,Багато жителів Честер Міллу доклали до цього зусиль.,Багато Честерових Міллерів зробили це.
294,"Oh, charlie. Don't you think you need to slow down a bit?","оу Чарлі. ти не думаєш, що тобі треба трохи пригальмувати?",оу Чарлі. ти не думаєш що тобі треба трохи сповільнитися?
295,Let the Krauts cook their own goddamn food.,Нехай фріци готують свою чортову їжу.,Нехай фріці самі варять свою кляту їжу.
296,- This is no ordinary arrest.,- Це незвичайний арешт.,- Це не звичайний арешт.
297,Create directory in current panel.,Створити каталог в поточній панелі.,Створити каталог на поточній панелі.
298,What are you talking about?,Про що ти говориш?,О чем ты говоришь?
299,Size:,Розмір:,Розмір:
300,"This configuration dialog allows altering settings only for the selected window or application. Find the setting you want to affect, enable the setting using the checkbox, select in what way the setting should be affected and to which value.","За допомогою цього діалогового вікна налаштування можна змінити властивості тільки для вибраного вікна чи програми. Знайдіть властивість, яку потрібно змінити, активуйте її за допомогою прапорця, оберіть властивість вікна та її бажане значення.","За допомогою цього діалогового вікна налаштування можна змінити параметри лише для вибраного вікна або програми. Знайдіть параметр, який ви бажаєте змінити, позначте цей пункт, оберіть спосіб зміни параметрів і те, яке з них слід змінити."
301,"Dillon, better get on the radio.",Діллан. Виходь на зв'язок.,"Дiллoн, вiдпoвiдaйcя нa рaм."
302,Choose Chair as the role.,Оберіть у спадному списку ролі Головуючий.,Оберіть роль Крістя.
303,Damn.,Дідько.,Чорт.
304,This is a dummy setting for player setup.,Це тестовий параметр налаштування гравця.,Це набірне значення для налаштування гравця.
305,But if he's the fourth hand...,Але що як він четверта рука...,Але якщо він четверта рука...
306,You just can't see it.,Ти просто не можеш її бачити.,Ти просто не можеш цього бачити.
307,I'm free.,Я вільна.,Я вільна.
308,"First off, Monica, you're not fooling any of us for even a second with your dress-shitty- to-ease-the-pain routine.","По-перше, Моніко, цей твій лайновий прикид, який має полегшити нам біль, не працює.","По-перше, Моніко, ти не обдуриш жодного з нас хоча б на секунду своїм лайновим одягом."
309,"They're coming, Cage.","Вони вже близько, Кейдж.","Вони йдуть, Кейдж."
310,"Come on, let's get a couple more of these.","Пішли, йдемо ще дістанемо парочку.","Ну ж бо, давайте зробимо ще пару таких."
311,"Well, whatever it is your business does, I don't think it's going to interfere with my irrigation company here.","Неважливо, чим ти займаєшся, не думаю, що це нашкодить моїй зрошувальній компанії","Що б там не було, це не буде заважати моїй зрошувальній компанії."
312,"Mosche Frenkiel, the Jewish orphanage in Warsaw.",Я Моше Френкель. Представник жидівського сиротинця з Варшави.,"Мосче Френкель, єврейський притулок у Варшаві."
313,"Yeah, I remember.","Да, я помню.","Так, я пам'ятаю."
314,"Decreases the game speed by one unit, down to a minimum of 2 units (a fifth of normal speed). You can use the - key as a shortcut.","Зменшує швидкість гри на один пункт, аж до мінімального значення у 2 пункти (одна п’ ята звичайної швидкості). Клавіатурним скороченням цієї дії є клавіша -.","Зменшує швидкість гри на одну одиницю, аж до мінімального значення у 2 одиницях (п' яти звичайної швидкості). Клавіатурним скороченням є клавіша -."
315,You ready?,В тебе гарне тіло Енестейжа.,Готовий?
316,& Write Into All,Записати всі,& Записати всі
317,- Like my ride? - Um...,Як тобі мої колеса?,Как моя машина?
318,I don't wanna live in this world no more.,Я більше не хочу жити в цьому світі.,Я більше не хочу жити в цьому світі.
319,Take care of lil ass-kicker.,Позаботься о маленькой забияке.,Подбайте про крейсера.
320,"I mean, I guess, technically, I could have...","У принципі можна. Формально я міг би, але...","Я имею в виду, технически, я мог бы..."
321,Smartass.,Хитрий який.,Умник.
322,"Hey, no.",Ніхера...,"Гей, ні."
323,All my years no one's ever done anything like this for me.,Мені ніколи ніхто в житті не робив таких сюрпризів.,Все мои годы никто никогда не делал ничего подобного для меня.
324,"He's been working in the mining camps, trying to get his family back.",Він працював у гірському таборі. Він намагається повернути сім'ю.,"Він працює у шахтарських таборах, намагаючись повернути свою сім'ю."
325,"Ding, ding, ding!",Динь-динь-динь!,Динь-динь-динь!
326,I can drink a beer underwater.,Я можу пити пиво під водою.,Я можу пити пиво під водою.
327,"Frodo Baggins is my name, and this is Samwise Gamgee.",Мене звати Фродо Торбин. А це Семуайз Гамджі.,"Фродо Торбин - моє ім'я, а це Самуайзе Гамджі."
328,- How am I doing me first day?,- То як тобі мій перший день?,- Як я роблю свій перший день?
329,The White Wizard?,Білий Чарівник?,Білий Чарівник?
330,Cut: Edit Cut equivalent; cut the selection to the clipboard.,Вирізати: еквівалент пункту меню Правка Вирізати; вирізає виділений фрагмент до буфера обміну інформацією.,Вирізати: еквівалент пункту меню Правка Вирізати; вирізати вибране до буфера обміну інформацією.
331,"- Hey, hey.","- Тихіше, тихіше.","- Эй, эй."
332,Reminder for first recurrence only,Завчасне нагадування тільки для першого повторення@ option: check,Нагадування лише для першого повторення@ info: whatsthis
333,"Just mineral water, please.",Мінеральну воду. Лише мінеральну воду.,"Просто мінеральна вода, будь ласка."
334,- Yes. We have her cornered.,Ми загнали її в кут.,Ми її загнали у кут.
335,Just a dog,Такий собі...,Просто собака.
336,My DVD's broke.,Мій ДВД зломався.,Мій DVD зламався.
337,"I'll pay you the money you lost, okay?","Ну ж бо... Я поверну тобі гроші, щоб компенсувати втрати.","Я заплачу вам деньги, которые вы потеряли, хорошо?"
338,"Just so you don't think I'm a complete swine... if there's anything in Dark Windows you can use, it's all yours.","Щоб Ви не вважали мене повною свинею, ""Темні вікна"" можете використати, як вважаєте за потрібне. Вони Ваші.","Щоб ти не думав, що я повний свинь... якщо у Темних вікнах є щось, що ти можеш використати, то це все твоє."
339,Makes the dialog transient for an X app specified by winid,Робить вікно пов’ язаним з програмою X з вказаним winid,Робить вікно перехідним для програми X з вказаним winid
340,Be careful.,"Нехай йдуть, він поранений.",Будь осторожен.
341,gFTP Import plugin,Додаток імпорту з gFTPComment,Додаток імпорту gFTPComment
342,The raids are in the Haga basin.,Напади відбуваються в районі Наґи.,Напади знаходяться у басейні Гаги.
343,"Look, Curtis.","Поглянь, Кьортісе.","Слухай, Кьортісе."
344,And you must lay so very nice and still.,Мусиш лежати чемно і тихо.,А ти повинен лежати так мило і спокійно.
345,Encryption,Шифрування,Шифрування
346,This man page was prepared by Jan Schaumann jschauma@netmeister. org for the Missing Man Pages Project (http: / /www. netmeister. org/ misc/ m2p2/ index. html.,"Автором цієї сторінки довідника є Jan Schaumann jschauma@ netmeister. org, її було створено для Проекту відсутніх сторінок довідника (http: // www. netmeister. org/ misc/ m2p2/ index. html.",Цю сторінку довідника було підготовлено Jan Schaumann jschauma@ netmeister. org для проекту відсутніх сторінок man (http: // www. netmeister. org/ misc/ m2p2/ index. html.
347,"You're giving me what I want to know, whether you realize it or not.","Ти вже мені кажеш те, що я хочу дізнатись, розумієш ти це чи ні.","Ти даєш мені те, що я хочу знати, розумієш ти це чи ні."
348,I'll fucking kill ya.,"Я вас, сука, вб'ю.","Я тебе, курва, вб'ю."
349,"- No, it's not.",﻿Ні. не буде.,"- Ні, це не так."
350,"Yeah, but you don't want stock in our company.","Так, але ти не хочеш акції нашої компанії.","так, але ти не хочеш акції в нашій компанії."
351,I know you're miserable.,"Я знаю, що ти нужденний.","Я знаю, що ти нещасний."
352,Demultiplexer used for the file or stream,"Селектор, що використовуватиметься для файла або потоку","Демультиплексор, що використовується для файла або потоку"
353,"Mm, right.","Ну, ясно.","Мм, так."
354,Select the first of the two points of which you want to construct the midpoint...,"Виберіть першу з двох точок, для якої ви бажаєте побудувати середню точку...","Виберіть першу з двох точок, для яких ви бажаєте побудувати середню точку..."
355,"You take the ball, you jump up, and put it in the basket.","Береш м'яч, підстрибуєш і кладеш його в корзину.","Ви берете м'яч, підстрибуєте і кладете його в кошик."
356,I'm always here for you.,Я завжди готова тобі допомогти.,Я завжди тут для тебе.
357,I do love him.,Я кохаю його.,Я люблю его.
358,Identity,Профіль,Профіль
359,So that...,Щоб...,Так что...
360,- Mr. Frodo!,- Пане Фродо!,- Пане Фродо!
361,We do not sow.,Девіз: Ми не сіємо.,Ми не сіємо.
362,- Hi.,- Привіт.,- Привіт.
363,Copy to repository,Копіювати до сховища,Копіювати до сховища
364,"Listen, when she took Finch, Root killed a former Intelligence operative named Alicia Corwin.","Коли вона викрала Фінча, вона вбила колишнього співробітника розвідки.","Слухай, коли вона забрала Фінча, Рут вбила колишнього агента розвідки на ім'я Алісія Корвін."
365,You know what I've got.,"﻿Ти знаєш, що в мене.","Ты знаешь, что у меня есть."
366,And neither do those Peeping Toms with their eyes in the sky.,"Так як і всі ті роззяви, що літають в небесах.","І ті, що плачуть, не мають очей на небі."
367,You're lucky to be alive.,"Тобі пощастило, що ти досі жива.","Тобі пощастило, що ти живий."
368,Minimal View,Мінімалістичний перегляд,Мінімалістичний перегляд
369,"I'm all he has, and you'll see, he's very handsome.","У нього є тільки я, і побачиш, він дуже гарний.","Я все, що в нього є, і ви побачите, він дуже гарний."
370,Widget type:,Тип віджета:,Тип віджета:
371,"Yeah, well, you got a lot to learn.","Даа, тебе еще многому учиться","Да, тебе еще многое нужно учиться."
372,You lied?,Tи збрехав мені?,Ты соврал?
373,Kexi Open Database Connectivity Driver,Драйвер з' єднання Kexi Open DatabaseName,Драйвер з' єднання Kexi Open DatabaseName
374,- Don't be a jerk.,- Не будь ідіотом.,- Не будь покидьком.
375,That was tryouts.,Тo були тpенування.,Это были пробки.
376,Input:,Ввід:,Ввід:
377,Toggles the Pending Operations panel: This command turns the display of the operation list on and off.,Вмикає або вимикає показ панелі черги дій: за допомогою цього пункту можна ховати або показувати список дій.,Вмикає або вимикає показ панелі черги дій: за допомогою цього пункту можна увімкнути або вимкнути показ списку дій.
378,Asia/ Shanghai,Азія/ Шанхай,Азія/ Шанхай
379,-Three okay!,- 3-й в порядку!,- Три в порядку!
380,Cannot drop database - name not specified.,Не вдається вилучити базу даних — не вказана назва.,Не вдалося скинути базу даних - не вказано назву.
381,Who prevented what could have been a major catastrophe.,"АзѕУАМ µЙјцАЦґВ °НµйА"" °ЎБ®°¬ґЩ°н ЗХґПґЩ",що запобігав великій катастрофі.
382,Can we go?,Давай підемо?,Ми можемо йти?
383,That means I will.,"Це означає, що прийду.","Це означає, що я буду."
384,Take off your clothes.,Зніми з себе сукню.,Роздягайся.
385,& Read access,Доступ для & читання,Доступ для & читання
386,"He was here, working for Max Seagrave.","Він був тут, бо працював на Максін Сігрейв.","Він був тут, працював на Макс Сігрейв."
387,This is not possible!,АМ°З єТ°ЎґЙЗШ!,Це неможливо!
388,This is done by prepending the character with a backslash (\\).,Це завдання можна виконати за допомогою додавання перед символом зворотної навскісної риски (\\).,Зробити це можна за допомогою додавання до символу зворотної навскісної риски (\\).
389,You can use the Move Up and Move Down buttons to change the order.,"Ви можете скористатися кнопками Пересунути вгору і Пересунути вниз, щоб змінити цей порядок.","Ви можете скористатися кнопками Пересунути вгору і Пересунути вниз, щоб змінити порядок."
390,"When you have set the correct date and time, simply click Apply to make the changes permanent.","Після того, як ви встановили правильні значення для дати і часу, натисніть кнопку Застосувати, щоб застосувати виконані зміни.","Після того, як ви встановите правильну дату і час, просто натисніть кнопку Застосувати, щоб зробити зміни незмінними."
391,Mori!,Морі!,Морі!
392,I think he's writing about us in his reports.,"Думаю, він пише про нас у своїх рапортах.","Думаю, он пишет о нас в своих отчете."
393,The SERIESSUM() function returns the sum of a power series.,Функція SERIESSUM () повертає частинну суму степеневого ряду.,Функція SERIESSUM} повертає суму ряду потужностей.
394,Percy?,Персі!,Перси?
395,Media Type First,Тип першого носія,Тип першого носія
396,Ghostscript Backend Configuration,Налаштування програми Ghostscript,Налаштування сервера Ghostscript
397,Can you video me now?,"Зніми мене, гаразд?",Можеш мене зняти?
398,"No, I'm not gonna put Danny on... or Rusty.","Ні, я не передам слухавку Денні.","Нет, я не собираюсь надеть Дэнни... или Расті."
399,"And still, Gordo's the least of this.",Гордо - найменша з проблем.,"І все ж, Гордо - найменша з них."
400,Nostradamus observe the stars and he sees an impending danger.,Нострадамус дивиться на зірки і бачить наближення небезпеки.,Нострадамус спостерігає за зірками і бачить неминучу небезпеку.
401,Cannot tag photo already visible on Facebook.,Не вдалося надати вже видимому у Facebook фото мітку.,Не вдається зробити фотографію мітки вже видимою у Facebook.
402,Deprecated: Please use --safe-upgrade,Застаріло: використовуйте --safe-upgrade,"Застаріла: будь ласка, скористайтеся параметром --safe- upgrade"
403,Split Vertical In,Розділятись вертикально всередину,Розділити вертикально всередину
404,Created thumbnail for: %1,Створено мініатюру для:% 1,Створено мініатюру для:% 1
405,Password or swipe finger for %1:,Пароль або відбиток пальця для% 1:,Пароль або відбиток пальця для% 1:
406,You want me to cast my friends aside.,"Ти хочеш, щоб я покинув друзів у біді?","Ты хочешь, чтобы я бросил своих друзей в сторону."
407,"Let's get pissed up, and have a puff!",Віділ'ємо і будемо пити.,Давай взбешимся и покурим!
408,You got involved with the wrong girl... you dumb shit.,Ти зв'язався не з тією дівчиною... ти лайно смердюче.,Ти зв'язався з не з тією дівчиною... ти тупе лайно.
409,Bloody hell.,Божевілля.,Чорт забирай.
410,"No, thanks, Nina. I've seen enough.","Ні, дякую, я вже побачив достатньо","Ні, дякую, я бачив достатньо."
411,I'm sorry.,Пробач.,Мне жаль.
412,"Out of town, lieutenant?","Йдемо з міста, лейтенант?","З міста, лейтенанте?"
413,All right.,"Добре. Хлопці, ви просто...",Гаразд.
414,"I'm not afraid anymore, Tommy.","Я більше не боюся, Томі.","Я больше не боюсь, Томми."
415,"And what, send it up in an ambulance?","І що, потім відправлю його каретою швидкої допомоги?","И что, выслать его в скорую?"
416,KDE development,Розробка KDE,Розробка KDE
417,"- I ran her social, her name, police records, taxes, everything.","- Я переглянув її в соцмережах, шукав по імені, в поліцейських протоколах, по податках, скрізь.","- Я проверил её социально, её имя, полицейские записи, податки, всё."
418,- I was just looking for his Majesty.,Просто шукаю його величність.,- Я просто искал его Величество.
419,Clench 'em and get over here.,Стиснув булки і підійшов сюди.,Ударь их и иди сюда.
420,Take the father first.,Візьміть спершу батька.,Спочатку візьми батька.
421,Don't listen to them.,"Неправда, не слухай їх.",Не слухай їх.
422,"Tarak Ital, MD.","Тарак Італ, лікар.","Тарак Італ, MD."
423,The Channel coast is socked in with rain and fog.,Узбережжя каналу все вимокло від дощу і туману.,Узбережжя каналу вкрите дощем і туманом.
424,Previously on AMC's Breaking Bad...,У попередніх серіях ...,Ранее в сериале...
425,It's Normandy.,Це в Нормандії.,Это Нормандия.
426,File Tree,Дерево файлів,Дерево файлів
427,I want to be like Picasso.,Я хочу бути схожим на Пікасо.,Я хочу бути як Пікассо.
428,You won't be.,Ви і не зніматимете.,Тебе не будет.
429,Panel layout,Компонування панелі,Компонування панелі
430,"Jesus Christ, there's kids in there, sir!","Господи, та там же всередині діти, сер!","Господи, там діти, сер!"
431,"What's the difference between Slew, Track, and Sync exactly?","У чому точно полягає різниця між командами Slew, Track і Sync?","Яка різниця між Slew, Track і Sync?"
432,We weren't.,- Та ще й твою колишню.,Мы не были.
433,"Specifies the end date, or date and time, for recurrences of the alarm. If startDateTime includes a time, this parameter must also include a time; if startDateTime contains only a date, this parameter must also contain only a date. It must not contain a time zone specifier; the same time zone as for startDateTime is used to interpret this parameter's value.","Визначає кінцеву дату або дату і час повторень нагадування. Якщо до параметра Дата_ і_ час_ початку було включено час, цей параметр має також включати час; якщо Дата_ і_ час_ початку містить лише дату, цей параметр також повинен містити лише дату. Параметр не повинен містити визначення часового пояса; під час обробки цього параметра буде використано той самий часовий пояс, який було вказано для параметра Дата_ і_ час_ початку.","Вказує кінцеву дату або дату і час для повторення нагадування. Якщо час_ початку містить час, цей параметр також повинен включати час; якщо Дата_ і_ час_ початку містить лише дату, цей параметр також повинен містити лише дату. У параметрі не повинно міститися специфікатор часового поясу; для інтерпретації значення цього параметра використовується той самий часовий пояс, що і для параметра Дата_ і_ час_ початку."
434,I don't know. Huh. That got awkward fast.,Я не знаю.,Я не знаю.
435,Now they claim their rewards.,Тепер вони беруть свої нагороди.,Тепер вони вимагають своїх нагород.
436,New profile,Новий профіль,Новий профіль
437,- What's that smell?,- Що це за запах?,- Що це за запах?
438,No... no.,Ні... ні.,Ні... ні.
439,Too much work and not enough to eat.,Ти багато працюєш і мало їси.,"Занадто багато роботи і недостатньо, щоб їсти."
440,Thank you.,Дякую.,Дякую.
441,Sorry?,Що-що?,Перепрошую?
442,View Columns,Показувати стовпці,Стовпчики перегляду
443,Something's in here.,Це щось поряд.,Тут щось є.
444,What's so special about this place?,Що особливого в цьому місці?,Что особенного в этом месте?
445,Why aren't the guys putting out the fires?,Чому хлопці не гасять пожежу?,Чому хлопці не гасять пожежу?
446,- 16 million!,-16 міліонів!,- 16 миллионов!
447,You can have that hat on one condition.,Ти отримаєш цю бейсболку за однією умовою.,Ця шапка може бути за однієї умови.
448,I'm sorry.,Пробач.,Мне жаль.
449,"My race, my identity, my career.",мою кар'єру.,"Моя раса, моя личность, моя карьера."
450,"If this option is checked, missing issuer certificates are fetched when necessary (this applies to both validation methods, CRLs and OCSP).","Якщо позначено цей параметр, за потреби надсилатиметься запит для сертифікатів з відсутнім видавцем (це стосується обох методів перевірки, CRL і OCSP).","Якщо буде позначено цей пункт, за потреби буде отримано відсутні сертифікати видавця (це стосується обох методів перевірки, CRL і OCSP)."
451,W-What was I gonna do?,А що було робити?,Что мне было делать?
452,- Yοur Majesty's functiοn is tο cοnsult and be advised.,Роль вашої Вищості - радитися і наставляти.,Ваша Величність повинна дати пораду.
453,Tania Borealis,Танія Бореалісstar name,Танія Бореалісstar name
454,Bombu r!,Бомбур!,Бомбур!
455,It was incredibly ballsy from Dendi to do that on the verge of winning the million dollars for your team.,"Це було дуже нерозважливо з боку Dendi, тим паче за крок до мільйона доларів.",Від Dendi було неймовірно холодно зробити це на межі виграшу мільйона доларів для вашої команди.
456,Remaining Effort,Залишковий обсяг робіт,Залишковий обсяг робіт
457,July 1951,Липень 1951,Липень 1951
458,We hold the gate.,Нам держать ворота.,Ми тримаємо ворота.
459,& Star View,Перегляд & зіркою,Перегляд & зіркою
460,"Thank you, Berta.",дякую Берта.,дякую Берта.
461,Leopoldo Pisanello.,Лєопольдо Пізанелльо.,Лєопольдо Пізанелльо.
462,Yeah. Yeah.,Ось так.,"Да, да."
463,What's our responsibility even when we dance?,В чому наша відповідальність навіть коли ми танцюємо?,"Яка наша відповідальність, навіть коли ми танцюємо?"
464,A more perfect stage could not be asked for.,Кращої сцени годі й вигадати.,Більш ідеальну сцену не можна було вимагати.
465,All & files,Всі & файли,Всі & файли
466,"That arrogant asshole thinks he's some criminal mastermind, but he's not.","Той самовпевнений мудак думає, що він якийсь кримінальний геній, але це не так.","Цей зарозумілий мудак думає, що він якийсь кримінальний геній, але це не так."
467,Update and manage your online journal,Оновлення та керування інтернет-журналами,Оновлення та керування вашими мережевими журналами
468,"Our children are alloys, all, built from our own imperfect flesh.","Наших дітей і наших союзників, створених з нашої недосконалої плоті.","Наші діти є союзниками, всі, збудовані з нашої недосконалої плоті."
