,de,uk,TRANSLATION
295,Bitte beantworten Sie diese Frage für mich.,"Будь-ласка, дай мені відповідь на це запитання.",Bitte gib mir die Antwort auf diese Frage.
296,Bitte beeil dich!,"Будь ласка, поквапся!","Bitte, beeil dich!"
297,Bitte bleiben Sie sitzen.,"Будь ласка, не вставайте.","Bitte, wach nicht auf."
298,Bitte entferne den Kommentar.,"Видалiть коментар, будь-ласка.","Den Kommentar ausholen, bitte."
299,"Bitte entschuldigen Sie, aber ich glaube das ist mein Platz.","Перепрошую, але я думаю, що це моє місце.","Tut mir leid, aber ich glaube, das ist mein Platz."
300,Bitte entschuldigen Sie mein Zuspätkommen.,Перепрошую за запізнення.,Entschuldigen Sie die Verspätung.
301,Bitte erlauben Sie mir zu gehen.,"Будь ласка, дозвольте мені піти.","Bitte, lassen Sie mich gehen."
302,Bitte komm in drei Tagen.,"Будь ласка, прийди за три дні.","Bitte, kommen Sie in drei Tagen her."
303,"Bitte, mach dir keine Sorgen.","Не турбуйся, будь ласка.","Keine Sorge, bitte."
304,Bitte nehmen Sie Platz!,"Сідайте, будь ласка!","Setzen Sie sich, bitte!"
305,Bitte nicht im Klassenzimmer rennen.,"Будь-ласка, не бігай у класі.",Bitte geh nicht in die Klasse.
306,Bitte öffnen Sie ihre Tasche.,"Відкрийте сумку, будь ласка.","Öffnen Sie die Tasche, bitte."
307,Bitte öffnen Sie seine Tasche.,"Відкрийте сумку, будь ласка.","Öffnen Sie die Tasche, bitte."
308,Bitte rufen Sie ihn an.,"Зателефонуйте йому, будь ласка.",Rufen Sie ihn bitte an.
309,Bitte schön.,Нема за що.,Nichts.
310,Bitte sende es mir per Fax.,"Відправ мені це факсом, будь ласка.",Senden Sie mir bitte das Fax.
311,Bitte singe ein Lied.,"Заспівай пісню, будь ласка.","Sing das Lied, bitte."
312,Bitte sprechen Sie langsamer.,"Будь ласка, розмовляйте повільніше.",Sprecht bitte langsamer.
313,Bitte stehen Sie nicht auf.,"Не вставайте, будь ласка.","Nicht aufstehen, bitte."
314,Bitte steh nicht auf.,"Не вставай, будь ласка.","Steh nicht auf, bitte."
315,Bitte steht nicht auf.,"Не вставайте, будь ласка.","Nicht aufstehen, bitte."
316,"Bitte Tom, nicht auf mich zu warten!",Попроси Тома не чекати на мене.,"Frag Tom, ob er nicht auf mich wartet."
317,"Bitte, trink etwas!",Випийте щось.,Trinken Sie etwas.
318,Bitte übersetzen Sie diesen japanischen Text ins Französische.,"Перекладіть цей японський текст на французьку, будь ласка.","Übersetzen Sie den japanischen Text ins Französische, bitte."
319,Bitte verbinden Sie mich mit Herrn Smith.,"З'єднайте мене з паном Смітом, будь ласка.",Verbinden Sie mich bitte mit Mr. Smith.
320,Bitte weine nicht.,"Не плач, будь ласка.","Weine nicht, bitte."
321,Bitte zeigen Sie mir diese Fotos.,"Будьте ласкаві, покажіть мені ці фотографії.","Bitte, zeigen Sie mir diese Bilder."
322,Bleibt Tom zum Abendessen?,Том залишиться на вечерю?,Wird Tom zum Abendessen bleiben?
323,Blinde glauben nicht an die Liebe auf den ersten Blick.,Сліпі не вірять у кохання з першого погляду.,Blinde glauben nicht an Liebe auf den ersten Blick.
324,"Bob aß die Schnecke, dann erbrach er sich.","Боб з'їв равлика, потім виригав.",Bob aß eine Muschel und holte sie aus.
325,Bob hat mir geholfen.,Боб мені допоміг.,Bob hat mir geholfen.
326,Bob war sehr glücklich.,Боб був дуже щасливий.,Bob war sehr glücklich.
327,Boston ist langweilig.,Бостон нудний.,Boston ist langweilig.
328,Boston verändert sich.,Бостон змінюється.,Boston verändert sich.
329,Bratislava ist die Hauptstadt der Slowakei.,Братислава - столиця Словаччини.,Preßburg - Hauptstadt der Slowakei
330,Brauchen Sie einen Krankenwagen?,Вам потрібна швидка допомога?,Brauchen Sie Verstärkung?
331,Brauchen Sie Geld?,Вам потрібні гроші?,Brauchen Sie Geld?
332,Brauchen wir einen Plan B?,"Ми потребуємо плану ""Б""?",Brauchen wir einen B-Plan?
333,Brauchen wir einen Plan B?,"Нам потрібний план ""Б""?",Brauchen wir einen B-Plan?
334,Brauchst du meine Hilfe noch?,Тобі все ще потрібна моя допомога?,Brauchst du noch meine Hilfe?
335,Brauchst du unsere Hilfe?,Тобі потрібна наша допомога?,Brauchst du unsere Hilfe?
336,Brauchst du viel Geld?,Тобі потрібно багато грошей?,Brauchst du viel Geld?
337,Braucht ihr einen Krankenwagen?,Вам потрібна швидка?,Brauchen Sie einen Krankenwagen?
338,Braucht ihr einen Krankenwagen?,Вам потрібна швидка допомога?,Brauchen Sie Verstärkung?
339,Brian hat einen Lippenstift für Kate gekauft.,Брайан купив для Кейт губну помаду.,Brian hat für Kate eine Lippenstifte gekauft.
340,Brich niemals dein Versprechen!,Ніколи не порушуй своєї обіцянки.,Gib dein Versprechen nie auf.
341,Bringen Sie mir etwas kaltes Wasser.,Принесіть мені холодної води.,Bringt mir kaltes Wasser.
342,Bring es mir.,Принеси його мені.,Bring ihn zu mir.
343,"Bring mir etwas Wasser, aber schnell!","Принеси мені води, швиденько.",Hol mir schnell das Wasser.
344,Bronislaw ist 18 Jahre alt.,Броніславу вісімнадцять років.,Bronnigus war achtzehn Jahre alt.
345,"Brustschwimmen kann ich, aber Rückenschwimmen nicht.","Я можу плисти на животі, але не на спині.","Ich kann auf dem Bauch schwimmen, aber nicht auf dem Rücken."
346,Bulgarien ist ein wunderschönes Land.,Болгарія - прекрасна країна.,Bulgarien ist ein wunderschönes Land.
347,Butter macht man aus Milch.,Масло роблять з молока.,Olivenöl wird aus Milch hergestellt.
348,Butter wird aus Milch gemacht.,Масло роблять з молока.,Olivenöl wird aus Milch hergestellt.
349,Carol hat Kopfweh.,У Керол болить голова.,Carol hat Kopfschmerzen.
350,Caty ist lesbisch.,Кеті лесбіянка.,Cathy ist eine Lesbierin.
351,Champagner wird aus Frankreich importiert.,Шампанське імпортують із Франції.,Champagner wird aus Frankreich importiert.
352,China ist das größste Land Asiens.,Китай - найбільша країна в Азії.,China ist das größte Land in Asien.
353,China ist das größte Land in Asien.,Китай - найбільша країна в Азії.,China ist das größte Land in Asien.
354,China ist ein großes Land.,Китай - велика країна.,China ist ein großes Land.
355,China ist größer als Japan.,"Китай більший, ніж Японія.",China ist größer als Japan.
356,Christiano Ronaldo ist ein Fußballspieler.,Кріштіану Роналду - футболіст.,Krystyna Ronaldo ist Footballspieler.
357,Christoph Kolumbus entdeckte Amerika im Jahre 1492.,Христофор Колумб відкрив Америку в 1492 році.,Christoph Kolumbus entdeckte 1492 Amerika.
358,"Christoph Kolumbus fand einst den Heiligen Gral, warf ihn aber weg, weil ihm die Farbe nicht gefiel.","Христофор Колумб якось знайшов Святий Грааль, але викинув його, бо йому не сподобався колір.","Christoph Kolumbus fand den heiligen Gral, warf ihn weg, weil ihm die Farbe nicht gefiel."
359,Computer machen die Leute dumm.,Комп'ютери роблять із людей ідіотів.,Computer machen Idioten.
360,Computer machen Menschen dumm.,Комп'ютери роблять із людей ідіотів.,Computer machen Idioten.
361,Coolidge hat die Wahl im Jahre 1924 spielend gewonnen.,Кулідж легко переміг на виборах у 1924 році.,Der Kugelhagel gewann 1924 bei seinen Wahlen leicht.
362,Cristiano Ronaldo ist ein Fußballspieler.,Кріштіану Роналду - футболіст.,Krystyna Ronaldo ist Footballspieler.
363,Cristiano Ronaldo ist Fußballer.,Кріштіану Роналду - футболіст.,Krystyna Ronaldo ist Footballspieler.
364,"Da du gekocht hast, kümmere ich mich um den Abwasch.","Оскільки ти готувала, я помию посуд.","Da du gekocht hast, putze ich das Geschirr."
365,Da fehlt eine Seite.,Не вистачає сторінки.,Die Seite ist unvollständig.
366,Dafür bin ich zu alt.,Я для цього занадто стара.,Ich bin zu alt dafür.
367,Da hängt ein Schatten über mir.,Наді мною нависла тінь.,Mir stand ein Schatten bevor.
368,Da ist eine Katze auf dem Stuhl.,На стільці є кіт.,Es gibt eine Katze auf dem Stuhl.
369,Da ist eine weiße Taube auf dem Dach.,На даху сидить білий голуб.,Auf dem Dach sitzt eine weiße Taube.
370,Da ist ein Hund an der Tür.,Біля дверей стоїть пес.,An der Tür steht ein Hund.
371,Damals waren wir jünger.,Тоді ми були молодші.,Damals waren wir jünger.
372,Damals war Mary Toms Freundin.,Мері тоді була дівчиною Тома.,Mary war damals Toms Mädchen.
373,Damals war Tom mein einziger Freund.,На той час Том був моїм єдиним другом.,Tom war damals mein einziger Freund.
374,Damit hat Tom nicht gerechnet.,Том цього не очікував.,Tom hat das nicht erwartet.
375,Daniela hat mich zu Hause angerufen.,Даніела зателефонувала мені додому.,Daniela rief mich an.
376,Dank dir habe ich meinen Appetit verloren.,Через тебе я втратив апетит.,Wegen dir habe ich keinen Appetit mehr.
377,„Danke!“ – „Bitte!“,"Дякую. - ""Прошу"".",Danke.
378,"Danke, das ist alles.","Дякую, це все.","Danke, das war's."
379,"Danke, dass Sie mich eingeladen haben.","Дякую, що запросили мене!","Vielen Dank, daß Ihr mich eingeladen habt!"
380,Danke für das Kompliment!,Дякую за комплімент.,Danke für das Kompliment.
381,Danke für das wunderbare Essen.,Дякую за чудову їжу.,Vielen Dank für das wunderschöne Essen.
382,Danke für deine Antwort.,Дякую за відповідь.,Danke für die Antwort.
383,Danke für deine Erklärung.,Дякую за пояснення.,Danke für die Erklärung.
384,Danke für deine freundlichen Worte!,Дякую за добрі слова.,Vielen Dank für die freundlichen Worte.
385,Danke für deine Geduld!,Дякую тобі за терпіння.,Vielen Dank für Ihre Geduld.
386,Danke für dein Geschenk.,Дякую тобі за подарунок.,Danke für das Geschenk.
387,Danke für die Blumen!,Дякую за квіти.,Danke für die Blumen.
388,"Danke für die Hilfe. ""Keine Ursache.""",«Дякую за допомогу.» «Нема за що.»,„ Vielen Dank für die Hilfe. “
389,Danke für die Pizza!,Дякуємо за піцу.,Danke für die Pizza.
390,Danke für die Praline. Sie war köstlich.,Дякую за шоколад. Він був смачним.,"Danke für die Schokolade, er war köstlich."
391,Danke für Ihre freundlichen Worte!,Дякую за добрі слова.,Vielen Dank für die freundlichen Worte.
392,Danke für Ihre Geduld.,Дякуємо вам за терпіння.,Vielen Dank für Ihre Geduld.
393,Danke fürs Schreiben.,"Дякую за те, що написали.","Danke für das, was ich geschrieben habe."
394,„Danke!“ – „Keine Ursache!“,"Дякую. - ""Прошу"".",Danke.
395,„Danke!“ – „Keine Ursache!“,"Спасибі. - ""Нема за що"".","- ""Nichts für was."""
396,„Danke!“ – „Nichts zu danken!“,"Спасибі. - ""Нема за що"".","- ""Nichts für was."""
397,Danke schön.,Щиро дякую!,Vielen Dank!
398,Danke trotzdem.,"У будь якому разі, дякую.","Auf jeden Fall, danke."
399,Danke!,Дякуємо!,Danke!
400,Danke!,Дякую!,Danke!
401,Danke.,Дякую!,Danke!
402,Danke.,Дякую.,Danke.
403,Dank seiner Mutter wurde er berühmt.,Він став відомим завдяки матері.,Er wurde durch seine Mutter berühmt.
404,Dann eilte sie nach Hause.,А потім вона поквапилася додому.,Dann beeilte sie sich nach Hause.
405,Dann fangen wir an.,"Ну, тоді розпочнімо.",Dann fangen wir an.
406,Dann haben wir ein Problem...,Тоді ми маємо проблему...,Dann haben wir ein Problem.
407,Dann komme ich später wieder.,Тоді я повернуся пізніше.,Dann komme ich später wieder.
408,Dann komme ich später wieder.,Тоді я прийду пізніше.,Dann komme ich später.
409,Dann legte er sich auf das gleiche Bett.,Він тоді лежав на тому ж ліжку.,Er lag auf demselben Bett.
410,Dann zögern Sie nicht.,Тож не вагайтеся.,Man sollte also nicht zögern.
411,Danzig ist die größte Stadt im Norden Polens.,Гданськ - найбільше місто на півночі Польщі.,Dansk ist die größte Stadt im Norden Polens.
412,Darf ich deinen Kuli benutzen?,Можна скористатися твоєю ручкою?,Darf ich deinen Stift benutzen?
413,Darf ich den Fernseher ausschalten?,Можна мені вимкнути телевізор?,Darf ich den Fernseher ausschalten?
414,Darf ich den Fernseher ausschalten?,Можна я вимкну телевізор?,Darf ich den Fernseher ausschalten?
415,Darf ich dich Tom nennen?,Можна я буду називати тебе Томом?,Darf ich dich Tom nennen?
416,Darf ich dich unterbrechen?,Можна тебе перебити?,Darf ich dich umlegen?
417,Darf ich dir jetzt etwas zu trinken anbieten?,Я можу тобі запропонувати щось зараз випити?,Kann ich dir jetzt einen Drink anbieten?
418,Darf ich es noch einmal machen?,Можу я це зробити ще раз?,Kann ich das nochmal machen?
419,Darf ich etwas sagen?,Можна мені щось сказати?,Kann ich was sagen?
420,Darf ich euer Telefon benutzen?,Можна мені скористатися вашим телефоном?,Darf ich Ihr Telefon benutzen?
421,"Darf ich fragen, wie alt du bist?","Можна мені запитати, скільки тобі років?","Darf ich fragen, wie alt du bist?"
422,"Darf ich fragen, wie alt du bist?","Можна поцікавитися, скільки тобі років?","Darf ich fragen, wie alt du bist?"
423,"Darf ich fragen, wie alt Sie sind?","Можу я запитати, скільки вам років?","Darf ich fragen, wie alt sind Sie?"
424,Darf ich hier rauchen?,Чи можу я тут курити?,Kann ich hier rauchen?
425,"Darf ich Ihnen helfen, gnädige Frau?","Чи можу вам чимось допомогти, пані?","Kann ich Ihnen helfen, Ma'am?"
426,Darf ich mal deinen Bart anfassen?,Можна мені доторктнутися до твоєї бороди?,Darf ich deinen Bart berühren?
427,Darf ich mich neben euch setzen?,Можна сісти поруч із вами?,Darf ich mich neben Sie setzen?
428,Darf ich mich vorstellen? Mein Name ist Tom Frisch.,Можна представитися? Мене звуть Том Фріш.,Mein Name ist Tom Freesh.
429,Darf ich mich vorstellen?,Можна мені представитися?,Darf ich mich vorstellen?
430,Darf ich mit ihr sprechen?,Чи можу я поговорити з нею?,Kann ich mit ihr reden?
431,Darf ich nach Hause gehen?,Можна мені піти додому?,Darf ich nach Hause?
432,Darf ich Sie unterbrechen?,Можна вас перебити?,Kann ich Sie unterbrechen?
433,Darum musst du dir keine Sorgen machen.,Тобі не треба хвилюватися за це.,Du brauchst dir keine Sorgen zu machen.
434,Darum sind wir hier.,Ось чому ми тут.,Deswegen sind wir hier.
435,Darum werde ich mich morgen kümmern.,Я займуся цим завтра.,Ich mache das morgen.
436,Darwin hat alles verändert.,Дарвін все змінив.,Darwin hat alles verändert.
437,"Das Adjektiv endet auf ""a"".","Прикментник закінчується на ""а"".","Das Zeichen endet mit ""a""."
438,Das also ist Tatoeba.,"Отже, це Татоеба.",Das ist also Dadsba.
439,Das ängstigt mich überhaupt nicht.,Я ані трохи цього не боюся.,Ich habe keine Angst davor.
440,Das Apartment war mit Möbeln im viktorianischen Stil eingerichtet.,Квартира була мебльована у вікторіанському стилі.,Die Wohnung war im viktorianischen Stil metabolisiert.
441,Das Auto blieb im Schlamm stecken.,Машина застрягла в багні.,Der Wagen steckt im Schlamm fest.
442,Das Auto fuhr gegen einen Telegrafenmast.,Автівка зіткнулась із телеграфним стовпом.,Mit der Telegrafensäule kam es zu Unfällen.
443,Das Auto ist gelb.,Машина жовта.,Die Maschine ist gelb.
444,Das Auto ist in der Garage.,Машина в гаражі.,Der Wagen ist in der Garage.
445,Das Auto springt nicht an.,Автомобіль не заводиться.,Das Auto läuft nicht.
446,Das Auto stieß mit dem LKW zusammen.,Автомобіль врізався у вантажівку.,Das Auto ist in den Truck gefahren.
447,Das Baby läuft noch nicht.,Дитина ще не ходить.,Das Kind geht noch nicht.
448,Das Baby schläft gerade.,Немовля спить.,Das Baby schläft.
449,Das Baby schlief in der Wiege ein.,Дитина заснула в колисці.,Das Baby schlief in der Wiege ein.
450,Das Baby sucht seine Mutter.,Дитя шукає маму.,Das Baby sucht Mutter.
451,Das Baseballspiel endete unentschieden.,Бейсбольний матч закінчився з нічийним результатом.,Das Baseballspiel endete mit einem nächtlichen Ergebnis.
452,Das beste Buch über das Leben ist das Leben selbst.,Найкраща книжка про життя - власне життя.,Das beste Buch über das Leben ist sein eigenes.
453,Das Bett kostet 120 Euro!,Ліжко коштує 120 євро!,Das Bett kostet 120 Euro!
454,Das beweist meine Theorie.,Це доводить мою теорію.,Das beweist meine Theorie.
455,Das Bier ist sehr kalt.,Пиво дуже холодне.,Das Bier ist sehr kalt.
456,Das Bild erinnerte mich an Schottland.,Картина нагадувала менi Шотландiю.,Das Bild erinnerte mich an Schottland.
457,"Das brauchst du mir nicht zu sagen, du Idiot.","Можеш не говорити мені цього, ідіоте.","Du kannst mir das nicht sagen, du Idiot."
458,Das Brot ist frisch.,Хліб свіжий.,Das Brot ist frisch.
459,Das Buch enthält viele Abbildungen.,Ця книжка має багато малюнків.,Das Buch hat viele Bilder.
460,"Das Bücherlesen hörte auf, das Privileg einer Minderheit zu sein.",Читання книжок більше не є привілеєм меншості.,Das Lesen von Büchern ist nicht mehr das Vorrecht einer Minderheit.
461,Das Buch handelt von Sternen.,Ця книжка про зірки.,Dieses Buch ist ein Buch über die Sterne.
462,Das Buch hat mir gefallen.,Мені сподобалася ця книжка.,Das Buch hat mir sehr gut gefallen.
463,Das Buch ist alt.,Книжка стара.,Das Buch ist alt.
464,Das Buch ist geeignet für deine Bedürfnisse.,Ця книга відповідає твоїм потребам.,Dieses Buch entspricht deinen Bedürfnissen.
465,Das Buch ist geeignet für Ihre Bedürfnisse.,Ця книга не відповідає Вашим потребам.,Dieses Buch stimmt nicht mit Ihren Bedürfnissen überein.
466,Das Buch ist gelb.,Книжка жовта.,Das Buch ist gelb.
467,Das Buch ist neu.,Ця книжка нова.,Das Buch ist neu.
468,Das Buch ist orange.,Книжка помаранчева.,Das Buch ist orange.
469,Das Buch ist weiß.,Книга біла.,Das Buch ist weiß.
470,Das Ei ist ein universelles Symbol des Lebens und der Wiedergeburt.,Яйце - це універсальний символ життя та відродження.,Das Ei ist ein universelles Symbol für Leben und Wiedergeburt.
471,Das Eis ist geschmolzen.,Крига розтанула.,Die Krise ist gesunken.
472,Das Eis schmolz.,Крига розтанула.,Die Krise ist gesunken.
473,Das Ende ist nahe.,Кінець вже близько.,Das Ende ist nahe.
474,Das ergibt keinen Sinn.,Це не має сенсу.,Das ergibt keinen Sinn.
475,Das erraten Sie nie!,Цього ти ніколи не вгадаєш!,Das wirst du nie vergessen!
476,Das erwies sich als richtig.,Це виявилося правдою.,Es erwies sich als wahr.
477,"Das Esperanto-Alphabet enthält achtundzwanzig Buchstaben: a, b, c, ĉ, d, e, f, g, ĝ, h, ĥ, i, j, ĵ, k, l, m, n, o, p, r, s, ŝ, t, u, ŭ, v, z.","Алфавіт есперанто має 28 літер: a, b, c, ĉ, d, e, f, g, ĝ, h, ĥ, i, j, ĵ, k, l, m, n, o, p, r, s, ŝ, t, u, ŭ, v, z.","Esperanto hat 28 Buchstaben: a, b, c, c, c, d, e, f, g, 6, h, i, j, dig, k,l, l,m,m,m, n, p, r, s, able, et, u, c."
478,Das esse ich nicht.,Я цього не буду їсти.,Das werde ich nicht essen.
479,Das Experiment scheiterte.,Експеримент закінчився невдало.,Versuch fehlgeschlagen.
480,Das Fahrrad gehört mir.,Цей велосипед належить мені.,Dieses Fahrrad gehört mir.
481,Das Fahrrad ist meins.,Цей велосипед належить мені.,Dieses Fahrrad gehört mir.
482,Das Feld ist mit Schnee bedeckt.,Поле вкрите снігом.,Das Feld ist mit Schnee bedeckt.
483,Das Fenster ist offen.,Вікно відкрите.,Das Fenster ist geöffnet.
484,Das Fenster öffnete sich.,Вікно відчинилося.,Das Fenster ist geöffnet.
485,Das Fernsehen zerstört das Familienleben.,Телевізор руйнує родинне життя.,Fernsehen zerstört das Familienleben
486,Das Fest ist zu Ende.,Вечірка закінчилася.,Die Party ist vorbei.
487,Das Fest ist zu Ende.,Вечірка скінчилася.,Die Party ist zu Ende.
488,Das Festival war alles andere als öde.,Фестиваль був далеко не нудним.,Das Festival war alles andere als langweilig.
489,Das Fleisch ist roh.,М'ясо сире.,Das Fleisch ist rohes Fleisch.
490,Das Fleisch ist zäh.,М'ясо жорстке.,Das Fleisch ist hart.
491,Das Fleisch schmeckt schlecht.,М'ясо погано смакує.,Fleisch schmeckt nicht gut.
492,Das Flugzeug flog über den Wolken.,Літак летів над хмарами.,Das Flugzeug flog über die Wolken.
493,Das Flugzeug ist abgestürzt.,Літак розбився.,Das Flugzeug ist kaputt.
494,Das Flugzeug wird in einer Stunde abheben.,Літак злетить за годину.,Das Flugzeug fliegt in einer Stunde ab.
495,Das frisch getraute Paar ging Hand in Hand.,"Молоді йшли, узявшись за руки.",Die jungen Leute gingen und hielten sich an die Hand.
496,Das Frühstück ist bereitet.,Сніданок готовий.,Frühstück ist fertig.
497,Das Frühstück war sehr gut.,Сніданок був дуже смачний.,Das Frühstück war köstlich.
498,Das funktioniert nie.,Це ніколи не запрацює.,Das wird nie funktionieren.
499,Das funktioniert nie.,Це ніколи не спрацює.,Das wird nie funktionieren.
500,Das Gebäude hat ein russischer Architekt gebaut.,Будинок побудовано російським архитектором.,Das Gebäude wurde von einem russischen Architekten gebaut.
501,Das Gebäude wurde von einem russischen Architekten erbaut.,Будинок побудовано російським архитектором.,Das Gebäude wurde von einem russischen Architekten gebaut.
502,Das Gegenteil von unpraktisch ist praktisch.,Антонім до непрактичності - практичність.,Antonyme ist unpraktisch.
503,Das gehört ihm.,Це його.,Es gehört ihm.
504,Das geht dich nichts an.,Це не твоя справа.,Das geht dich nichts an.
505,Das geht vorbei.,Це піде у минуле.,Das wird der Vergangenheit angehören.
506,Das gesamteuropäische Sabantuy 2014 findet am 7. Juni in Riga statt. Die jährliche Organisation dieses nationalen tatarischen Feiertags in den Kulturhauptstädten des Kontinents wird zu einer guten Tradition.,Європейський Сабантуй 2014 року проходить 7 червня в Ризі. Щорічна організація цих татарських національних свят у культурних столицях континенту стає доброю традицією.,"Juni 2014 in Riga stattfand, ist die jährliche Organisation dieser taaristischen Feste in den kulturellen Hauptstädten des Kontinents eine gute Tradition."
507,Das Geschäft ist gerade gegenüber von meinem Haus.,Крамниця знаходиться просто навпроти мого будинку.,Der Laden ist direkt vor meinem Haus.
508,Das Gesetz ist für alle gleich.,Закон один для всіх.,Das Gesetz ist e i n Gesetz für alle.
509,Das Gesicht ist der Spiegel der Seele.,Обличчя - дзеркало душі.,Gesicht ist ein Spiegel der Seele.
510,Das glaube ich nicht.,Я в це не вірю.,Das glaube ich nicht.
511,Das glaube ich.,"Думаю, так.",Ich denke schon.
512,"Das Glück liegt nicht darin, viele Dinge zu besitzen.","Щастя не в тому, щоб володіти багатьма речами.","Das Glück besteht nicht darin, viele Dinge zu besitzen."
513,Das habe ich als Kind immer gemacht.,Я так робив у дитинстві.,Das habe ich schon als Kind getan.
514,Das habe ich von dir gelernt.,Я навчилася цього у тебе.,Ich habe das bei dir gelernt.
515,Das habe ich wirklich nicht von dir erwartet.,Я такого від тебе дійсно не очікувала.,Das habe ich von dir wirklich nicht erwartet.
516,Das hast du absichtlich getan!,Ти це спеціально зробив!,Du hast es absichtlich getan!
517,Das hat mich gerettet.,Це мене врятувало.,Das hat mich gerettet.
518,Das hat nichts mit euch zu tun.,Це не має до вас жодного відношення.,Das hat nichts mit dir zu tun.
519,Das hat nichts mit euch zu tun.,Це не має до вас жодного стосунку.,Das hat nichts mit Ihnen zu tun.
520,Das hat nichts mit Ihnen zu tun.,Це не має до вас жодного відношення.,Das hat nichts mit dir zu tun.
521,Das hat niemand von uns vor.,Ніхто з нас не планує це зробити.,"Niemand von uns hat vor, das zu tun."
522,Das hätte ich beinahe vergessen.,Я мало не забув цього зробити.,Ich hätte es fast vergessen.
523,Das hat Tom gar nicht gesagt.,Том цього не казав.,Tom hat das nicht gesagt.
524,Das Haus brennt.,Дім горить!,Das Haus brennt!
525,"Das Haus ist komplett abgebrannt, bevor die Feuerwehr kam.","До того часу, як приїхала пожежна бригада, весь будинок згорів.","Als die Feuerwehr eintraf, brannte das ganze Haus nieder."
526,Das Haus ist rot.,Будинок червоний.,Das Haus ist rot.
527,Das Haus war leer bis auf eine Katze.,"Будинок був пустим, за винятком кота.","Das Haus war leer, außer Katzen."
528,Das Haus wurde durch Feuer zerstört.,Будинок був зруйнований вогнем.,Das Haus wurde zerstört.
529,Das Heidentum ist viel näher an der Natur als das Christentum.,"Язичництво набагато ближче до природи, ніж християнство.",Das Heidentum ist der Natur viel näher als das Christentum.
530,Das hier ergibt keinen Sinn.,Це без сенсу.,Das ergibt keinen Sinn.
531,Das hier ergibt keinen Sinn.,Це не має сенсу.,Das ergibt keinen Sinn.
532,"Das hier ist haargenau das Buch, nach dem ich suchte.","Це саме та книга, яку я шукав.","Das ist genau das Buch, nach dem ich gesucht habe."
533,Das hier ist mein Bruder Tom.,Це мій брат Том.,Das ist mein Bruder Tom.
534,Das hoffe ich.,"Сподіваюся, що так.",Ich hoffe es.
535,Das hoffe ich.,Я на це сподіваюся.,Das hoffe ich.
536,Das interessiert mich nicht.,Це мене не цікавить.,Das interessiert mich nicht.
537,Das ist alles deine Schuld!,Це все твоя вина.,Es ist alles deine Schuld.
538,Das ist alles deine Schuld!,Це все твоя провина.,Es ist alles deine Schuld.
539,"Das ist alles, was ich versprechen kann.","Це все, що я можу пообіцяти.","Das ist alles, was ich versprechen kann."
540,Das ist alles?,Це все?,Ist das alles?
541,Das ist auch wahr.,Це також вірно.,Auch das ist wahr.
542,Das ist auf meinem Mist gewachsen.,Це була моя ідея.,Das war meine Idee.
543,Das ist bequem.,Зручно.,Das ist bequem.
544,"Das ist besser, oder?","Так краще, так?","So ist es besser, oder?"
545,Das ist besser.,Так краще.,So ist es besser.
546,Das ist besser.,Так ліпше.,So ist es besser.
547,Das ist Copacabana!,Це Копакабана!,Das ist Copacabana!
548,"Das ist das Dümmste, was ich je gesagt habe.","Це найбільша нісенітниця, яку я коли-небудь казав.","Das ist der größte Unsinn, den ich je gesagt habe."
549,Das ist das Interessanteste.,Це саме цікаве.,Das ist interessant.
550,Das ist das letzte Mal.,Це в останній раз.,Das ist das letzte Mal.
551,Das ist dein Buch.,Це твоя книжка.,Das ist dein Buch.
552,Das ist deine Aufgabe.,Це твоя робота.,Das ist dein Job.
553,Das ist dein Hauptproblem.,Це твоя головна проблема.,Das ist dein größtes Problem.
554,"Das ist dein Hut, oder?","Це твій капелюх, так?","Das ist dein Hut, oder?"
555,Das ist dein Platz.,Це твоє місце.,Das ist dein Platz.
556,Das ist deins.,Це твій.,Das gehört dir.
557,"Das ist der Grund, weshalb ich herkam.","Це і є причина, чому я сюди прийшов.","Das ist der Grund, warum ich hierher gekommen bin."
558,Das ist der heißeste Sommer seit 50 Jahren.,Це найспекотніше літо за п’ятдесят років.,Es ist der heißeste Sommer in 50 Jahren.
559,Das ist der letzte Zug.,Це останній потяг.,Das ist der letzte Zug.
560,"Das ist der Mann, den ich gut kenne.","Це людина, яку я добре знаю.","Das ist der Mann, den ich gut kenne."
561,Das ist der Rechner meiner Mutter.,Це комп'ютер моєї мами.,Das ist der Computer meiner Mutter.
562,Das ist der wichtigste Grund.,Це найважливіша причина.,Das ist der wichtigste Grund.
563,Das ist die Ansicht eines Dilettanten.,Це думка дилетанта.,Das ist die Idee des Dilettants.
564,Das ist die einzige Möglichkeit.,Це єдина можливість.,Das ist die einzige Möglichkeit.
565,Das ist die erste Reise meines Lebens.,Це перша подорож у моєму житті.,Das ist die erste Reise meines Lebens.
566,Das ist die Kamera meiner Schwester.,Це фотоапарат моєї сестри.,Das ist die Kamera meiner Schwester.
567,"Das ist doch nicht so einfach, wie ich dachte.","Це не так просто, як мені здавалося.","Es ist nicht so einfach, wie ich dachte."
568,Das ist durchaus möglich.,Це цілком можливо.,Das ist absolut möglich.
569,Das ist ein Adverb.,Це прислівник.,Das ist ein Adverb.
570,Das ist ein altes Gesetz.,Це стародавній закон.,Das ist ein altes Gesetz.
571,Das ist ein Boot.,Це човен.,Das ist ein Boot.
