Unnamed: 0,de,uk,TRANSLATION,BLEU_Score,avg
212,Besser ein Vogel in der Hand als zehn in der Luft.,"Краще синиця в жмені, ніж журавель в небі.",Besser ein Vogel in der Hand als zehn in der Luft.,1.0,0.8304443303979759
213,Besser.,Так ліпше.,Besser.,1.821831989445342e-231,0.8304443303979759
214,Betreibst du irgendwelche Sportarten?,Ти займаєшся якими-небудь видами спорту?,Betreibst du irgendwelche Sportarten?,1.0,0.8304443303979759
215,Betty ist eine Serienmörderin.,Бетті - серійна вбивця.,Betty ist eine Serienmörderin.,1.0,0.8304443303979759
216,Betty kam als letzte.,Беті прийшла останньою.,Betty kam als letzte.,1.0,0.8304443303979759
217,Betty spricht sehr gut Esperanto.,Беті дуже добре розмовляє на есперанто.,Betty spricht sehr gut Есперанто.,0.668740304976422,0.8304443303979759
218,Beweise es.,Доведи це.,Beweise е.,1.5319719891192393e-231,0.8304443303979759
219,"Bezahl, was du möchtest.","Заплати стільки, скільки хочеш.","Bezahl, was ду möchtest.",1.0547686614863434e-154,0.8304443303979759
220,Biegen Sie an der Kreuzung rechts ab.,Поверніть праворуч на перехресті.,Biegen Sie an der Kreuzung rechts ab.,1.0,0.8304443303979759
221,Bill geht oft in den Park.,Білл часто ходить до парку.,Bill geht oft in den Park.,1.0,0.8304443303979759
222,Billig ist teuer.,Скупий платить двічі.,Billig ist teuer.,1.2213386697554703e-77,0.8304443303979759
223,Bill kommt nächste Woche zurück.,Біл повернеться наступного тижня.,Bill kommt nächste Woche zurück.,1.0,0.8304443303979759
224,Bill lebt nah am Meer.,Біл живе недалеко від моря.,Bill lebt nah am Meer.,1.0,0.8304443303979759
225,Bill raucht nicht mehr.,Білл більше не палить.,Bill raucht nicht mehr.,1.0,0.8304443303979759
226,"Bill, ruf mich heute Abend an.","Біле, зателефонуй мені сьогодні ввечері.","Bill, ruf mich heute Abend an.",1.0,0.8304443303979759
227,Bill war in Japan.,Біл був у Японії.,Bill war in Japan.,1.0,0.8304443303979759
228,Bill wohnt in der Nähe des Meeres.,Біл живе недалеко від моря.,Bill wohnt in der Nähe des Meeres.,1.0,0.8304443303979759
229,Bin ich bereit?,Я готова?,Bin ich bereit?,1.0,0.8304443303979759
230,Bin ich bereit?,Я готовий?,Bin ich bereit?,1.0,0.8304443303979759
231,Bin ich gefeuert?,Я звільнена?,Bin ich gefeuert?,1.0,0.8304443303979759
232,Bin ich in London?,Чи я в Лондоні?,Bin ich in London?,1.0,0.8304443303979759
233,Bin ich in London?,Я в Лондоні?,Bin ich in London?,1.0,0.8304443303979759
234,Bis bald!,Побачимося!,Bis bald!,1.491668146240062e-154,0.8304443303979759
235,Bis fünf Uhr wird er wieder zurück sein.,Він повернеться з школи до п'ятої.,Bis fünf Uhr wird er wieder zurück sein.,1.0,0.8304443303979759
236,Bis morgen!,До завтра!,Bis morgen!,1.491668146240062e-154,0.8304443303979759
237,Bis nächste Woche!,Побачимося наступного тижня.,Bis nächste Woche!,1.2213386697554703e-77,0.8304443303979759
238,Bis später!,Побачимось пізніше!,Bis später!,1.491668146240062e-154,0.8304443303979759
239,Bist du am Arbeiten?,Ти на роботі?,Bist du am Arbeiten?,1.0,0.8304443303979759
240,Bist du Amerikaner?,Ти американець?,Bist du Amerikaner?,1.0,0.8304443303979759
241,Bist du an Musik interessiert?,Тебе цікавить музика?,Bist du an Musik зацікавлений?,0.537284965911771,0.8304443303979759
242,Bist du Atheist?,Ти атеїст?,Bist du Atheist?,1.0,0.8304443303979759
243,Bist du Atheist?,Ти атеїстка?,Bist du Atheist?,1.0,0.8304443303979759
244,Bist du aus den Vereinigten Staaten?,Ти зі Сполучених Штатів?,Bist ду aus den Vereinigten Staaten?,0.6434588841607617,0.8304443303979759
245,Bist du Ausländer?,Ти іноземець?,Bist du Ausländer?,1.0,0.8304443303979759
246,Bist du bei mir?,Ти зі мною?,Bist du bei mir?,1.0,0.8304443303979759
247,Bist du bereit anzufangen?,Готовий починати?,Bist du bereit anzufangen?,1.0,0.8304443303979759
248,"Bist du bereit, aus dem Haus zu gehen?",Готовий іти надвір?,"Bist du bereit, aus dem Haus zu gehen?",1.0,0.8304443303979759
249,Bist du Deutscher?,Ти німець?,Bist du Deutscher?,1.0,0.8304443303979759
250,Bist du dick?,Ти гладкий?,Bist ду дик?,1.5319719891192393e-231,0.8304443303979759
251,Bist du eine gute Tänzerin?,Ти добре танцюєш?,Bist du eine gute Tänzerin?,1.0,0.8304443303979759
252,Bist du ein Einzelkind?,Ти єдина дитина?,Bist du ein Einzelkind?,1.0,0.8304443303979759
253,Bist du ein guter Tänzer?,Ти добре танцюєш?,Bist du ein guter Tänzer?,1.0,0.8304443303979759
254,Bist du ein Mensch?,Ти людина?,Bist du ein Mensch?,1.0,0.8304443303979759
255,Bist du ein Vampir?,Ти вампір?,Bist du ein Vampir?,1.0,0.8304443303979759
256,Bist du Engländer?,Ти англієць?,Bist du Engländer?,1.0,0.8304443303979759
257,Bist du enttäuscht?,Ти розчарована?,Bist du enttäuscht?,1.0,0.8304443303979759
258,Bist du es?,Це ти?,Bist ду е?,1.5319719891192393e-231,0.8304443303979759
259,Bist du fertig?,Ти готова?,Bist du fertig?,1.0,0.8304443303979759
260,Bist du fertig?,Ти готовий?,Bist du fertig?,1.0,0.8304443303979759
261,Bist du gesund?,Ти здорова?,Bist ду gesund?,1.0547686614863434e-154,0.8304443303979759
262,Bist du gesund?,Ти здоровий?,Bist ду gesund?,1.0547686614863434e-154,0.8304443303979759
263,"Bist du gewarnt, bist du gewappnet.",Попереджений - означає озброєнний.,"Bist ду геwarnt, bist ду gewappnet.",1.5319719891192393e-231,0.8304443303979759
264,Bist du heute beschäftigt?,Ти сьогодні зайнятий?,Bist du heute beschäftigt?,1.0,0.8304443303979759
265,Bist du heute in die Schule gegangen?,Ти сьогодні ходив до школи?,Bist du heute in die Schule gegangen?,1.0,0.8304443303979759
266,Bist du heute in die Schule gegangen?,Ти сьогодні ходила до школи?,Bist du heute in die Schule gegangen?,1.0,0.8304443303979759
267,Bist du hier beschäftigt?,Ти тут зайнята?,Bist du hier beschäftigt?,1.0,0.8304443303979759
268,Bist du hier beschäftigt?,Ти тут зайнятий?,Bist du hier beschäftigt?,1.0,0.8304443303979759
269,Bist du in Australien?,Ти в Австралії?,Bist du in Австраліан?,7.380245217279165e-78,0.8304443303979759
270,Bist du in Tom verliebt?,Ти закохана у Тома?,Bist du in Tom verliebt?,1.0,0.8304443303979759
271,Bist du in Tom verliebt?,Ти закоханий у Тома?,Bist du in Tom verliebt?,1.0,0.8304443303979759
272,Bist du Japaner?,Ти японець?,Bist ду Japaner?,1.0547686614863434e-154,0.8304443303979759
273,Bist du jemals in Afrika gewesen?,Ти колись був у Африці?,Bist du jemals in Afrika gewesen?,1.0,0.8304443303979759
274,Bist du jemals in Afrika gewesen?,Ти колись була в Африці?,Bist du jemals in Afrika gewesen?,1.0,0.8304443303979759
275,Bist du Marys Ehemann?,Ти чоловік Мері?,Bist du Marys Ehemann?,1.0,0.8304443303979759
276,Bist du mit deinen Hausaufgaben fertig?,Ти вже доробив домашнє завдання?,Bist du mit deinen Hausaufgaben fertig?,1.0,0.8304443303979759
277,Bist du mit den Hausaufgaben fertig?,Ти вже доробив домашнє завдання?,Bist du mit den Hausaufgaben fertig?,1.0,0.8304443303979759
278,Bist du nervös?,Ти нервуєш?,Bist du nervös?,1.0,0.8304443303979759
279,Bist du nicht Toms Mutter?,Хіба ти не мама Тома?,Bist du nicht Toms Mutter?,1.0,0.8304443303979759
280,Bist du nicht Tom?,Хіба ти не Том?,Bist du nicht Tom?,1.0,0.8304443303979759
281,Bist du noch immer müde?,Ти все ще сонний?,Bist du noch immer müde?,1.0,0.8304443303979759
282,Bist du noch verheiratet?,Ти все ще одружена?,Bist du noch verheiratet?,1.0,0.8304443303979759
283,Bist du schlechter Laune?,В тебе поганий настрій?,Bist ду schlechter Laune?,7.380245217279165e-78,0.8304443303979759
284,Bist du schon mal in Indien gewesen?,Ти колись бував у Індії?,Bist du schon mal in Indien gewesen?,1.0,0.8304443303979759
285,Bist du sicher?,Ти впевнений?,Bist du sicher?,1.0,0.8304443303979759
286,Bist du stolz auf deinen Vater?,Ти пишаєшся своїм батьком?,Bist du stolz auf deinen Vater?,1.0,0.8304443303979759
287,Bist du traurig?,Тобі сумно?,Bist ду траurig?,1.5319719891192393e-231,0.8304443303979759
288,Bist du übelgelaunt?,В тебе поганий настрій?,Bist du übelgelaunt?,1.0,0.8304443303979759
289,Bist du über achtzehn?,Ти старше 18?,Bist du über achtzehn?,1.0,0.8304443303979759
290,Bist du Übersetzer?,Ти перекладач?,Bist du Übersetzer?,1.0,0.8304443303979759
291,Bist du Vegetarierin?,Ти вегетаріанка?,Bist du Vegetarierin?,1.0,0.8304443303979759
292,Bist du verheiratet?,Ти заміжня?,Bist ду verheiratet?,1.0547686614863434e-154,0.8304443303979759
293,Bist du zehn Jahre alt?,Тобі десять років?,Bist du zehn Jahre alt?,1.0,0.8304443303979759
294,Bist du zurückgekommen?,Ти повернувся?,Bist du zurückgekommen?,1.0,0.8304443303979759
295,Bitte beantworten Sie diese Frage für mich.,"Будь-ласка, дай мені відповідь на це запитання.",Bitte beantworten Sie diese Frage für mich.,1.0,0.8304443303979759
296,Bitte beeil dich!,"Будь ласка, поквапся!",Bitte beeil dich!,1.2213386697554703e-77,0.8304443303979759
297,Bitte bleiben Sie sitzen.,"Будь ласка, не вставайте.",Bitte bleiben Sie sitzen.,1.0,0.8304443303979759
298,Bitte entferne den Kommentar.,"Видалiть коментар, будь-ласка.",Bitte entferne den Kommentar.,1.0,0.8304443303979759
299,"Bitte entschuldigen Sie, aber ich glaube das ist mein Platz.","Перепрошую, але я думаю, що це моє місце.","Bitte entschuldigen Sie, aber ich glaube das ist mein Platz.",1.0,0.8304443303979759
300,Bitte entschuldigen Sie mein Zuspätkommen.,Перепрошую за запізнення.,Bitte entschuldigen Sie mein Zuspätkommen.,1.0,0.8304443303979759
301,Bitte erlauben Sie mir zu gehen.,"Будь ласка, дозвольте мені піти.",Bitte erlauben Sie mir zu gehen.,1.0,0.8304443303979759
302,Bitte komm in drei Tagen.,"Будь ласка, прийди за три дні.",Bitte komm in drei Tagen.,1.0,0.8304443303979759
303,"Bitte, mach dir keine Sorgen.","Не турбуйся, будь ласка.","Bitte, mach dir keine Sorgen.",1.0,0.8304443303979759
304,Bitte nehmen Sie Platz!,"Сідайте, будь ласка!",Bitte nehmen Sie Platz!,1.0,0.8304443303979759
305,Bitte nicht im Klassenzimmer rennen.,"Будь-ласка, не бігай у класі.",Bitte nicht im Klassenzimmer rennen.,1.0,0.8304443303979759
306,Bitte öffnen Sie ihre Tasche.,"Відкрийте сумку, будь ласка.",Bitte öffnen Sie ihre Tasche.,1.0,0.8304443303979759
307,Bitte öffnen Sie seine Tasche.,"Відкрийте сумку, будь ласка.",Bitte öffnen Sie seine Tasche.,1.0,0.8304443303979759
308,Bitte rufen Sie ihn an.,"Зателефонуйте йому, будь ласка.",Bitte rufen Sie ihn an.,1.0,0.8304443303979759
309,Bitte schön.,Нема за що.,Bitte schön.,1.491668146240062e-154,0.8304443303979759
310,Bitte sende es mir per Fax.,"Відправ мені це факсом, будь ласка.",Bitte sende es mir per Fax.,1.0,0.8304443303979759
311,Bitte singe ein Lied.,"Заспівай пісню, будь ласка.",Bitte singe ein Lied.,1.0,0.8304443303979759
312,Bitte sprechen Sie langsamer.,"Будь ласка, розмовляйте повільніше.",Bitte sprechen Sie langsamer.,1.0,0.8304443303979759
313,Bitte stehen Sie nicht auf.,"Не вставайте, будь ласка.",Bitte stehen Sie nicht auf.,1.0,0.8304443303979759
314,Bitte steh nicht auf.,"Не вставай, будь ласка.",Bitte steh nicht auf.,1.0,0.8304443303979759
315,Bitte steht nicht auf.,"Не вставайте, будь ласка.",Bitte steht nicht auf.,1.0,0.8304443303979759
316,"Bitte Tom, nicht auf mich zu warten!",Попроси Тома не чекати на мене.,"Bitte Tom, nicht auf mich zu warten!",1.0,0.8304443303979759
317,"Bitte, trink etwas!",Випийте щось.,"Будьте, тринк etwas!",1.384292958842266e-231,0.8304443303979759
318,Bitte übersetzen Sie diesen japanischen Text ins Französische.,"Перекладіть цей японський текст на французьку, будь ласка.",Bitte übersetzen Sie diesen japanischen Text ins Französische.,1.0,0.8304443303979759
319,Bitte verbinden Sie mich mit Herrn Smith.,"З'єднайте мене з паном Смітом, будь ласка.",Bitte verbinden Sie mich mit Herrn Smith.,1.0,0.8304443303979759
320,Bitte weine nicht.,"Не плач, будь ласка.",Bitte weine nicht.,1.2213386697554703e-77,0.8304443303979759
321,Bitte zeigen Sie mir diese Fotos.,"Будьте ласкаві, покажіть мені ці фотографії.",Bitte zeigen Sie mir diese Fotos.,1.0,0.8304443303979759
322,Bleibt Tom zum Abendessen?,Том залишиться на вечерю?,Bleibt Tom zum Abendessen?,1.0,0.8304443303979759
323,Blinde glauben nicht an die Liebe auf den ersten Blick.,Сліпі не вірять у кохання з першого погляду.,Blinde glauben nicht an die Liebe auf den ersten Blick.,1.0,0.8304443303979759
324,"Bob aß die Schnecke, dann erbrach er sich.","Боб з'їв равлика, потім виригав.","Боб aß die Schnecke, dann erbrach er sich.",0.8408964152537145,0.8304443303979759
325,Bob hat mir geholfen.,Боб мені допоміг.,Боб Hat mir geholfen.,8.636168555094496e-78,0.8304443303979759
326,Bob war sehr glücklich.,Боб був дуже щасливий.,Боб war sehr glücklich.,8.636168555094496e-78,0.8304443303979759
327,Boston ist langweilig.,Бостон нудний.,Boston ist langweilig.,1.2213386697554703e-77,0.8304443303979759
328,Boston verändert sich.,Бостон змінюється.,Boston verändert sich.,1.2213386697554703e-77,0.8304443303979759
329,Bratislava ist die Hauptstadt der Slowakei.,Братислава - столиця Словаччини.,Bratislava ist die Hauptstadt der Slowakei.,1.0,0.8304443303979759
330,Brauchen Sie einen Krankenwagen?,Вам потрібна швидка допомога?,Brauchen Sie einen Krankenwagen?,1.0,0.8304443303979759
331,Brauchen Sie Geld?,Вам потрібні гроші?,Brauchen Sie Geld?,1.0,0.8304443303979759
332,Brauchen wir einen Plan B?,"Ми потребуємо плану ""Б""?",Brauchen wir einen Plan B?,1.0,0.8304443303979759
333,Brauchen wir einen Plan B?,"Нам потрібний план ""Б""?",Brauchen wir einen Plan B?,1.0,0.8304443303979759
334,Brauchst du meine Hilfe noch?,Тобі все ще потрібна моя допомога?,Brauchst ду meine Hilfe noch?,0.537284965911771,0.8304443303979759
335,Brauchst du unsere Hilfe?,Тобі потрібна наша допомога?,Brauchst ду unsere Hilfe?,7.380245217279165e-78,0.8304443303979759
336,Brauchst du viel Geld?,Тобі потрібно багато грошей?,Brauchst ду viel Geld?,7.380245217279165e-78,0.8304443303979759
337,Braucht ihr einen Krankenwagen?,Вам потрібна швидка?,Braucht ihr einen Krankenwagen?,1.0,0.8304443303979759
338,Braucht ihr einen Krankenwagen?,Вам потрібна швидка допомога?,Braucht ihr einen Krankenwagen?,1.0,0.8304443303979759
339,Brian hat einen Lippenstift für Kate gekauft.,Брайан купив для Кейт губну помаду.,Brian hat einen Lippenstift für Kate gekauft.,1.0,0.8304443303979759
340,Brich niemals dein Versprechen!,Ніколи не порушуй своєї обіцянки.,Brich niemals dein Versprechen!,1.0,0.8304443303979759
341,Bringen Sie mir etwas kaltes Wasser.,Принесіть мені холодної води.,Bringen Sie mir etwas kaltes Wasser.,1.0,0.8304443303979759
342,Bring es mir.,Принеси його мені.,Bring es mir.,1.2213386697554703e-77,0.8304443303979759
343,"Bring mir etwas Wasser, aber schnell!","Принеси мені води, швиденько.","Bring mir etwas Wasser, aber schnell!",1.0,0.8304443303979759
344,Bronislaw ist 18 Jahre alt.,Броніславу вісімнадцять років.,Bronislaw ist 18 Jahre alt.,1.0,0.8304443303979759
345,"Brustschwimmen kann ich, aber Rückenschwimmen nicht.","Я можу плисти на животі, але не на спині.","Brustschwimmen kann ich, aber Rückenschwimmen nicht.",1.0,0.8304443303979759
346,Bulgarien ist ein wunderschönes Land.,Болгарія - прекрасна країна.,Bulgarien ist ein wunderschönes Land.,1.0,0.8304443303979759
347,Butter macht man aus Milch.,Масло роблять з молока.,Butter macht man aus Milch.,1.0,0.8304443303979759
348,Butter wird aus Milch gemacht.,Масло роблять з молока.,Butter wird aus Milch gemacht.,1.0,0.8304443303979759
349,Carol hat Kopfweh.,У Керол болить голова.,Carol hat Kopfweh.,1.2213386697554703e-77,0.8304443303979759
350,Caty ist lesbisch.,Кеті лесбіянка.,Caty ist lesbisch.,1.2213386697554703e-77,0.8304443303979759
351,Champagner wird aus Frankreich importiert.,Шампанське імпортують із Франції.,Champagner wird aus Frankreich importiert.,1.0,0.8304443303979759
352,China ist das größste Land Asiens.,Китай - найбільша країна в Азії.,China ist das größste Land Asiens.,1.0,0.8304443303979759
353,China ist das größte Land in Asien.,Китай - найбільша країна в Азії.,China ist das größte Land in Asien.,1.0,0.8304443303979759
354,China ist ein großes Land.,Китай - велика країна.,China ist ein großes Land.,1.0,0.8304443303979759
355,China ist größer als Japan.,"Китай більший, ніж Японія.",China ist größer als Japan.,1.0,0.8304443303979759
356,Christiano Ronaldo ist ein Fußballspieler.,Кріштіану Роналду - футболіст.,Christiano Ronaldo ist ein Fußballspieler.,1.0,0.8304443303979759
357,Christoph Kolumbus entdeckte Amerika im Jahre 1492.,Христофор Колумб відкрив Америку в 1492 році.,Кристоф Колумбс entdeckte Америка im Jahre 1492.,5.395774370246974e-78,0.8304443303979759
358,"Christoph Kolumbus fand einst den Heiligen Gral, warf ihn aber weg, weil ihm die Farbe nicht gefiel.","Христофор Колумб якось знайшов Святий Грааль, але викинув його, бо йому не сподобався колір.","Christoph Kolumbus fand einst den Heiligen Gral, warf ihn aber weg, weil ihm die Farbe nicht gefiel.",1.0,0.8304443303979759
359,Computer machen die Leute dumm.,Комп'ютери роблять із людей ідіотів.,Computer machen die Leute dumm.,1.0,0.8304443303979759
360,Computer machen Menschen dumm.,Комп'ютери роблять із людей ідіотів.,Computer machen Menschen dumm.,1.0,0.8304443303979759
361,Coolidge hat die Wahl im Jahre 1924 spielend gewonnen.,Кулідж легко переміг на виборах у 1924 році.,Coolidge hat die Wahl im Jahre 1924 spielend виграний.,0.8633400213704505,0.8304443303979759
362,Cristiano Ronaldo ist ein Fußballspieler.,Кріштіану Роналду - футболіст.,Cristiano Ronaldo ist ein Fußballspieler.,1.0,0.8304443303979759
363,Cristiano Ronaldo ist Fußballer.,Кріштіану Роналду - футболіст.,Cristiano Ronaldo ist Fußballer.,1.0,0.8304443303979759
364,"Da du gekocht hast, kümmere ich mich um den Abwasch.","Оскільки ти готувала, я помию посуд.","Da du gekocht hast, kümmere ich mich um den Abwasch.",1.0,0.8304443303979759
365,Da fehlt eine Seite.,Не вистачає сторінки.,Da fehlt eine Seite.,1.0,0.8304443303979759
366,Dafür bin ich zu alt.,Я для цього занадто стара.,Dafür bin ich zu alt.,1.0,0.8304443303979759
367,Da hängt ein Schatten über mir.,Наді мною нависла тінь.,Da hängt ein Schatten über mir.,1.0,0.8304443303979759
368,Da ist eine Katze auf dem Stuhl.,На стільці є кіт.,Da ist eine Katze auf dem Stuhl.,1.0,0.8304443303979759
369,Da ist eine weiße Taube auf dem Dach.,На даху сидить білий голуб.,Da ist eine weiße Taube auf dem Dach.,1.0,0.8304443303979759
370,Da ist ein Hund an der Tür.,Біля дверей стоїть пес.,Da ist ein Hund an der Tür.,1.0,0.8304443303979759
371,Damals waren wir jünger.,Тоді ми були молодші.,Damals waren wir jünger.,1.0,0.8304443303979759
372,Damals war Mary Toms Freundin.,Мері тоді була дівчиною Тома.,Damals war Mary Toms Freundin.,1.0,0.8304443303979759
373,Damals war Tom mein einziger Freund.,На той час Том був моїм єдиним другом.,Damals war Tom mein einziger Freund.,1.0,0.8304443303979759
374,Damit hat Tom nicht gerechnet.,Том цього не очікував.,Damit hat Tom nicht gerechnet.,1.0,0.8304443303979759
375,Daniela hat mich zu Hause angerufen.,Даніела зателефонувала мені додому.,Daniela hat mich zu Hause angerufen.,1.0,0.8304443303979759
376,Dank dir habe ich meinen Appetit verloren.,Через тебе я втратив апетит.,Dank dir habe ich meinen Appetit verloren.,1.0,0.8304443303979759
377,„Danke!“ – „Bitte!“,"Дякую. - ""Прошу"".",Danke! Bitte!,1.495450763465957e-232,0.8304443303979759
378,"Danke, das ist alles.","Дякую, це все.","Danke, das ist alles.",1.0,0.8304443303979759
379,"Danke, dass Sie mich eingeladen haben.","Дякую, що запросили мене!","Danke, dass Sie mich eingeladen haben.",1.0,0.8304443303979759
380,Danke für das Kompliment!,Дякую за комплімент.,Danke für das Kompliment!,1.0,0.8304443303979759
381,Danke für das wunderbare Essen.,Дякую за чудову їжу.,Danke für das wunderbare Essen.,1.0,0.8304443303979759
382,Danke für deine Antwort.,Дякую за відповідь.,Danke für deine Antwort.,1.0,0.8304443303979759
383,Danke für deine Erklärung.,Дякую за пояснення.,Danke für deine Erklärung.,1.0,0.8304443303979759
384,Danke für deine freundlichen Worte!,Дякую за добрі слова.,Danke für deine freundlichen Worte!,1.0,0.8304443303979759
385,Danke für deine Geduld!,Дякую тобі за терпіння.,Danke für deine Geduld!,1.0,0.8304443303979759
386,Danke für dein Geschenk.,Дякую тобі за подарунок.,Danke für dein Geschenk.,1.0,0.8304443303979759
387,Danke für die Blumen!,Дякую за квіти.,Danke für die Blumen!,1.0,0.8304443303979759
388,"Danke für die Hilfe. ""Keine Ursache.""",«Дякую за допомогу.» «Нема за що.»,"Danke für die Hilfe. ""Keine Ursache.""",1.0,0.8304443303979759
389,Danke für die Pizza!,Дякуємо за піцу.,Danke für die Pizza!,1.0,0.8304443303979759
390,Danke für die Praline. Sie war köstlich.,Дякую за шоколад. Він був смачним.,Danke für die Praline. Sie war köstlich.,1.0,0.8304443303979759
391,Danke für Ihre freundlichen Worte!,Дякую за добрі слова.,Danke für Ihre freundlichen Worte!,1.0,0.8304443303979759
392,Danke für Ihre Geduld.,Дякуємо вам за терпіння.,Danke für Ihre Geduld.,1.0,0.8304443303979759
393,Danke fürs Schreiben.,"Дякую за те, що написали.",Danke fürs Schreiben.,1.2213386697554703e-77,0.8304443303979759
394,„Danke!“ – „Keine Ursache!“,"Дякую. - ""Прошу"".",Danke! Keine Ursache!,2.3691392088083773e-155,0.8304443303979759
395,„Danke!“ – „Keine Ursache!“,"Спасибі. - ""Нема за що"".",Danke! Keine Ursache!,2.3691392088083773e-155,0.8304443303979759
396,„Danke!“ – „Nichts zu danken!“,"Спасибі. - ""Нема за що"".",Danke! Nichts zu danken!,2.6588123770544538e-78,0.8304443303979759
397,Danke schön.,Щиро дякую!,Danke schön.,1.491668146240062e-154,0.8304443303979759
398,Danke trotzdem.,"У будь якому разі, дякую.",Danke trotzdem.,1.491668146240062e-154,0.8304443303979759
399,Danke!,Дякуємо!,Danke!,1.821831989445342e-231,0.8304443303979759
400,Danke!,Дякую!,Danke!,1.821831989445342e-231,0.8304443303979759
401,Danke.,Дякую!,Danke.,1.821831989445342e-231,0.8304443303979759
402,Danke.,Дякую.,Danke.,1.821831989445342e-231,0.8304443303979759
403,Dank seiner Mutter wurde er berühmt.,Він став відомим завдяки матері.,Dank seiner Mutter wurde er berühmt.,1.0,0.8304443303979759
404,Dann eilte sie nach Hause.,А потім вона поквапилася додому.,Dann eilte sie nach Hause.,1.0,0.8304443303979759
405,Dann fangen wir an.,"Ну, тоді розпочнімо.",Dann fangen wir an.,1.0,0.8304443303979759
406,Dann haben wir ein Problem...,Тоді ми маємо проблему...,Dann haben wir ein Problem...,1.0,0.8304443303979759
407,Dann komme ich später wieder.,Тоді я повернуся пізніше.,Dann komme ich später wieder.,1.0,0.8304443303979759
408,Dann komme ich später wieder.,Тоді я прийду пізніше.,Dann komme ich später wieder.,1.0,0.8304443303979759
409,Dann legte er sich auf das gleiche Bett.,Він тоді лежав на тому ж ліжку.,Dann legte er sich auf das gleiche Bett.,1.0,0.8304443303979759
410,Dann zögern Sie nicht.,Тож не вагайтеся.,Dann zögern Sie nicht.,1.0,0.8304443303979759
411,Danzig ist die größte Stadt im Norden Polens.,Гданськ - найбільше місто на півночі Польщі.,Danzig ist die größte Stadt im Norden Polens.,1.0,0.8304443303979759
412,Darf ich deinen Kuli benutzen?,Можна скористатися твоєю ручкою?,Darf ich deinen Kuli benutzen?,1.0,0.8304443303979759
413,Darf ich den Fernseher ausschalten?,Можна мені вимкнути телевізор?,Darf ich den Fernseher ausschalten?,1.0,0.8304443303979759
414,Darf ich den Fernseher ausschalten?,Можна я вимкну телевізор?,Darf ich den Fernseher ausschalten?,1.0,0.8304443303979759
415,Darf ich dich Tom nennen?,Можна я буду називати тебе Томом?,Darf ich dich Tom nennen?,1.0,0.8304443303979759
416,Darf ich dich unterbrechen?,Можна тебе перебити?,Darf ich dich unterbrechen?,1.0,0.8304443303979759
417,Darf ich dir jetzt etwas zu trinken anbieten?,Я можу тобі запропонувати щось зараз випити?,Darf ich dir jetzt etwas zu trinken anbieten?,1.0,0.8304443303979759
418,Darf ich es noch einmal machen?,Можу я це зробити ще раз?,Darf ich es noch einmal machen?,1.0,0.8304443303979759
419,Darf ich etwas sagen?,Можна мені щось сказати?,Darf ich etwas sagen?,1.0,0.8304443303979759
420,Darf ich euer Telefon benutzen?,Можна мені скористатися вашим телефоном?,Darf ich euer Telefon benutzen?,1.0,0.8304443303979759
421,"Darf ich fragen, wie alt du bist?","Можна мені запитати, скільки тобі років?","Darf ich fragen, wie alt du bist?",1.0,0.8304443303979759
422,"Darf ich fragen, wie alt du bist?","Можна поцікавитися, скільки тобі років?","Darf ich fragen, wie alt du bist?",1.0,0.8304443303979759
423,"Darf ich fragen, wie alt Sie sind?","Можу я запитати, скільки вам років?","Darf ich fragen, wie alt Sie sind?",1.0,0.8304443303979759
424,Darf ich hier rauchen?,Чи можу я тут курити?,Darf ich hier rauchen?,1.0,0.8304443303979759
425,"Darf ich Ihnen helfen, gnädige Frau?","Чи можу вам чимось допомогти, пані?","Darf ich Ihnen helfen, gnädige Frau?",1.0,0.8304443303979759
426,Darf ich mal deinen Bart anfassen?,Можна мені доторктнутися до твоєї бороди?,Darf ich mal deinen Bart anfassen?,1.0,0.8304443303979759
427,Darf ich mich neben euch setzen?,Можна сісти поруч із вами?,Darf ich mich neben euch setzen?,1.0,0.8304443303979759
428,Darf ich mich vorstellen? Mein Name ist Tom Frisch.,Можна представитися? Мене звуть Том Фріш.,Darf ich mich vorstellen? Mein Name ist Tom Frisch.,1.0,0.8304443303979759
429,Darf ich mich vorstellen?,Можна мені представитися?,Darf ich mich vorstellen?,1.0,0.8304443303979759
430,Darf ich mit ihr sprechen?,Чи можу я поговорити з нею?,Darf ich mit ihr sprechen?,1.0,0.8304443303979759
431,Darf ich nach Hause gehen?,Можна мені піти додому?,Darf ich nach Hause gehen?,1.0,0.8304443303979759
432,Darf ich Sie unterbrechen?,Можна вас перебити?,Darf ich Sie unterbrechen?,1.0,0.8304443303979759
433,Darum musst du dir keine Sorgen machen.,Тобі не треба хвилюватися за це.,Darum musst ду dir keine Sorgen machen.,0.488923022434901,0.8304443303979759
434,Darum sind wir hier.,Ось чому ми тут.,Darum sind wir hier.,1.0,0.8304443303979759
435,Darum werde ich mich morgen kümmern.,Я займуся цим завтра.,Darum werde ich mich morgen kümmern.,1.0,0.8304443303979759
436,Darwin hat alles verändert.,Дарвін все змінив.,Darwin hat alles verändert.,1.0,0.8304443303979759
437,"Das Adjektiv endet auf ""a"".","Прикментник закінчується на ""а"".","Das Adjektiv endet auf ""a"".",1.0,0.8304443303979759
438,Das also ist Tatoeba.,"Отже, це Татоеба.",Das also ist Tatoeba.,1.0,0.8304443303979759
