Unnamed: 0,de,uk,TRANSLATION,chrf_score
265,Bist du heute in die Schule gegangen?,Ти сьогодні ходив до школи?,Bist du heute in die Schule gegangen?,100.0
266,Bist du heute in die Schule gegangen?,Ти сьогодні ходила до школи?,Bist du heute in die Schule gegangen?,100.0
267,Bist du hier beschäftigt?,Ти тут зайнята?,Bist du hier beschäftigt?,100.0
268,Bist du hier beschäftigt?,Ти тут зайнятий?,Bist du hier beschäftigt?,100.0
269,Bist du in Australien?,Ти в Австралії?,Bist du in Австраліан?,33.48277761396957
270,Bist du in Tom verliebt?,Ти закохана у Тома?,Bist du in Tom verliebt?,100.0
271,Bist du in Tom verliebt?,Ти закоханий у Тома?,Bist du in Tom verliebt?,100.0
272,Bist du Japaner?,Ти японець?,Bist ду Japaner?,59.53046953046953
273,Bist du jemals in Afrika gewesen?,Ти колись був у Африці?,Bist du jemals in Afrika gewesen?,100.0
274,Bist du jemals in Afrika gewesen?,Ти колись була в Африці?,Bist du jemals in Afrika gewesen?,100.0
275,Bist du Marys Ehemann?,Ти чоловік Мері?,Bist du Marys Ehemann?,100.0
276,Bist du mit deinen Hausaufgaben fertig?,Ти вже доробив домашнє завдання?,Bist du mit deinen Hausaufgaben fertig?,100.0
277,Bist du mit den Hausaufgaben fertig?,Ти вже доробив домашнє завдання?,Bist du mit den Hausaufgaben fertig?,100.0
278,Bist du nervös?,Ти нервуєш?,Bist du nervös?,100.0
279,Bist du nicht Toms Mutter?,Хіба ти не мама Тома?,Bist du nicht Toms Mutter?,100.0
280,Bist du nicht Tom?,Хіба ти не Том?,Bist du nicht Tom?,100.0
281,Bist du noch immer müde?,Ти все ще сонний?,Bist du noch immer müde?,100.0
282,Bist du noch verheiratet?,Ти все ще одружена?,Bist du noch verheiratet?,100.0
283,Bist du schlechter Laune?,В тебе поганий настрій?,Bist ду schlechter Laune?,76.94668936155004
284,Bist du schon mal in Indien gewesen?,Ти колись бував у Індії?,Bist du schon mal in Indien gewesen?,100.0
285,Bist du sicher?,Ти впевнений?,Bist du sicher?,100.0
286,Bist du stolz auf deinen Vater?,Ти пишаєшся своїм батьком?,Bist du stolz auf deinen Vater?,100.0
287,Bist du traurig?,Тобі сумно?,Bist ду траurig?,32.84521034521035
288,Bist du übelgelaunt?,В тебе поганий настрій?,Bist du übelgelaunt?,100.0
289,Bist du über achtzehn?,Ти старше 18?,Bist du über achtzehn?,100.0
290,Bist du Übersetzer?,Ти перекладач?,Bist du Übersetzer?,100.0
291,Bist du Vegetarierin?,Ти вегетаріанка?,Bist du Vegetarierin?,100.0
292,Bist du verheiratet?,Ти заміжня?,Bist ду verheiratet?,70.64958462017286
293,Bist du zehn Jahre alt?,Тобі десять років?,Bist du zehn Jahre alt?,100.0
294,Bist du zurückgekommen?,Ти повернувся?,Bist du zurückgekommen?,100.0
295,Bitte beantworten Sie diese Frage für mich.,"Будь-ласка, дай мені відповідь на це запитання.",Bitte beantworten Sie diese Frage für mich.,100.0
296,Bitte beeil dich!,"Будь ласка, поквапся!",Bitte beeil dich!,100.0
297,Bitte bleiben Sie sitzen.,"Будь ласка, не вставайте.",Bitte bleiben Sie sitzen.,100.0
298,Bitte entferne den Kommentar.,"Видалiть коментар, будь-ласка.",Bitte entferne den Kommentar.,100.0
299,"Bitte entschuldigen Sie, aber ich glaube das ist mein Platz.","Перепрошую, але я думаю, що це моє місце.","Bitte entschuldigen Sie, aber ich glaube das ist mein Platz.",100.0
300,Bitte entschuldigen Sie mein Zuspätkommen.,Перепрошую за запізнення.,Bitte entschuldigen Sie mein Zuspätkommen.,100.0
301,Bitte erlauben Sie mir zu gehen.,"Будь ласка, дозвольте мені піти.",Bitte erlauben Sie mir zu gehen.,100.0
302,Bitte komm in drei Tagen.,"Будь ласка, прийди за три дні.",Bitte komm in drei Tagen.,100.0
303,"Bitte, mach dir keine Sorgen.","Не турбуйся, будь ласка.","Bitte, mach dir keine Sorgen.",100.0
304,Bitte nehmen Sie Platz!,"Сідайте, будь ласка!",Bitte nehmen Sie Platz!,100.0
305,Bitte nicht im Klassenzimmer rennen.,"Будь-ласка, не бігай у класі.",Bitte nicht im Klassenzimmer rennen.,100.0
306,Bitte öffnen Sie ihre Tasche.,"Відкрийте сумку, будь ласка.",Bitte öffnen Sie ihre Tasche.,100.0
307,Bitte öffnen Sie seine Tasche.,"Відкрийте сумку, будь ласка.",Bitte öffnen Sie seine Tasche.,100.0
308,Bitte rufen Sie ihn an.,"Зателефонуйте йому, будь ласка.",Bitte rufen Sie ihn an.,100.0
309,Bitte schön.,Нема за що.,Bitte schön.,100.0
310,Bitte sende es mir per Fax.,"Відправ мені це факсом, будь ласка.",Bitte sende es mir per Fax.,100.0
311,Bitte singe ein Lied.,"Заспівай пісню, будь ласка.",Bitte singe ein Lied.,100.0
312,Bitte sprechen Sie langsamer.,"Будь ласка, розмовляйте повільніше.",Bitte sprechen Sie langsamer.,100.0
313,Bitte stehen Sie nicht auf.,"Не вставайте, будь ласка.",Bitte stehen Sie nicht auf.,100.0
314,Bitte steh nicht auf.,"Не вставай, будь ласка.",Bitte steh nicht auf.,100.0
315,Bitte steht nicht auf.,"Не вставайте, будь ласка.",Bitte steht nicht auf.,100.0
316,"Bitte Tom, nicht auf mich zu warten!",Попроси Тома не чекати на мене.,"Bitte Tom, nicht auf mich zu warten!",100.0
317,"Bitte, trink etwas!",Випийте щось.,"Будьте, тринк etwas!",18.185652525463706
318,Bitte übersetzen Sie diesen japanischen Text ins Französische.,"Перекладіть цей японський текст на французьку, будь ласка.",Bitte übersetzen Sie diesen japanischen Text ins Französische.,100.0
319,Bitte verbinden Sie mich mit Herrn Smith.,"З'єднайте мене з паном Смітом, будь ласка.",Bitte verbinden Sie mich mit Herrn Smith.,100.0
320,Bitte weine nicht.,"Не плач, будь ласка.",Bitte weine nicht.,100.0
321,Bitte zeigen Sie mir diese Fotos.,"Будьте ласкаві, покажіть мені ці фотографії.",Bitte zeigen Sie mir diese Fotos.,100.0
322,Bleibt Tom zum Abendessen?,Том залишиться на вечерю?,Bleibt Tom zum Abendessen?,100.0
323,Blinde glauben nicht an die Liebe auf den ersten Blick.,Сліпі не вірять у кохання з першого погляду.,Blinde glauben nicht an die Liebe auf den ersten Blick.,100.0
324,"Bob aß die Schnecke, dann erbrach er sich.","Боб з'їв равлика, потім виригав.","Боб aß die Schnecke, dann erbrach er sich.",90.13292637562661
325,Bob hat mir geholfen.,Боб мені допоміг.,Боб Hat mir geholfen.,72.02165481577248
326,Bob war sehr glücklich.,Боб був дуже щасливий.,Боб war sehr glücklich.,81.61970489950366
327,Boston ist langweilig.,Бостон нудний.,Boston ist langweilig.,100.0
328,Boston verändert sich.,Бостон змінюється.,Boston verändert sich.,100.0
329,Bratislava ist die Hauptstadt der Slowakei.,Братислава - столиця Словаччини.,Bratislava ist die Hauptstadt der Slowakei.,100.0
330,Brauchen Sie einen Krankenwagen?,Вам потрібна швидка допомога?,Brauchen Sie einen Krankenwagen?,100.0
331,Brauchen Sie Geld?,Вам потрібні гроші?,Brauchen Sie Geld?,100.0
332,Brauchen wir einen Plan B?,"Ми потребуємо плану ""Б""?",Brauchen wir einen Plan B?,100.0
333,Brauchen wir einen Plan B?,"Нам потрібний план ""Б""?",Brauchen wir einen Plan B?,100.0
334,Brauchst du meine Hilfe noch?,Тобі все ще потрібна моя допомога?,Brauchst ду meine Hilfe noch?,79.30166572557877
335,Brauchst du unsere Hilfe?,Тобі потрібна наша допомога?,Brauchst ду unsere Hilfe?,75.9662972046873
336,Brauchst du viel Geld?,Тобі потрібно багато грошей?,Brauchst ду viel Geld?,71.33793429652563
337,Braucht ihr einen Krankenwagen?,Вам потрібна швидка?,Braucht ihr einen Krankenwagen?,100.0
338,Braucht ihr einen Krankenwagen?,Вам потрібна швидка допомога?,Braucht ihr einen Krankenwagen?,100.0
339,Brian hat einen Lippenstift für Kate gekauft.,Брайан купив для Кейт губну помаду.,Brian hat einen Lippenstift für Kate gekauft.,100.0
340,Brich niemals dein Versprechen!,Ніколи не порушуй своєї обіцянки.,Brich niemals dein Versprechen!,100.0
341,Bringen Sie mir etwas kaltes Wasser.,Принесіть мені холодної води.,Bringen Sie mir etwas kaltes Wasser.,100.0
342,Bring es mir.,Принеси його мені.,Bring es mir.,100.0
343,"Bring mir etwas Wasser, aber schnell!","Принеси мені води, швиденько.","Bring mir etwas Wasser, aber schnell!",100.0
344,Bronislaw ist 18 Jahre alt.,Броніславу вісімнадцять років.,Bronislaw ist 18 Jahre alt.,100.0
345,"Brustschwimmen kann ich, aber Rückenschwimmen nicht.","Я можу плисти на животі, але не на спині.","Brustschwimmen kann ich, aber Rückenschwimmen nicht.",100.0
346,Bulgarien ist ein wunderschönes Land.,Болгарія - прекрасна країна.,Bulgarien ist ein wunderschönes Land.,100.0
347,Butter macht man aus Milch.,Масло роблять з молока.,Butter macht man aus Milch.,100.0
348,Butter wird aus Milch gemacht.,Масло роблять з молока.,Butter wird aus Milch gemacht.,100.0
349,Carol hat Kopfweh.,У Керол болить голова.,Carol hat Kopfweh.,100.0
350,Caty ist lesbisch.,Кеті лесбіянка.,Caty ist lesbisch.,100.0
351,Champagner wird aus Frankreich importiert.,Шампанське імпортують із Франції.,Champagner wird aus Frankreich importiert.,100.0
352,China ist das größste Land Asiens.,Китай - найбільша країна в Азії.,China ist das größste Land Asiens.,100.0
353,China ist das größte Land in Asien.,Китай - найбільша країна в Азії.,China ist das größte Land in Asien.,100.0
354,China ist ein großes Land.,Китай - велика країна.,China ist ein großes Land.,100.0
355,China ist größer als Japan.,"Китай більший, ніж Японія.",China ist größer als Japan.,100.0
356,Christiano Ronaldo ist ein Fußballspieler.,Кріштіану Роналду - футболіст.,Christiano Ronaldo ist ein Fußballspieler.,100.0
357,Christoph Kolumbus entdeckte Amerika im Jahre 1492.,Христофор Колумб відкрив Америку в 1492 році.,Кристоф Колумбс entdeckte Америка im Jahre 1492.,36.389239140412464
358,"Christoph Kolumbus fand einst den Heiligen Gral, warf ihn aber weg, weil ihm die Farbe nicht gefiel.","Христофор Колумб якось знайшов Святий Грааль, але викинув його, бо йому не сподобався колір.","Christoph Kolumbus fand einst den Heiligen Gral, warf ihn aber weg, weil ihm die Farbe nicht gefiel.",100.0
359,Computer machen die Leute dumm.,Комп'ютери роблять із людей ідіотів.,Computer machen die Leute dumm.,100.0
360,Computer machen Menschen dumm.,Комп'ютери роблять із людей ідіотів.,Computer machen Menschen dumm.,100.0
361,Coolidge hat die Wahl im Jahre 1924 spielend gewonnen.,Кулідж легко переміг на виборах у 1924 році.,Coolidge hat die Wahl im Jahre 1924 spielend виграний.,81.14598978467384
362,Cristiano Ronaldo ist ein Fußballspieler.,Кріштіану Роналду - футболіст.,Cristiano Ronaldo ist ein Fußballspieler.,100.0
363,Cristiano Ronaldo ist Fußballer.,Кріштіану Роналду - футболіст.,Cristiano Ronaldo ist Fußballer.,100.0
364,"Da du gekocht hast, kümmere ich mich um den Abwasch.","Оскільки ти готувала, я помию посуд.","Da du gekocht hast, kümmere ich mich um den Abwasch.",100.0
365,Da fehlt eine Seite.,Не вистачає сторінки.,Da fehlt eine Seite.,100.0
366,Dafür bin ich zu alt.,Я для цього занадто стара.,Dafür bin ich zu alt.,100.0
367,Da hängt ein Schatten über mir.,Наді мною нависла тінь.,Da hängt ein Schatten über mir.,100.0
368,Da ist eine Katze auf dem Stuhl.,На стільці є кіт.,Da ist eine Katze auf dem Stuhl.,100.0
369,Da ist eine weiße Taube auf dem Dach.,На даху сидить білий голуб.,Da ist eine weiße Taube auf dem Dach.,100.0
370,Da ist ein Hund an der Tür.,Біля дверей стоїть пес.,Da ist ein Hund an der Tür.,100.0
371,Damals waren wir jünger.,Тоді ми були молодші.,Damals waren wir jünger.,100.0
372,Damals war Mary Toms Freundin.,Мері тоді була дівчиною Тома.,Damals war Mary Toms Freundin.,100.0
373,Damals war Tom mein einziger Freund.,На той час Том був моїм єдиним другом.,Damals war Tom mein einziger Freund.,100.0
374,Damit hat Tom nicht gerechnet.,Том цього не очікував.,Damit hat Tom nicht gerechnet.,100.0
375,Daniela hat mich zu Hause angerufen.,Даніела зателефонувала мені додому.,Daniela hat mich zu Hause angerufen.,100.0
376,Dank dir habe ich meinen Appetit verloren.,Через тебе я втратив апетит.,Dank dir habe ich meinen Appetit verloren.,100.0
377,„Danke!“ – „Bitte!“,"Дякую. - ""Прошу"".",Danke! Bitte!,39.906031460074075
378,"Danke, das ist alles.","Дякую, це все.","Danke, das ist alles.",100.0
379,"Danke, dass Sie mich eingeladen haben.","Дякую, що запросили мене!","Danke, dass Sie mich eingeladen haben.",100.0
380,Danke für das Kompliment!,Дякую за комплімент.,Danke für das Kompliment!,100.0
381,Danke für das wunderbare Essen.,Дякую за чудову їжу.,Danke für das wunderbare Essen.,100.0
382,Danke für deine Antwort.,Дякую за відповідь.,Danke für deine Antwort.,100.0
383,Danke für deine Erklärung.,Дякую за пояснення.,Danke für deine Erklärung.,100.0
384,Danke für deine freundlichen Worte!,Дякую за добрі слова.,Danke für deine freundlichen Worte!,100.0
385,Danke für deine Geduld!,Дякую тобі за терпіння.,Danke für deine Geduld!,100.0
386,Danke für dein Geschenk.,Дякую тобі за подарунок.,Danke für dein Geschenk.,100.0
387,Danke für die Blumen!,Дякую за квіти.,Danke für die Blumen!,100.0
388,"Danke für die Hilfe. ""Keine Ursache.""",«Дякую за допомогу.» «Нема за що.»,"Danke für die Hilfe. ""Keine Ursache.""",100.0
389,Danke für die Pizza!,Дякуємо за піцу.,Danke für die Pizza!,100.0
390,Danke für die Praline. Sie war köstlich.,Дякую за шоколад. Він був смачним.,Danke für die Praline. Sie war köstlich.,100.0
391,Danke für Ihre freundlichen Worte!,Дякую за добрі слова.,Danke für Ihre freundlichen Worte!,100.0
392,Danke für Ihre Geduld.,Дякуємо вам за терпіння.,Danke für Ihre Geduld.,100.0
393,Danke fürs Schreiben.,"Дякую за те, що написали.",Danke fürs Schreiben.,100.0
394,„Danke!“ – „Keine Ursache!“,"Дякую. - ""Прошу"".",Danke! Keine Ursache!,63.70333111975559
395,„Danke!“ – „Keine Ursache!“,"Спасибі. - ""Нема за що"".",Danke! Keine Ursache!,63.70333111975559
396,„Danke!“ – „Nichts zu danken!“,"Спасибі. - ""Нема за що"".",Danke! Nichts zu danken!,67.37259853625407
397,Danke schön.,Щиро дякую!,Danke schön.,100.0
398,Danke trotzdem.,"У будь якому разі, дякую.",Danke trotzdem.,100.0
399,Danke!,Дякуємо!,Danke!,100.0
400,Danke!,Дякую!,Danke!,100.0
401,Danke.,Дякую!,Danke.,100.0
402,Danke.,Дякую.,Danke.,100.0
403,Dank seiner Mutter wurde er berühmt.,Він став відомим завдяки матері.,Dank seiner Mutter wurde er berühmt.,100.0
404,Dann eilte sie nach Hause.,А потім вона поквапилася додому.,Dann eilte sie nach Hause.,100.0
405,Dann fangen wir an.,"Ну, тоді розпочнімо.",Dann fangen wir an.,100.0
406,Dann haben wir ein Problem...,Тоді ми маємо проблему...,Dann haben wir ein Problem...,100.0
407,Dann komme ich später wieder.,Тоді я повернуся пізніше.,Dann komme ich später wieder.,100.0
408,Dann komme ich später wieder.,Тоді я прийду пізніше.,Dann komme ich später wieder.,100.0
409,Dann legte er sich auf das gleiche Bett.,Він тоді лежав на тому ж ліжку.,Dann legte er sich auf das gleiche Bett.,100.0
410,Dann zögern Sie nicht.,Тож не вагайтеся.,Dann zögern Sie nicht.,100.0
411,Danzig ist die größte Stadt im Norden Polens.,Гданськ - найбільше місто на півночі Польщі.,Danzig ist die größte Stadt im Norden Polens.,100.0
412,Darf ich deinen Kuli benutzen?,Можна скористатися твоєю ручкою?,Darf ich deinen Kuli benutzen?,100.0
413,Darf ich den Fernseher ausschalten?,Можна мені вимкнути телевізор?,Darf ich den Fernseher ausschalten?,100.0
414,Darf ich den Fernseher ausschalten?,Можна я вимкну телевізор?,Darf ich den Fernseher ausschalten?,100.0
415,Darf ich dich Tom nennen?,Можна я буду називати тебе Томом?,Darf ich dich Tom nennen?,100.0
416,Darf ich dich unterbrechen?,Можна тебе перебити?,Darf ich dich unterbrechen?,100.0
417,Darf ich dir jetzt etwas zu trinken anbieten?,Я можу тобі запропонувати щось зараз випити?,Darf ich dir jetzt etwas zu trinken anbieten?,100.0
418,Darf ich es noch einmal machen?,Можу я це зробити ще раз?,Darf ich es noch einmal machen?,100.0
419,Darf ich etwas sagen?,Можна мені щось сказати?,Darf ich etwas sagen?,100.0
420,Darf ich euer Telefon benutzen?,Можна мені скористатися вашим телефоном?,Darf ich euer Telefon benutzen?,100.0
421,"Darf ich fragen, wie alt du bist?","Можна мені запитати, скільки тобі років?","Darf ich fragen, wie alt du bist?",100.0
422,"Darf ich fragen, wie alt du bist?","Можна поцікавитися, скільки тобі років?","Darf ich fragen, wie alt du bist?",100.0
423,"Darf ich fragen, wie alt Sie sind?","Можу я запитати, скільки вам років?","Darf ich fragen, wie alt Sie sind?",100.0
424,Darf ich hier rauchen?,Чи можу я тут курити?,Darf ich hier rauchen?,100.0
425,"Darf ich Ihnen helfen, gnädige Frau?","Чи можу вам чимось допомогти, пані?","Darf ich Ihnen helfen, gnädige Frau?",100.0
426,Darf ich mal deinen Bart anfassen?,Можна мені доторктнутися до твоєї бороди?,Darf ich mal deinen Bart anfassen?,100.0
427,Darf ich mich neben euch setzen?,Можна сісти поруч із вами?,Darf ich mich neben euch setzen?,100.0
428,Darf ich mich vorstellen? Mein Name ist Tom Frisch.,Можна представитися? Мене звуть Том Фріш.,Darf ich mich vorstellen? Mein Name ist Tom Frisch.,100.0
429,Darf ich mich vorstellen?,Можна мені представитися?,Darf ich mich vorstellen?,100.0
430,Darf ich mit ihr sprechen?,Чи можу я поговорити з нею?,Darf ich mit ihr sprechen?,100.0
431,Darf ich nach Hause gehen?,Можна мені піти додому?,Darf ich nach Hause gehen?,100.0
432,Darf ich Sie unterbrechen?,Можна вас перебити?,Darf ich Sie unterbrechen?,100.0
433,Darum musst du dir keine Sorgen machen.,Тобі не треба хвилюватися за це.,Darum musst ду dir keine Sorgen machen.,84.3572284411643
434,Darum sind wir hier.,Ось чому ми тут.,Darum sind wir hier.,100.0
435,Darum werde ich mich morgen kümmern.,Я займуся цим завтра.,Darum werde ich mich morgen kümmern.,100.0
436,Darwin hat alles verändert.,Дарвін все змінив.,Darwin hat alles verändert.,100.0
437,"Das Adjektiv endet auf ""a"".","Прикментник закінчується на ""а"".","Das Adjektiv endet auf ""a"".",100.0
438,Das also ist Tatoeba.,"Отже, це Татоеба.",Das also ist Tatoeba.,100.0
439,Das ängstigt mich überhaupt nicht.,Я ані трохи цього не боюся.,Das ängstigt mich überhaupt nicht.,100.0
440,Das Apartment war mit Möbeln im viktorianischen Stil eingerichtet.,Квартира була мебльована у вікторіанському стилі.,Das Apartment war mit Möbeln im viktorianischen Stil eingerichtet.,100.0
441,Das Auto blieb im Schlamm stecken.,Машина застрягла в багні.,Das Auto blieb im Schlamm stecken.,100.0
442,Das Auto fuhr gegen einen Telegrafenmast.,Автівка зіткнулась із телеграфним стовпом.,Das Auto fuhr gegen einen Telegrafenmast.,100.0
443,Das Auto ist gelb.,Машина жовта.,Das Auto ist gelb.,100.0
444,Das Auto ist in der Garage.,Машина в гаражі.,Das Auto ist in der Garage.,100.0
445,Das Auto springt nicht an.,Автомобіль не заводиться.,Das Auto springt nicht an.,100.0
446,Das Auto stieß mit dem LKW zusammen.,Автомобіль врізався у вантажівку.,Das Auto stieß mit dem LKW zusammen.,100.0
447,Das Baby läuft noch nicht.,Дитина ще не ходить.,Das Baby läuft noch nicht.,100.0
448,Das Baby schläft gerade.,Немовля спить.,Das Baby schläft gerade.,100.0
449,Das Baby schlief in der Wiege ein.,Дитина заснула в колисці.,Das Baby schlief in der Wiege ein.,100.0
450,Das Baby sucht seine Mutter.,Дитя шукає маму.,Das Baby sucht seine Mutter.,100.0
451,Das Baseballspiel endete unentschieden.,Бейсбольний матч закінчився з нічийним результатом.,Das Baseballspiel endete unentschieden.,100.0
452,Das beste Buch über das Leben ist das Leben selbst.,Найкраща книжка про життя - власне життя.,Das beste Buch über das Leben ist das Leben selbst.,100.0
453,Das Bett kostet 120 Euro!,Ліжко коштує 120 євро!,Das Bett kostet 120 Євро!,76.92151129457632
454,Das beweist meine Theorie.,Це доводить мою теорію.,Das beweist meine Theorie.,100.0
455,Das Bier ist sehr kalt.,Пиво дуже холодне.,Das Bier ist sehr kalt.,100.0
456,Das Bild erinnerte mich an Schottland.,Картина нагадувала менi Шотландiю.,Das Bild erinnerte mich an Schottland.,100.0
457,"Das brauchst du mir nicht zu sagen, du Idiot.","Можеш не говорити мені цього, ідіоте.","Das brauchst du mir nicht zu sagen, ду Idiot.",85.83796678495445
458,Das Brot ist frisch.,Хліб свіжий.,Das Brot ist frisch.,100.0
459,Das Buch enthält viele Abbildungen.,Ця книжка має багато малюнків.,Das Buch enthält viele Abbildungen.,100.0
460,"Das Bücherlesen hörte auf, das Privileg einer Minderheit zu sein.",Читання книжок більше не є привілеєм меншості.,"Das Bücherlesen hörte auf, das Privileg einer Minderheit zu sein.",100.0
461,Das Buch handelt von Sternen.,Ця книжка про зірки.,Das Buch handelt von Sternen.,100.0
462,Das Buch hat mir gefallen.,Мені сподобалася ця книжка.,Das Buch hat mir gefallen.,100.0
463,Das Buch ist alt.,Книжка стара.,Das Buch ist alt.,100.0
464,Das Buch ist geeignet für deine Bedürfnisse.,Ця книга відповідає твоїм потребам.,Das Buch ist geeignet für deine Bedürfnisse.,100.0
465,Das Buch ist geeignet für Ihre Bedürfnisse.,Ця книга не відповідає Вашим потребам.,Das Buch ist geeignet für Ihre Bedürfnisse.,100.0
466,Das Buch ist gelb.,Книжка жовта.,Das Buch ist gelb.,100.0
467,Das Buch ist neu.,Ця книжка нова.,Das Buch ist neu.,100.0
468,Das Buch ist orange.,Книжка помаранчева.,Das Buch ist orange.,100.0
469,Das Buch ist weiß.,Книга біла.,Das Buch ist weiß.,100.0
470,Das Ei ist ein universelles Symbol des Lebens und der Wiedergeburt.,Яйце - це універсальний символ життя та відродження.,Das Ei ist ein universelles Symbol des Lebens und der Wiedergeburt.,100.0
471,Das Eis ist geschmolzen.,Крига розтанула.,Das Eis ist geschmolzen.,100.0
472,Das Eis schmolz.,Крига розтанула.,Das Eis schmolz.,100.0
473,Das Ende ist nahe.,Кінець вже близько.,Das Ende ist nahe.,100.0
474,Das ergibt keinen Sinn.,Це не має сенсу.,Das ergibt keinen Sinn.,100.0
475,Das erraten Sie nie!,Цього ти ніколи не вгадаєш!,Das erraten Sie nie!,100.0
476,Das erwies sich als richtig.,Це виявилося правдою.,Das erwies sich als richtig.,100.0
477,"Das Esperanto-Alphabet enthält achtundzwanzig Buchstaben: a, b, c, ĉ, d, e, f, g, ĝ, h, ĥ, i, j, ĵ, k, l, m, n, o, p, r, s, ŝ, t, u, ŭ, v, z.","Алфавіт есперанто має 28 літер: a, b, c, ĉ, d, e, f, g, ĝ, h, ĥ, i, j, ĵ, k, l, m, n, o, p, r, s, ŝ, t, u, ŭ, v, z.","Das Esperanto-Alphabet enthält achtundzwanzig Buchstaben: a, b, c, t, d, e, f, g, yt, h, ĥ, i, j, m, n, o, p, r, s, t, u, ŭ, v, z.",80.47123937220248
478,Das esse ich nicht.,Я цього не буду їсти.,Das esse ich nicht.,100.0
479,Das Experiment scheiterte.,Експеримент закінчився невдало.,Das Experiment scheiterte.,100.0
480,Das Fahrrad gehört mir.,Цей велосипед належить мені.,Das Fahrrad gehört mir.,100.0
481,Das Fahrrad ist meins.,Цей велосипед належить мені.,Das Fahrrad ist meins.,100.0
482,Das Feld ist mit Schnee bedeckt.,Поле вкрите снігом.,Das Feld ist mit Schnee bedeckt.,100.0
483,Das Fenster ist offen.,Вікно відкрите.,Das Fenster ist offen.,100.0
484,Das Fenster öffnete sich.,Вікно відчинилося.,Das Fenster öffnete sich.,100.0
485,Das Fernsehen zerstört das Familienleben.,Телевізор руйнує родинне життя.,Das Fernsehen zerstört das Familienleben.,100.0
486,Das Fest ist zu Ende.,Вечірка закінчилася.,Das Fest ist zu Ende.,100.0
487,Das Fest ist zu Ende.,Вечірка скінчилася.,Das Fest ist zu Ende.,100.0
488,Das Festival war alles andere als öde.,Фестиваль був далеко не нудним.,Das Festival war alles andere als öde.,100.0
489,Das Fleisch ist roh.,М'ясо сире.,Das Fleisch ist roh.,100.0
490,Das Fleisch ist zäh.,М'ясо жорстке.,Das Fleisch ist zäh.,100.0
491,Das Fleisch schmeckt schlecht.,М'ясо погано смакує.,Das Fleisch schmeckt schlecht.,100.0
492,Das Flugzeug flog über den Wolken.,Літак летів над хмарами.,Das Flugzeug flog über den Wolken.,100.0
493,Das Flugzeug ist abgestürzt.,Літак розбився.,Das Flugzeug ist abgestürzt.,100.0
494,Das Flugzeug wird in einer Stunde abheben.,Літак злетить за годину.,Das Flugzeug wird in einer Stunde abheben.,100.0
495,Das frisch getraute Paar ging Hand in Hand.,"Молоді йшли, узявшись за руки.",Das frisch getraute Paar ging Hand in Hand.,100.0
496,Das Frühstück ist bereitet.,Сніданок готовий.,Das Frühstück ist bereitet.,100.0
497,Das Frühstück war sehr gut.,Сніданок був дуже смачний.,Das Frühstück war sehr gut.,100.0
498,Das funktioniert nie.,Це ніколи не запрацює.,Das funktioniert nie.,100.0
499,Das funktioniert nie.,Це ніколи не спрацює.,Das funktioniert nie.,100.0
500,Das Gebäude hat ein russischer Architekt gebaut.,Будинок побудовано російським архитектором.,Das Gebäude hat ein russischer Architekt gebaut.,100.0
501,Das Gebäude wurde von einem russischen Architekten erbaut.,Будинок побудовано російським архитектором.,Das Gebäude wurde von einem russischen Architekten erbaut.,100.0
502,Das Gegenteil von unpraktisch ist praktisch.,Антонім до непрактичності - практичність.,Das Gegenteil von unpraktisch ist praktisch.,100.0
503,Das gehört ihm.,Це його.,Das gehört ihm.,100.0
504,Das geht dich nichts an.,Це не твоя справа.,Das geht dich nichts an.,100.0
505,Das geht vorbei.,Це піде у минуле.,Das geht vorbei.,100.0
506,Das gesamteuropäische Sabantuy 2014 findet am 7. Juni in Riga statt. Die jährliche Organisation dieses nationalen tatarischen Feiertags in den Kulturhauptstädten des Kontinents wird zu einer guten Tradition.,Європейський Сабантуй 2014 року проходить 7 червня в Ризі. Щорічна організація цих татарських національних свят у культурних столицях континенту стає доброю традицією.,Das gesamteuropäische Sabantuy 2014 findet am 7. Juni in Riga statt. Die jährliche Organisation dieses nationalen tatarischen Feiertags in den Kulturhauptstädten des Kontinents wird zu einer guten Tradition.,100.0
507,Das Geschäft ist gerade gegenüber von meinem Haus.,Крамниця знаходиться просто навпроти мого будинку.,Das Geschäft ist gerade gegenüber von meinem Haus.,100.0
508,Das Gesetz ist für alle gleich.,Закон один для всіх.,Das Gesetz ist für alle gleich.,100.0
509,Das Gesicht ist der Spiegel der Seele.,Обличчя - дзеркало душі.,Das Gesicht ist der Spiegel der Seele.,100.0
510,Das glaube ich nicht.,Я в це не вірю.,Das glaube ich nicht.,100.0
511,Das glaube ich.,"Думаю, так.",Das glaube ich.,100.0
512,"Das Glück liegt nicht darin, viele Dinge zu besitzen.","Щастя не в тому, щоб володіти багатьма речами.","Das Glück liegt nicht darin, viele Dinge zu besitzen.",100.0
513,Das habe ich als Kind immer gemacht.,Я так робив у дитинстві.,Das habe ich als Kind immer gemacht.,100.0
514,Das habe ich von dir gelernt.,Я навчилася цього у тебе.,Das habe ich von dir gelernt.,100.0
515,Das habe ich wirklich nicht von dir erwartet.,Я такого від тебе дійсно не очікувала.,Das habe ich wirklich nicht von dir erwartet.,100.0
516,Das hast du absichtlich getan!,Ти це спеціально зробив!,Das hast du absichtlich getan!,100.0
