EN,UK
Do you plan to support more devices?,Чи існують плани підтримки більшої кількості пристроїв?
I'm taking all my money and I'm placing it against us.,Всі свої фінанси я поставлю на наш з тобою програш.
- Document number G24L8. - I'm not sure if-,- Документ номер Г24Л8.
Jon Snow came down from Castle Black with a wildling army and won the Battle of the Bastards.,- Джон Сноу привів армію здичавілих і переміг у Битві Бастардів.
Display Window Selection,Показ вибраного у вікні
"Check to see if a string ends in a space (which is often important when displaying it in the user interface, or when it gets concatenated with others).","Перевірити, чи закінчується рядок пробілом (часто це важливо під час його показу у інтерфейсі користувача або коли цей рядок об’ єднується з іншими)."
- What things?,- Які речі?
And then the pass of Cirith Ungol.,А потім стежкою Кіріт Унголу.
- That's not best for him.,- Це не краще для нього.
President gave me a direct order.,Президент дав мені чіткий наказ.
Get back here!,Назад сюди!
No!,Ні!
You know where they're looking?,Ти знаєш де вони шукають?
"Knowing I can count on you, I need to know that.","Знати, що я можу розраховувати на тебе, мені так це було потрібно."
That purulent little cunt? What for?,Цю маленьку гнійну вагіну?
I tell you a secret.,Открою секрет...
- The bloated administrators.,- Роздута бюрократія ...
You know I'm right.,"Погодься, я маю рацію."
That's your way out.,Це твій шлях на волю.
Toggle whether NGC objects are drawn in the sky map.,Перемикач показу об' єктів каталогу Дреєра (NGC) на карті неба.
You left the Circus shortly after I retired.,Ти пішла з Цирку майже одразу після мене.
I had to come to prison to be a crook.,"Варто було сісти у в'язницю, і я став злочинцем."
Data integrity and validity,Цілісність і коректність даних
- Of course you should.,- Та чого ти? ..
KDE-PIM Groupware Configuration Wizard,Майстер налаштування групової роботи KDE- PIM
Mon,пн
Don't stay mad at me.,Не злись на меня.
Fuckin' hell!,Хай їм грець!
You're law enforcement.,Ти з державних органів.
R-l-E-N-N-E.,"І він француз, так адже?"
Sets the maximum cost of all job filters that can be run at the same time. A limit of 0 means no limit. A typical job may need a filter limit of at least 200. Limits less than the minimum required by a job force a single job to be printed at any time. The default limit is 0 (unlimited).,"Встановлює максимальну вартість фільтрів, яка може виконуватись одночасно. Значення 0 означає без обмеження. Звичайне завдання потребує щонайменше 200; обмеження менші за мінімальне призведуть до друку всього завдання у будь- який час. Типове значення: 0 (необмежено)."
Selection (Rectangular) (S),Вибір (прямокутний) (S)
Hope I can catch the bouquet from here.,звідси я букет зловлю.
Let me die in peace.,"Дозволь мені спокійно померти. в рамках проекту ""Відео Гуртом ""Субтитрування"""
There's no other way around it.,Нічого іншого не залишається.
We know it's kind of a little weird.,"Ми знаємо, що це трохи дивно"
& CUPS; makes it really easy for manufacturers to start supporting & Linux; and & UNIX; printing for their models at reasonably low cost. The modular framework of & CUPS; facilitates to plug in any filter (=driver) with minimal effort and to access and utilize the whole printing framework that & CUPS; is creating.,"& CUPS; дуже спрощує для розробників підтримку друку у & Linux; і & UNIX; для їх моделей, для реалізації такої підтримки потрібні порівняно незначні вкладення зусиль і коштів. Модульна структура & CUPS; полегшує додавання будь- яких фільтрів (=драйверів) та доступ і використання всієї системи друку, роботу якої забезпечує & CUPS;."
The shipment's cleared.,Їдь прямо до складу.
Melt right,Плавлення праворуч
Quite a lot of things have changed.,Тепер тут багато чого нового.
We got too much riding' on this thing to leave to chance.,"Багато що залежить від нього, щоб можна було цим нехтувати."
Script to execute,Виконати сценарій
"- What are you, some kind of cop?","- Так. - Чувак, ти що, коп?"
Not mounted.,Не змонтовано.
Guess not.,"Мабуть, ні."
What does he say?,І що він далі каже?
"As soon as it's possible, we'll get out of the city.","Лише трапиться можливість, ми втечемо з міста."
"I mean, whoever killed those people back there, they... they might come back.","Я маю на увазі, хто б не вбив тих людей, вони можуть повернутись."
- Stick a needle in your eye?,увіткнути голку у твоє око?
I thought he'd burned that damned trunk on the foreshore along with everything else.,"Я думав, що він спалив цю скриню разом з усім іншим."
He decided to quit smoking.,Він вирішів покинути курити.
"Oh, those Blues are at it again.",Та що ж це! Синьокапелюшники знову за своє.
"""And the moon is shining bright","""... і яскраво світить місяць."""
I'll see you back inside.,Побачимося у хаті.
Ending balance of this statement:,Остаточний баланс цієї виписки:
"That is no way to address an officer, sergeant.","Так не звертаються до офіцера, сержанте."
File Export,Файл Експортувати
Maybe we're trying to get a response from it in the wrong place.,"Можливо, ми чекаємо на відповідь не у правильному місці."
You're kidding.,Не жартуєш?
We can book her tomorrow.,Я її завтра зареєструю.
You get me?,Зрозуміло?
- Three.,- Третьої.
"hell, yeah.",ще й як.
Shush!,Цить!
- Why are you here?,- Чому ти тут?
Try to answer as many questions as possible.,Спробуйте відповісти на якомога більше питань.
- Don't be silly.,- Не сміши.
the nine of diamonds,дев'ятку дзвінку
"No, you can't.",ні ти не можеш.
Unknown interrupt %1,Невідомій перепин% 1
Check.,Є.
"All roads, all rivers.","На всіх дорогах, всіх річках."
How was your run?,як ти побігав?
- I would never do that. I would never hurt Walter.,"Я б цього не зробив, я б не образив Уолтера."
Wait!,Стій!
Maybe I should've enjoyed it more.,"Може, треба було до неї ставитися трохи краще."
Why don't you answer me?,- Так нічого ж не горить.
I'm sorry.,Прости меня.
"In the Shadow Lands beyond Asshai, they say there are fields of ghost grass with stalks as pale as milk that glow in the night.","У краю тіней за Асшаєм, кажуть, є поля примарноїтрави зі стеблами блідими як молоко, які сяють в ночі."
Friends,Друзі
- Sure are.,- Звичайно.
"Unless Erlich jerks off four guys at a time, and then we can cut that in half.","Якщо Ерліх не смикатиме чотирьом хлопцям в той же час, і тоді ми можемо скоротити ще в два рази."
I heard the new tracks and they rock.,Я чула нові треки і вони на висоті.
I don't have time to go visit the Colosseum for the millionth time.,"Я не маю часу для того, щоб вже мільйонний раз ходити до Колезіюму."
"""be ready for business, business ready"" thing, huh?","""Готуй свій бізнес, якщо бізнес хочеш ""?"
"Please, get it out of me.","Благаю, витягніть його з мене."
Oh! Holy cow!,Бляха муха!
Jenna.,Дженна.
Hi.,Привіт.
Please.,Прошу.
Force 16-to-9 Aspect,Формат зображення 16 на 9
"The point is, Berta's the one who keeps this house running and more important, she's like family.","річ в тому, що Берта тримає цей будинок в робочому стані. більш важливо, вона типа того наче сім'я."
-You're saying this only to make me go.,"- Ти кажеш це тому, що хочеш змусити мене улетіти."
YW rotation,Обертання за YW
It's where the water's cleansed and recycled.,"Це місце, де вода очищується і використовується знову."
"That's enough to make us a target, apparently.",Це досить щоб стати мішенню.
"- Come on, get mean. - [ Whine ]",Давай.
And there's no question that this is your son.,"Й немає сумнівів, це ваш син."
I may have to get drunk for a change.,Нечасто мені хочеться напитися.
Someone need a hand?,Кому дати руку?
"Yes, ma'am.","Да, мэм."
The value displayed is the number of cells containing numeric values.,"Буде показано кількість комірок, які містять числові значення."
"As a rule, the King's council very rarely makes business with an actress unless it's up the back alley of Maiden Lane.","Як правило, королівські слуги не ведуть справ з актрисами, ну хіба що десь на задвірках театру."
I'm not gonna hurt you.,- Ні! Боляче не зроблю.
It's getting heavier.,Він стає все важчим.
"- Hey, Fred.","Привіт, Фред."
Presentation Quality,Представницька якість
"Okay, you go on now.",Ти зрозуміла?
They want to bury him.,Вони хочуть поховати його.
So take me with you when you go back.,"Ну так візьми мене з собою, коли будеш повертатися"
I want this country to realize that we stand on the edge of oblivion.,"Держава має побачити, що ми стоїмо на межі зникнення."
"Thank you, Your Grace.","Спасибі, Ваша Милість."
My parents?,Мої батьки?
A pity they let the old punishments die.,"Як шкода, що скасували старі покарання."
"- No, no.","- Ні, ні."
"By selecting this option, you can have & kde; use an external program to determine the background. This can be any program of your choosing. For more information on this option, see the section entitled Background: Using an external program.",За позначення цього пункту можна змусити & kde; використовувати зовнішню програму для визначення тла. Цією програмою може бути будь- яка з обраних вами програм. Докладніші відомості щодо цього пункту можна отримати з розділу довідки Тло: Використання зовнішньої програми.
"No, he doesn't.","Ні, не знає."
- Why? Because we don't trust strangers.,"Тому, що ми не довіряємо незнайомцям."
And you've helped the Sons of the Harpy murder the Unsullied and the Second Sons.,Ти допомогла Синам Гарпії вбивати Бездоганних і Других Синів.
The teacher permitted the boy to go home.,Вчитель відпустив хлопця додому.
(Since & kde; 3.2.3) - Set this variable to disable IPv6 support and IPv6 DNS lookups.,"(З’ явилася у & kde; 3. 2. 3) Встановіть значення « true » для цієї змінної, щоб вимкнути підтримку IPv6 та підтримку пошуку DNS на основі IPv6."
Good.,(сорт французького сиру) я не знаю.
You mean in dollars or common sense?,"Ти маєш на увазі, в доларах або одиницях здорового глузду?"
"As long as I have my eyes, I'll use them.","Поки я маю очі, я дивлюсь."
Initialization complete,Ініціалізацію завершено
- South.,- На південь.
Nah.,Ну уж нет.
What?,Я мав на увазі інший випадок.
"Don't compact your muscles now, we're just getting warmed up.","Не розслабляйся, це була тільки розминка."
There's not gonna be another payload.,"Іншого ""вантажу"" вже не буде."
"For information on the & kde; Documentation team, how to possibly join and help & kde;, see: http: / /kde. org/ documentation","Щоб дізнатися більше про команду з документування & kde;, про те, як приєднатися і допомогти & kde;, зверніться до сторінки http: // kde. org/ documentation"
They appeared out of nowhere.,"Тут були гноми, кажу ж тобі, з'явилися з нізвідки. Бородаті."
"What do you want, man?","Чого ти хочеш, чоловіче?"
With Guy.,З Гі.
She's resting.,Вона відпочиває.
And you still can't remember a word you said?,І досі не пам'ятаєш жодного сказаного тобою слова?
"You can't ask for better collateral than a man's own flesh and blood, right?","Не буває застави кращої, ніж власна плоть і кров, чи не так?"
So sorry.,Очень жаль.
And it's only getting worse.,І стає все гіршим.
And another one.,Дайте іще одну.
Try some.,Спробуй.
"Before the arrival of the printing press in Europe in the 1500's, information was highly scarce and relatively easy to control.",До появи друкарського верстату у Європі 1500-х інформація була рідкісною і відносно легко керованою.
Layout direction:,Напрямок розташування:
Transport touches down at 1600.,Літак сідає о четвертій.
"When I tell you to come into this room, this is how you'll be.",Підійми руку.
- I thought we were having a C-section.,"- Я думаю, їй робитимуть кесарево."
"See, that kind of candidate wouldn't even get elected to the student council.",Такий кандидат не пройде навіть у студентську раду!
Long ways to go yet.,Нам ще довго йти.
Kids found murdered in Riverside! - There it is.,У Ріверсайді знайдено вбитих дітей!
- Just get in the car.,-Просто сідай в машину.
A Wordpress blog client,Клієнт блогінгу Wordpress
Doesn't really seem like a choice.,Не дуже схоже на вибір.
Of course.,"Так, звичайно."
"A hyperspectral target is on the fifth floor, northwest corner.","Гіперспектральних мета знаходиться на п'ятому поверсі, північно-західному куті."
"Does this environment need an additional parameter like {n} for an integer number, {w} for a width or {} for any other parameter?","Чи потребує це середовище додаткового параметра на зразок {n} для цілих чисел, {w} для ширини або {} для будь- якого іншого параметра?"
And cut.,Солодкого спасіння
I'm free the whole afternoon.,Я абсолютно вільна.
Cannot rename a layout to have the same name as an existing layout.,"Не можна надавати компонуванню назву компонування, яке вже існує."
"Look, if she is alive, I have no idea how.","Слухайте, якщо вона жива, я поняття не маю, як це зробити."
going in for another attack.,Знов іду в атаку.
I don't care what people say.,"Мені байдуже, що кажуть люди."
"Well, hello to you, too!","І тобі привіт, кокетливий!"
We're not getting any younger.,Ми не молодшаємо.
I won't ask again.,Бо більше не питатиму.
Why are you telling me this?,Нащо ти мені це розповідаєш?
Do you understand me?,Ти мене розумієш?
"And Suavi, what do you say?","А ти що скажеш, Суаві?"
I'm Nicholas.,Я Ніколас.
An ice age here million years of mountain building there.,Він був розумним і акуратним.
Key Pair Successfully Created,Пару ключів успішно створено
manage display [display_class [auth_name auth_data]],manage дисплей [клас_ дисплеїв [ім’ я_ для_ уповноваження дані_ для_ уповноваження]]
I am safe.,- Я у безпеці.
"Enter a pattern to search for, or select a previous pattern from the list.","Введіть взірець для пошуку, або виберіть взірець зі списку попередніх."
"According to the Doctor, we are facing an enemy of unknowable power and infinite evil.","Зі слів Доктора, ми зіткнулися із ворогом небаченої сили і безмежного зла."
"Tris, I like that.",Тріс. Мені подобається.
You think that was free?,ти гадаєш це було задарма?
Yeah!,Да!
"We find what's doing the bio-programming, find Amy, get her back.","Ми знайдемо хто займався біо-програмуванням, знайдемо Емі й повернемо її."
Why the pout?,Ви чимось засмучені?
Can I get one of those?,Дасте мені одну?
I give you my word.,Даю вам слово.
The Configure & kplato;... Dialog,Діалогове вікно Налаштувати & kplato;...
"You were a tad preoccupied at the time, if you'll recall.","Ти був сильно зайнятий іншими справами в той час, якщо пам'ятаєш."
"Well, there's nothing for it.","Ну, тут нічого не поробиш."
Because I'm 50 shades of fucked up.,Бо це 50 відтінків лайна.
You with me so far?,ти поки що зі мною?
A central menubar for all KDE programs,Центральна смужка меню для всіх програм KDEName
I was never gonna let anyone see that they got to me.,Я нікому не покажу свою слабину.
"Hi, how you doing?",Доброго дня!
"You have just opened the advanced search dialog; to get the most out of it, it is suggested that you read the section in the manual on advanced searching. This dialog is also used for typing in information about images; you can find extra tips on its usage by reading about typing in.","Ви тільки- но відкрили діалогове вікно розширеного пошуку; щоб повністю ним скористатися, пропонуємо вам ознайомитися з розділом підручника щодо пошуку з додатковими можливостями. За допомогою цього вікна ви також можете ввести дані про зображення. Додаткові підказки щодо цього можна знайти у розділі щодо введення даних."
"Mentally, I mean.","Психічно, я маю на увазі."
"Come, have a seat.",Сідай.
You have infinite possibilities as an artist.,Ти маєш нескінченні можливості як митець.
Calendar system,Джалалі
You drive up?,-Ти приїхав автівкою?
Stun time,Час оглушення
Heat during the day and icy cold nights...,Спека в день і холод вночі...
"I mean,what are you insinuating?","я маю на увазі, що ви собі уявили?"
Set & Record Source,Встановити джерело & запису
"Co-maintainer, KPart creator","Спів- супровід, створив KPart"
Window size:,Розмір вікна:
"When I sold Aviato, it gave me a house, money, fancy clothes, the universal respect of all the ladies.","Коли я продав Авіато, я отримав будинок, гроші, модне шмаття, будь-яку дівчину на вибір."
I'm glad you liked it.,"Я радий, що тобі це сподобалося."
Store images in directory relative to data file,Зберегти зображення у каталозі з файлом даних
I don't think this sounds like a good idea.,"Я не думаю, що це хороша ідея."
Does that seem strange to you?,Це здається дивним.
"You're a doctor, aren't you?","Ви ж лікар, так?"
You're making my ears bleed in here.,"- Може, стулите пельки? - Від вас можна збожеволіти. У мене вже вуха кровоточать."
I was in the hospital.,Я повернулася на роботу сьогодні вранці.
You have fought well.,Ви мужньо боролися.
You have just multiplied the second fraction by %1. Our main goal is to make all parts be the same size. Try multiplying the first fraction by %2 and the second fraction by %3.,"Ви тільки- но помножили чисельник і знаменник другого дробу на% 1. Наша основна мета — зробити розмір всіх частин рівним. Спробуйте помножити чисельник і знаменник першого дробу на% 2, а другого дробу — на% 3. Inserted as% 1 in the message below."
Nueve.,Дев'ять.
"Your good health, Harry.",За твoє здopoв'я.
"They should be on-scene, three, maybe four hours.",Вони будуть над місцем через 3 або 4 години.
My duty is to protect Jerusalem.,Я присягнувся захищати Єрусалим.
"I'm sorry, they're only coded to me.","Вибач, їх закодовано тільки під мене."
"After entering the tape name and capacity, & kdat; will proceed to format the tape. ALL DATA ON THE TAPE WILL BE LOST. Once & kdat; has finished formatting the tape, the tape will be automatically mounted and is ready for use.","Після введення назви стрічки і місткості, & kdat; продовжить форматування стрічки. ВСІ ДАНІ НА СТРІЧКОВОМУ НАКОПИЧУВАЧІ БУДЕ ВТРАЧЕНО. Після того, як & kdat; завершить форматування стрічки, стрічковий накопичувач буде автоматично змонтовано, — він готовий до експлуатації."
But not you.,Але не з тобою.
Papua New Guinean Kina,Кіна Папуа- Нової ГвінеїName
Are you kidding me?,Неймовірно.
See?,Вона знає.
I was gonna tell you anyway.,Я тобі все розповім.
I'll quickly.,Я не забарюся із цим.
Not taking care of me these days.,Не дбаєш про мене сьогодні.
Both Browse allow and Browse deny accept the following notations for addresses:,"У обох полях, Дозволити перегляд і Заборонити перегляд, слід використовувати такі позначення для адрес:"
You think so?,Ти так думаєш?
It depends.,По-різному.
Didn't you also do it to the fish?,Хіба не те саме ти зробив із рибою?
This operation is not available for S/ MIME,Цю дію не можна використовувати для S/ MIME
You the craze!,Ви здуріли!
And they're all in the names of certain people on his payroll.,І всі вони - на ім'я певних людей з його співробітників.
On your feet maggot!,"Підйом, хробак!"
You've been doing it for centuries.,Ви цим займались упродовж століть.
What do you think?,Що ти думаєш?
No.,Hі.
See the kaddressbook; Handbook for additional instructions on using the & kde; address book.,Додаткові настанови щодо адресної книги & kde; можна знайти у підручнику з & kaddressbook;.
- Are you always this popular?,- Тобі завжди так дякують? - Майже.
Chapter three:,Розділ третій:
Scotland,Шотландія
Change identity information,Змінити відомості профілю
Then why did you come here?,Тоді для чого ти прийшла?
Clear enough?,Це зрозуміло?
I won't use the likes of you!,Мені не потрібні придурки!
The point is they said Fargo sent them.,"Справа в тому, що вони сказали, Фарґо послав їх."
This is the Zarn!,Я є Зарм!
Reset the statistics,Скинути всю статистику
But why would the army be telling Bible stories?,Але навіщо військовим говорити про Біблійні історії?
Horizontal Line,Горизонтальна лінія
Why is this stuff better for you than a little scotch and a twist of lemon?,"Чому, на думку лікаря Саммерса, це пійло краще за простий скотч зі шматочком лимона?"
And the truth about the farm boys I killed in their place.,"І правду про хлопчиків із хутора, яких я спалив."
Move the selected item down. The top-most column will be the first column in the list.,Пересунути вибраний елемент вниз. Верхній стовпчик буде першим стовпчиком у списку.
"I think a fire in the office demands a little more attention than my feet, don't you?","Гадаю, пожежа в офісі потребує трохи більшої уваги, ніж мої ноги, тобі не здається?"
"They sang just like that for Obote, until they realized he turned their economy into his bank account.","Вони так само співали для Оботе, до тих пір, поки він не перетворив економіку у власний банківський рахунок."
"I mean, it's nothing.","Я маю на увазі, це нічого."
End of the line.,Кінцева.
I'm sure he'd love to get us out of his hair.,що ми йому остогидли.
I got my eye on you.,Я за тобою стежу.
"- No, keep it.","- Ні, візьми."
"No, nothing in my mind.","Ні, у моїй свідомості немає нічого."
"What do you mean, ""Should""?",Що ти маєш на увазі під повинні?
Take good care of him.,Дбай про нього.
"Next, you have to choose a location for the text label. You can either just select a random location on the screen, or choose to attach the label to an object.","Потім вам слід вибрати місце для текстової мітки. Ви можете або просто вибрати випадкове місце на екрані, або з контекстного меню об’ єкта додати до нього мітку."
I got your message.,Я одержав твоє повідомлення.
I just thought this was gonna be like a book club.,"Я думала, це типу клубу для бажаючих читати."
I have to run.,Мені треба бігти.
Operation creation failed,Спроба створення операції зазнала невдачіNoun
"These are animals with personalities, with attachments.","Ці тварини мають особистості, прив'язаності."
You worked with my father.,Ви працювали з моїм батьком.
Maybe you can understand that.,Можливо ти зможеш зрозуміти це.
"Is everything all right, Mr. Turkle?","Все гаразд, містер Теркл?"
Thirsting for the coolness of your lips.,Спраг за прохолодою Ваших губ.
"If they want you for attorney general, it's your first case.","Вручив дівчинці записку, помахав пістолетом і по всьому. Якщо ти генпрокурор, то це - твоя перша судова справа."
Roll Feed,Подавання з рулону
"I'm talking about the way she looked at me this morning,","Я про те, як вона сьогодні вранці на мене дивилася."
What was Oogway thinking?,Про що думав Угвей?
Link Here,Посилання сюди
A common struggle against the ultimate enemy.,Спільна боротьба проти головного ворога.
Yeah?,Ну?
We have a new number.,У нас новий номер.
"... that you can save file descriptions that appear in the project tree? Right click on a project file, select Properties and go to the Quanta File Info tab.","... що ви можете зберігати описи файлів, що з’ являтимуться у дереві проекту? Клацніть правою кнопкою миші на файлі проекту, оберіть Властивості і перейдіть на вкладку Інформація про файл Quanta."
"I'm gonna kill you, Lee!","Я тебе приб'ю, Лі!"
I don't know how they eat that crap every day.,"Я не знаю, як вони їдять це лайно кожен день."
Split,Розділити
The scriptorium will be arranged according to my instructions.,Рукописна буде упорядкована згідно моїх інструкції.
"No, they're making us work together.","Ні, вони хочуть, щоб ми працювали разом."
Knowing who to trust is everything in this business.,Знати кому довіряти є усім в цьому бізнесі.
I got an issue.,У мене проблема.
See if they're picking anything up from the outside.,"Подивитись, може, вони щось уловили ззовні."
Turn side-to-side,Обернути з боку на бік
My name is Harry Potter.,Мене звуть Гаррі Поттер.
But once you wake up... whatever you've done will take hold and become history.,"Але коли ти прийдеш до тями, все, що ти зробив, ввійде в історію."
Nepomuk resource action plugin,Додаток дій ресурсів NepomukName
"These are some folks who have sent me midi files or a postcard, thanks to everyone! Hearing those songs and watching those postcards will keep me programming more and more on & kmid;.","Нижче ви знайдете перелік тих друзів автора, які надсилали йому файли midi та поштові листівки. Автор дуже вдячний їм всім! Прослуховування цих пісень та перегляд листівок допомагав авторові у програмуванні & kmid;."
Window-Specific Overrides,Параметри для окремих вікон
[Live from Shibuya.],[Наживо з Шібуї.]
Regenerate baseline (instead of checking),Перестворити базову лінію (замість перевірки)
I've got something!,Я щось спіймав!
So you want to go?,"Тому, може підемо?"
Do I have something here?,У мене тут якась подряпина?
Edit Mode OFF.,Режим редагування вимкнено.
I'm sorry.,Мені жаль.
Optimizing Font Output,Оптимізація виводу шрифтів
And I've heard what she does to those who defy her.,"І я також чув, як вона чинить з тими, хто не підкорився."
"He raised him up from a pup, he did.",Він же виростив його з лошати.
- Do you love him?,- Ти кохаєш його?
dbClock with reflection,dbClock з віддзеркаленням
Bye-bye.,До побачення.
Show Tooltips,Показувати підказки
This isn't a war we can win.,У цій війні нам не перемогти.
"Drug smuggler, Kenny. There's a difference.","Контрабандистом, Кенні."
Silly.,Дурненький.
Contact the administrator of the server for further assistance.,Щодо подальшої допомоги зв' яжіться з адміністратором сервера.
& User Certificate:,Сертифікат & користувача:
"Import Playlists: allows & amarok; to import any playlists (. pls and. m3u files) it finds while scanning for tracks to add to your collection. You will find these on the ""Playlists"" sidebar.","Імпортувати списки композицій: дозволяє & amarok; імпортувати будь- які списки композицій (файли. pls і. m3u), які буде знайдено під час сканування тек у пошуках композицій, які слід додати до збірки. Після такого сканування ви зможете знайти ці списку на бічній панелі « Списки композицій »."
That's what's wrong with me.,ось що зi мною.
"Then again, maybe some of you have come to Hogwarts in possession of abilities so formidable that you feel confident enough to not pay attention.","Але, ймовірно, дехто гадає, що він володіє усіма необхідними задатками і не потребує моїх лекцій."
15 seconds till we're clear.,15 секунд до повного наведення
Shell Completion,"Завершення слів, як в оболонці"
Unable to import %1 using the OFX importer plugin. The plugin returned the following error: %2,Не вдалося імпортувати% 1 за допомогою додатка імпортування OFX. Додаток повернув повідомлення про помилку:% 2
Enough? Enough?,Досить?
"Bates, good to see you wearing pants. How's it tucking?","Люблю твою писанину, уважуха."
Enter the result of percentage question,Введіть відповідь на питання про відсотки
Starting KTTSD and Setting General Options,Запуск KTTSD і встановлення загальних параметрів
Widgets,Віджети
I know a secret way to get you home.,Я знаю таємний шлях до твого дому.
Isn't love always justifiable?,Кохання виправдовує все?
Thank you.,﻿Спасибі. Один сидить на ﻿вулиці в будці ... ﻿Просто так сидить.
& Align,Вирівнювання
And I cannot get you there.,Я не зможу тебе відвезти.
It'll come to you.,З часом збагнеш.
Look at daddy.,поглянь на татка.
- It's Frank.,УМИРАЮ!
"They hide in their cities in garrisons, hoping you will wear yourself out with useless raids.","Ховаються у своїх гарнізонах і сподіваються, що ти втомишся на них безглуздо нападати."
These people are free to leave.,Ці люди вільні.
NERO: Yeah... sure.,Да... конечно.
"Even if I vanished tomorrow, the revolution would follow my ghost.","Навіть якщо я завтра зникну, вони і далі вестимуть війну від мого імені."
"You know they make smaller headphones now, right?","Ти ж знаєш, що існують маленькі навушники?"
No.,Тобі принести?
"- Yes, I know.","Так, я знаю."
I'm not gonna let anything happen to you.,"Я не дозволю, щоб з тобою щось сталося."
Your favorite.,Твоє улюблене.
When you find my lifeless corpse those are the people you're supposed to call.,"Коли виявиш мій холодний труп, тобі треба буде туди подзвонити."
Delete the selected identifier text.,Вилучити вибраний текст ідентифікації.
I always envied Oberyn.,Я завжди заздрив Оберинові.
- Coffee?,- Каву?
Sharon!,Шарон!
You'll think of something.,Щось придумаєш.
"Oh, you've been crunching numbers?","О, ти зробив розрахунки?"
Using & kgpg;,Користування & kgpg;
The unique property of & fsview; is its ability to show whole nested folder hierarchies using a so-called tree map for graphical visualization. Tree maps allow for displaying metrics of objects in nested structures: each object is represented by a rectangle whose area is proportional to its metric. The sum of the children's metrics must be equal to or smaller than the parent object's metric.,"Унікальною здатністю & fsview; є можливість показу всієї ієрархії тек за допомогою так званої карти дерева для графічної візуалізації. За допомогою карт дерева можна показувати метрику об’ єктів у вузловій структурі: кожному об’ єкту відповідає прямокутник з площею, пропорційною до його метрики. Сума метрик дочірніх об’ єктів рівна або менша з метрику батьківського об’ єкта."
Are you ready?,Ви готові?
"Show or hide the toolbars: File, Report, View and Project.","Показує або ховає панелі інструментів: Файл, Звіт, Перегляд і Проект."
"Yes, we are.",Готові.
And I never get to do it anymore because-,Но теперь я не могу..
–Hello.,- Вітаю.
"Oh, my...","О, мій..."
A while ago.,Давно вже.
And I'll make sure you don't look so fucking grim all the time.,"І я подбаю про те, що б ти не виглядав так, до біса, похмуро весь час."
Your settings have been saved but as KDE is currently running in failsafe mode desktop effects cannot be enabled at this time. Please exit failsafe mode to enable desktop effects.,"Ваші налаштування було збережено, але, оскільки KDE зараз працює у безпечному режимі, ефекти стільниці цього разу не буде увімкнено. Будь ласка, вийдіть з безпечного режиму, щоб увімкнути ефекти стільниці."
Lower your weapons.,Опустіть зброю.
You should have masturbated because I had a glorious orgasm and I slept like a baby.,Треба було помастурбувати тому що у мене був чудовий оргазм і я спав як немовля.
"Well, in the desert, sheltered once is sheltered always.","- Притулку можна знайти там, де вже його знаходив."
& Performer:,& Виконавець:
Ike!,Айку!
Admit it!,Зізнавайся!
An error occurred in the last transaction.,Під час спроби виконання останньої дії сталася помилка.
That's all I ask.,"Це все, що я прошу."
It's my truck.,Це моя вантажівка.
Your assignment is to simply teach the stages of hypothermia.,Ви мали просто розповісти про стадії гіпотермії.
"There were problems running kpsewhich. As a result, some font files could not be located, and your document might be unreadable. Possible reason: The kpsewhich program is perhaps not installed on your system, or it cannot be found in the current search path. What you can do: The kpsewhich program is normally contained in distributions of the TeX typesetting system. If TeX is not installed on your system, you could install the TeX Live distribution (www. tug. org/ texlive). If you are sure that TeX is installed, please try to use the kpsewhich program from the command line to check if it really works.","Були проблеми із запуском kpsewhich. В результаті, деякі файли шрифтів не було знайдено, і тому ваш документ, мабуть, буде неможливо прочитати. Можливі причини: Можливо, програма kpsewhich не встановлена у вашій системі або її неможливо знайти у поточному шляху пошуку. Що можна зробити: Зазвичай, програму kpsewhich можна знайти в пакунках системи верстки TeX. Якщо у вашій системі не встановлено TeX, встановіть TeX Live (www. tug. org/ texlive). Якщо ви впевнені, що TeX є встановлена, будь ласка, спробуйте запустити програму kpsewhich з командного рядка, щоб перевірити чи вона дійсно працює."
"'After the interrogators had cleared out, this little fellow turned up.","Після ""відшліфовки"" слідчими, з'явився цей старець."
Mrs. Collins...,- Місіс Коллінз...
"Now, I can't read it...","Тю, це ж не мені!"
Come on.,Давай.
Uric Acid,L- аспарагін
"Hello, Gretchen.","Привіт, Гретхен."
Remember me?,Пам'ятаєш мене?
I hope they fit.,"Сподіваюся, підійде."
I like that.,Мені подобається.
"No, I can talk.","Нет, я могу говорить."
Allocating diskspace,Виділення простору на диску
Use holiday region:,Використовувати свята регіону:
Our school burned down.,Наша школа згоріла.
And there aren't any more guns in the valley.,У долині більше немає зброї.
Describes what you should do to reach the next tutorial step.,"Пояснює, що вам слід робити, щоб перейти до наступного кроку підручника. Previous tutorial step"
That's how you're keeping your distance?,Так ти тримаєш дистанцію?
"Wow, I am shaking.",Я й досі тремчу.
Are you hiding something from me?,Чи ви щось приховуєте?
"Police now think that Ian Worthing, whose body was found at the base of a Yorkshire crag yesterday, could have killed himself because of mounting financial pressures.","Поліція тепер переконана, що Ієн Вортінг, чиє тіло було знайдено на базі в Йоркширських скелях вчора, вчинив самогубство через фінансовий тиск."
